#{"t_start": 1762618528.3039453, "env_id": "None"}
r,l,t
-0.67,14,0.116814
-0.41,16,0.191175
-0.83,7,0.239869
-0.56,12,0.302708
-0.91,9,0.335658
-0.46,12,0.382454
-0.45,15,0.43888
-0.65,9,0.475095
-0.63,12,0.516919
1.82,15,0.570352
-0.7,9,0.619704
-0.46,12,0.666219
-0.74,13,0.700381
-0.72,13,0.750097
-0.73,14,0.808712
-0.82,6,0.829922
1.93,17,0.888718
1.58,13,0.947381
-0.69,10,0.984103
-0.15,15,1.041906
1.87,14,1.101078
1.62,12,1.144193
-0.75,8,1.179512
-0.32,17,1.235064
1.53,13,1.283945
-0.12,17,1.344846
-0.92,5,1.366778
-0.41,13,1.413463
-0.41,12,1.458449
-0.65,12,1.503766
-0.63,10,1.557015
-0.57,12,1.599915
-1.0,7,1.623887
-0.61,11,1.678169
-1.05,6,1.716176
-0.57,10,1.754223
1.14,4,1.76746
-0.74,9,1.802072
1.55,10,1.845058
1.6,11,1.942337
-0.86,11,1.986566
1.38,9,2.044161
-0.42,14,2.169234
-0.4,13,2.24257
-0.87,6,2.267316
-0.87,8,2.300187
-0.38,15,2.352684
-0.39,14,2.398447
-0.82,7,2.423652
-0.75,14,2.47095
-0.4,12,2.511921
1.91,18,2.578265
-0.55,11,2.614867
-0.22,18,2.680708
-0.82,9,2.713886
-0.77,10,2.751686
-0.55,16,2.828703
-0.54,8,2.866228
-0.67,12,2.91269
-0.66,9,2.973547
-0.82,12,3.025846
1.63,18,3.0762
1.52,13,3.127914
-0.6,12,3.17052
-0.43,11,3.208755
-0.74,9,3.243594
-0.88,13,3.312095
-0.81,11,3.38446
-0.5,10,3.422784
-1.01,8,3.450319
-0.35,14,3.528258
-0.67,12,3.596164
1.56,14,3.662503
-0.72,7,3.695134
-0.53,10,3.735676
-0.93,6,3.76054
-0.36,15,3.820844
1.61,10,3.869716
-0.38,15,3.97117
-0.71,12,4.050488
-0.73,9,4.108464
1.32,9,4.179826
-0.61,12,4.262167
1.52,11,4.34588
-0.71,7,4.389024
-0.77,7,4.427305
-0.62,9,4.477659
-0.67,9,4.509132
-0.71,7,4.545712
1.47,13,4.610392
-0.52,14,4.694207
-0.89,8,4.732963
1.44,15,4.783823
-0.22,19,4.85363
1.63,14,4.917131
-0.12,17,4.972415
-0.68,11,5.017558
-0.57,14,5.062107
-0.46,13,5.116877
-0.56,14,5.179991
-0.61,10,5.224086
1.34,7,5.269293
-0.47,10,5.318712
-0.49,13,5.393916
-0.55,11,5.451657
-0.9,8,5.486926
-0.61,15,5.549587
-0.37,12,5.606815
-0.57,11,5.658932
-0.64,10,5.708479
-0.51,11,5.751463
-0.52,11,5.815991
-0.56,11,5.854672
1.26,9,5.884603
-0.17,18,5.951776
-0.87,11,5.9876
-0.54,13,6.04645
-0.98,5,6.074099
-0.58,11,6.168186
-0.82,9,6.246119
-0.91,10,6.339597
1.24,11,6.437866
-0.48,13,6.527053
-0.56,12,6.581695
-0.78,9,6.626315
-0.57,14,6.675735
-0.28,15,6.783012
1.31,12,6.883583
1.33,8,6.932805
-0.46,11,7.026959
-0.53,10,7.113532
-0.56,9,7.1444
1.17,7,7.194643
-0.73,9,7.250671
-0.5,12,7.355657
-0.86,5,7.377169
-0.72,11,7.421208
-0.42,13,7.477716
-0.82,6,7.501757
1.31,14,7.549665
-0.9,6,7.580417
-0.52,11,7.622304
1.54,12,7.675701
-0.59,13,7.726461
1.55,13,7.777869
1.15,12,7.823163
1.61,11,7.886936
-0.56,10,7.937631
-0.24,15,7.996599
-0.83,11,8.042949
-0.6,15,8.121912
1.37,10,8.168448
-0.14,14,8.258096
1.43,12,8.327086
-0.55,16,8.385572
-0.22,14,8.434049
-0.49,12,8.476914
-0.53,14,8.533556
-0.57,9,8.569587
-0.74,12,8.609811
-0.45,16,8.676032
1.38,11,8.779998
1.14,4,8.795726
-0.58,11,8.838214
0.04,19,8.902573
-0.75,10,8.936306
1.35,11,8.975253
-0.55,16,9.093641
1.41,11,9.186776
1.34,14,9.288875
-0.46,12,9.334677
-0.37,15,9.390354
1.48,13,9.492201
-0.71,9,9.545351
1.26,9,9.61925
-0.51,11,9.680247
1.31,11,9.761146
-0.33,12,9.811473
-0.45,13,9.881883
1.15,9,9.913386
1.46,12,9.961509
-0.85,7,9.994428
-0.57,9,10.026364
-0.74,10,10.08163
-0.3,15,10.155284
-0.65,17,10.211285
-0.73,9,10.251231
-0.82,12,10.290405
1.53,13,10.364024
-0.74,10,10.410053
-0.9,6,10.434469
-0.8,10,10.473486
-0.58,13,10.521988
-0.3,13,10.578074
-0.74,13,10.683566
1.56,16,10.7401
-0.48,17,10.791686
-0.81,7,10.817844
1.43,12,10.86553
1.37,11,10.904274
-0.67,8,10.939502
-0.52,15,11.004111
-0.77,10,11.04542
1.28,8,11.075762
-0.76,10,11.116405
-0.63,13,11.167352
1.47,14,11.217426
-0.41,13,11.26835
1.32,12,11.348119
-0.56,12,11.432678
-0.75,7,11.486895
1.83,18,11.550458
-0.32,14,11.613312
0.0,19,11.691433
-0.49,11,11.723075
-0.61,13,11.793382
1.48,10,11.847043
-0.62,9,11.884152
1.7,16,11.952668
-0.72,7,11.98813
1.46,12,12.043358
1.79,14,12.102103
-0.79,6,12.125339
1.63,12,12.167819
-0.45,15,12.244194
-0.4,17,12.297809
1.58,15,12.353838
-0.57,13,12.403531
-0.65,9,12.441918
-0.8,8,12.472228
-0.35,12,12.52029
-0.69,12,12.560122
-0.6,9,12.596872
-0.77,7,12.620575
1.27,12,12.667434
-0.43,15,12.722418
1.55,10,12.758427
1.61,12,12.811746
1.5,14,12.873913
-0.42,12,12.948172
-0.48,18,13.012082
-0.27,16,13.061438
-0.44,15,13.114476
1.58,15,13.1641
-0.26,18,13.237008
-0.39,14,13.327521
1.81,16,13.395539
-0.07,18,13.466081
-0.7,12,13.506335
-0.57,12,13.554332
1.15,7,13.578499
-0.69,13,13.634869
-0.38,17,13.710146
-0.72,11,13.801999
-0.47,9,13.847526
-0.58,14,13.895723
-0.81,8,13.923219
1.45,17,13.987149
1.42,15,14.03925
-0.54,12,14.086735
-0.57,11,14.117587
-0.53,14,14.164921
-0.48,13,14.230615
-0.55,12,14.302185
-0.65,12,14.361911
-0.09,14,14.413471
-0.51,14,14.47197
-0.59,8,14.504713
1.38,12,14.559248
1.66,11,14.618437
-0.51,11,14.66413
-0.52,15,14.723379
-0.58,13,14.773901
-0.75,8,14.817363
-0.76,9,14.857246
-0.46,12,14.896078
-0.54,12,14.946116
-1.04,5,14.989705
-0.8,11,15.065547
-0.72,10,15.10192
-0.58,12,15.152467
-0.63,14,15.224371
1.51,14,15.300529
-0.32,15,15.359998
-0.39,18,15.499023
-0.72,11,15.579407
-0.8,10,15.671218
-0.89,10,15.732552
-0.33,16,15.846629
-0.62,12,15.890661
-0.69,15,15.945953
-0.83,7,15.971832
-0.5,11,16.013033
-0.79,10,16.066869
-0.64,16,16.151041
1.7,12,16.225984
-0.39,13,16.32668
-0.36,15,16.397909
-0.6,8,16.431731
1.27,9,16.469405
-0.69,13,16.554921
-0.63,9,16.625465
-0.64,11,16.709693
-0.7,9,16.765882
-0.39,20,16.829691
-0.53,14,16.925199
-0.55,10,17.023404
-0.62,9,17.092833
-0.78,11,17.180866
1.7,14,17.299278
-0.36,13,17.375186
1.53,10,17.408906
1.53,10,17.441858
-0.72,10,17.495046
1.73,14,17.605719
1.57,10,17.679384
1.61,10,17.723526
0.09,17,17.834316
1.56,15,17.96021
-0.7,11,18.058155
-0.59,12,18.125355
-0.71,10,18.159469
-0.43,11,18.207508
-0.96,9,18.274265
-0.7,11,18.330813
-0.79,12,18.369273
-0.76,9,18.413988
-0.64,11,18.449747
-0.77,10,18.482782
-0.71,12,18.524768
-0.89,8,18.557441
-0.77,10,18.586121
-0.84,9,18.63351
1.46,14,18.697207
-0.68,13,18.814164
1.63,15,18.868413
-0.37,12,18.91993
-0.54,15,19.00821
-0.8,7,19.057244
-0.59,14,19.110744
-0.73,9,19.167997
-0.57,10,19.211865
-0.89,8,19.244391
-0.66,10,19.279152
1.5,12,19.318147
1.44,10,19.353065
-0.5,14,19.470754
-0.67,11,19.518666
-0.62,12,19.566499
1.45,13,19.60629
1.93,19,19.668935
-0.58,12,19.702455
1.49,13,19.777351
-0.57,16,19.827018
1.47,15,19.91973
-0.91,4,19.936998
-0.73,9,19.983335
-0.18,14,20.061507
1.4,12,20.111944
-0.54,12,20.203379
-0.68,12,20.301754
-0.26,15,20.40175
-0.55,13,20.463923
1.45,12,20.550649
-0.55,9,20.612725
1.54,17,20.756084
-0.36,13,20.827388
-0.15,18,20.885167
-0.78,8,20.918078
-0.37,17,20.979326
-0.46,12,21.032239
-0.45,14,21.084306
-0.43,16,21.164379
1.63,19,21.239199
-0.46,13,21.30398
-0.65,9,21.344019
1.26,12,21.42241
-0.35,13,21.49715
-0.32,15,21.563913
-0.46,16,21.626438
-0.81,12,21.686939
1.63,13,21.736017
-0.5,12,21.788142
-0.58,11,21.831356
-0.43,16,21.904114
-0.3,16,21.967984
-0.41,16,22.021366
-0.53,11,22.060647
-0.6,10,22.102218
1.42,9,22.145087
-0.51,14,22.196367
-0.63,12,22.253726
1.21,10,22.302469
-0.43,12,22.350721
-0.72,13,22.40941
-0.47,11,22.461567
-0.86,10,22.502054
-0.72,7,22.581488
1.64,12,22.63105
-0.5,12,22.680385
-0.66,14,22.732715
-0.6,14,22.79616
1.39,11,22.843727
-0.65,9,22.883416
-0.56,16,22.950975
-0.51,12,23.002079
1.41,9,23.044589
-0.77,7,23.090502
-0.41,13,23.150126
-0.54,9,23.18974
-0.7,11,23.233541
-0.51,13,23.275792
-0.54,9,23.313066
-0.47,10,23.349291
-0.77,11,23.395676
-0.8,8,23.430511
1.57,13,23.480971
-0.71,7,23.51135
-0.74,6,23.536017
1.46,15,23.59966
-0.15,14,23.688574
-0.44,15,23.766997
-0.62,8,23.840716
-0.59,13,23.955081
-0.68,12,24.008861
-0.81,8,24.037601
-0.77,12,24.099226
1.73,15,24.169056
-0.76,6,24.2369
-0.83,10,24.2884
-0.49,13,24.342092
-0.72,12,24.383578
-0.5,12,24.426182
1.41,8,24.457255
1.26,9,24.51039
-0.77,7,24.557158
-0.59,11,24.621683
-0.57,11,24.690204
-0.61,13,24.747037
-0.39,11,24.792856
-0.98,14,24.861365
1.48,13,24.916069
-0.54,12,24.970902
-0.61,14,25.034595
1.21,12,25.084311
1.48,13,25.134464
-0.41,13,25.184205
-0.46,16,25.255685
1.11,7,25.286636
-0.46,17,25.351122
1.51,9,25.386049
-0.68,13,25.437999
-0.62,18,25.508141
-0.36,15,25.574217
-0.89,8,25.614739
-0.39,11,25.665191
-0.68,12,25.801903
1.43,10,25.860437
1.54,11,25.944129
-0.69,6,25.982565
-0.75,13,26.044853
-0.38,15,26.092462
-0.74,13,26.136755
-0.91,10,26.171972
-0.73,12,26.211541
1.33,9,26.245434
1.64,13,26.289267
-0.66,14,26.34394
-0.68,10,26.386662
-0.83,7,26.414869
-0.32,11,26.457201
-0.55,10,26.510252
-0.35,17,26.557697
-0.46,12,26.608799
1.55,13,26.649146
-0.67,11,26.682965
-0.45,16,26.732467
-0.51,11,26.759573
-0.39,14,26.823103
-0.68,14,26.895462
-0.48,11,26.950261
1.07,6,26.970426
-0.77,7,26.992886
1.21,9,27.021116
-0.95,8,27.042293
-0.23,17,27.090141
-0.65,12,27.131089
-0.84,8,27.156294
-0.5,13,27.194523
1.39,9,27.222009
-0.51,12,27.262194
-0.68,15,27.31497
1.42,10,27.349453
-0.87,12,27.393348
-0.73,8,27.424707
-0.71,13,27.464525
-0.72,10,27.493074
-0.8,10,27.52255
-0.79,9,27.552512
-0.12,17,27.608274
-0.36,14,27.647571
-0.77,12,27.690064
-0.57,12,27.726633
-0.61,16,27.778789
-0.73,11,27.816989
-0.91,9,27.844973
-0.63,15,27.898376
1.26,12,27.94055
-0.4,15,27.98614
-0.52,14,28.028186
-0.28,16,28.076108
1.14,11,28.107262
1.34,10,28.141723
1.44,9,28.167246
-0.98,5,28.187832
-0.37,16,28.238498
1.33,11,28.275595
-0.87,9,28.310796
1.55,11,28.343707
-0.28,17,28.408884
-0.4,13,28.515654
-0.55,13,28.557332
-0.74,10,28.591086
-0.83,7,28.61416
1.58,12,28.657047
-0.17,20,28.720068
-0.63,10,28.753063
1.38,12,28.785693
-0.97,10,28.818153
-0.83,10,28.856086
-0.36,17,28.917335
-0.45,14,28.956345
-0.74,13,28.996497
-0.58,17,29.041702
-0.52,11,29.099174
0.03,17,29.185532
-0.82,7,29.286499
-0.64,11,29.35647
-0.49,16,29.438192
1.49,13,29.490333
-0.85,9,29.521261
-0.6,10,29.559121
-0.81,11,29.597877
-0.59,11,29.640951
-0.4,15,29.688478
-0.66,11,29.726052
-0.88,7,29.750969
-0.46,15,29.809497
1.43,12,29.85212
1.29,9,29.884152
1.22,11,29.940394
-0.59,9,29.98961
-0.77,9,30.040795
-0.88,7,30.068445
-0.76,12,30.117265
1.25,8,30.151623
-0.39,13,30.205112
-0.55,14,30.260427
-0.8,13,30.315605
-0.99,6,30.341403
-0.05,17,30.407382
1.35,15,30.462341
-0.89,8,30.499901
-0.6,14,30.543928
-0.95,5,30.564763
-0.55,14,30.617906
1.41,8,30.657238
1.81,18,30.732312
-0.53,10,30.772691
-0.38,13,30.823714
-0.63,9,30.868098
1.51,13,30.917577
-0.63,10,30.963702
1.57,11,31.009305
-0.49,17,31.075769
-0.69,11,31.120662
-0.54,15,31.177566
1.61,11,31.218003
1.36,11,31.261719
-0.34,13,31.320171
-0.44,15,31.370859
1.48,13,31.432111
-0.53,11,31.478003
-0.31,14,31.524937
1.57,14,31.581742
1.95,15,31.640141
-0.5,13,31.758401
-0.33,16,31.840758
-0.57,14,31.899035
-0.56,13,31.944469
-0.4,20,32.015426
-0.39,20,32.074061
1.33,10,32.108357
-0.56,12,32.143509
-0.92,8,32.173993
-0.33,12,32.215508
1.7,13,32.255065
-0.29,14,32.295957
-0.72,13,32.334706
-0.67,11,32.366282
1.3,9,32.392046
-0.73,12,32.428774
1.45,12,32.468911
-0.33,14,32.512796
-0.61,13,32.547309
-0.65,12,32.585774
-0.87,12,32.624547
-0.67,10,32.654787
1.62,15,32.698902
-0.46,11,32.729156
-0.63,12,32.771743
1.31,10,32.800289
-0.66,12,32.870922
-0.66,10,32.933691
-0.78,8,32.96207
-0.62,9,32.991441
-0.61,10,33.024173
0.06,20,33.082199
-0.66,13,33.121621
1.42,13,33.159301
-0.66,9,33.191556
-0.72,11,33.241457
1.38,9,33.281105
-0.66,9,33.320729
1.32,10,33.365671
-0.33,14,33.419138
1.33,8,33.455333
-0.68,13,33.51027
-0.9,11,33.556713
1.43,9,33.594404
-0.64,18,33.665803
-0.62,9,33.703654
-0.7,8,33.739686
-0.3,15,33.805687
1.76,11,33.855123
-0.61,14,33.901227
-0.92,8,33.929864
1.39,10,33.980351
-0.49,12,34.032627
-0.68,10,34.077102
-0.61,13,34.124209
-0.37,16,34.186099
-0.61,8,34.222872
1.14,10,34.265416
1.61,15,34.322755
-0.76,11,34.367894
1.29,13,34.420766
-0.39,14,34.478832
-0.47,14,34.536851
1.51,12,34.584573
-1.0,7,34.61283
1.44,14,34.666766
-0.39,17,34.722365
-0.29,17,34.797543
1.53,10,34.851645
-0.82,9,34.890078
1.53,15,34.949041
-0.35,16,35.01533
1.33,9,35.050758
-0.45,16,35.114161
-0.73,9,35.150896
-0.46,12,35.19637
-0.65,12,35.242353
-0.36,16,35.302748
-1.03,4,35.318519
-0.43,15,35.378431
-0.53,13,35.420833
-0.74,7,35.44679
-0.38,11,35.48849
-0.22,16,35.5353
1.55,10,35.568688
-0.56,14,35.614532
-0.61,14,35.65301
-0.78,11,35.698318
-0.57,13,35.73535
1.57,17,35.787818
-0.55,11,35.822899
1.54,11,35.862056
-0.59,14,35.906901
-0.84,8,35.93
-0.18,19,35.977833
-0.66,14,36.014536
-0.85,12,36.052817
-0.42,12,36.094565
-0.72,13,36.133408
-0.43,12,36.167723
-0.69,11,36.205956
-0.69,11,36.239547
-0.55,12,36.272609
-0.28,14,36.313703
1.39,10,36.349406
-0.22,13,36.393828
1.79,16,36.455708
-0.78,10,36.490578
-0.46,11,36.534246
-0.69,14,36.584184
-0.73,9,36.613504
-0.47,9,36.642593
-0.81,17,36.696744
-0.54,13,36.739116
-0.69,13,36.779521
-0.39,16,36.834976
-0.45,13,36.87934
1.38,9,36.908932
-0.62,12,36.961149
1.19,11,36.998375
-0.09,17,37.053584
-0.29,15,37.175507
-0.67,9,37.211992
-0.66,10,37.239195
-0.29,15,37.289547
-0.6,13,37.329335
-0.46,10,37.362023
-0.42,12,37.40121
-0.55,10,37.436759
1.55,13,37.473559
-0.41,16,37.528512
1.43,10,37.559377
1.36,12,37.59424
-0.01,18,37.643966
1.54,11,37.680031
-0.58,13,37.715757
-0.64,15,37.762568
-0.63,12,37.798435
-0.35,13,37.840735
1.41,15,37.880795
-0.51,13,37.920074
-0.39,15,37.972171
-0.72,12,38.004489
-0.66,9,38.030373
-0.57,9,38.063388
-0.65,12,38.100533
-0.82,8,38.12661
-0.4,12,38.159079
1.45,9,38.190731
-0.92,11,38.217283
-0.5,15,38.257153
-0.77,7,38.277123
-0.57,11,38.311688
0.07,20,38.365
-0.42,14,38.403057
-0.36,16,38.448184
-0.63,9,38.476176
-0.91,6,38.496286
1.65,14,38.538892
-0.42,16,38.592519
-0.44,9,38.626567
1.43,9,38.65981
0.26,19,38.719865
-0.46,13,38.755535
-0.73,9,38.791912
-0.4,14,38.83442
-0.42,14,38.874738
-0.36,13,38.917449
-0.62,13,38.963165
-0.75,7,38.980754
-0.43,14,39.026028
-0.42,14,39.065211
-0.72,11,39.105183
1.57,12,39.145019
-0.65,12,39.18113
-0.31,19,39.312568
-0.5,13,39.353549
1.38,12,39.390254
-0.33,15,39.437257
-0.64,11,39.477246
-0.38,14,39.518196
-0.58,13,39.564407
-0.61,10,39.597558
-0.8,10,39.636204
-0.39,17,39.698443
-0.5,15,39.741961
-0.78,8,39.765677
-0.7,15,39.810631
-0.68,11,39.860912
-0.53,11,39.898641
-0.39,11,39.930901
-0.36,12,39.968974
-0.41,10,40.003612
1.46,10,40.030241
-0.81,5,40.047026
-0.53,12,40.096574
1.59,14,40.142194
1.72,15,40.194018
1.64,12,40.229478
1.37,13,40.265477
-0.63,12,40.305434
-0.76,11,40.335496
-0.5,13,40.379312
0.08,16,40.429522
1.26,9,40.454728
-0.57,12,40.497802
-0.51,15,40.538872
-0.59,10,40.570308
-0.65,9,40.600962
0.02,16,40.649956
1.49,11,40.683778
-0.69,15,40.730739
-0.43,11,40.765733
-0.1,17,40.81741
1.55,12,40.856518
1.66,14,40.974629
-0.68,10,41.009566
-0.65,11,41.047659
1.25,11,41.08578
-0.71,13,41.117778
-0.62,11,41.16036
-0.68,9,41.183104
-0.66,14,41.226747
-0.64,18,41.276846
-0.62,12,41.315178
-0.26,15,41.36264
-0.73,12,41.397191
-0.29,14,41.44632
-0.68,9,41.483732
-0.57,9,41.512784
