#{"t_start": 1762617474.644563, "env_id": "None"}
r,l,t
-0.67,13,1.435118
-0.79,6,1.446305
-0.73,11,1.462418
-0.76,8,1.476179
-0.6,14,1.505515
1.29,6,1.513879
-0.65,9,1.528979
-0.9,9,1.544839
1.35,8,1.560692
-0.96,9,1.573777
1.56,14,1.59719
1.33,8,1.612214
-0.75,11,1.630098
-0.51,12,1.646526
-0.95,8,1.662109
1.54,17,1.691236
-0.61,11,1.710384
1.3,14,1.735623
-0.92,5,1.742448
1.17,13,1.759958
-0.82,9,1.774915
-0.48,14,1.794472
1.36,11,1.815741
-0.85,12,1.834615
-0.81,11,1.855974
-0.99,6,1.86607
-0.49,16,1.890574
1.18,6,1.899068
-0.52,17,1.929927
-0.89,8,1.943255
-0.72,13,1.964869
-0.68,10,1.98503
1.26,9,2.001815
1.46,11,2.019545
-0.69,14,2.03942
-0.68,13,2.057836
-0.98,5,2.066697
-0.6,10,2.081419
1.46,9,2.094616
-0.87,5,2.103942
-0.49,16,2.130166
-0.78,12,2.151843
1.39,13,2.176378
-0.55,13,2.195585
1.26,6,2.206832
1.41,14,2.227182
-0.78,11,2.245612
-0.88,10,2.262817
-0.51,14,2.285482
-0.81,8,2.295876
-0.87,5,2.304617
1.18,9,2.318233
-0.57,11,2.340043
1.14,12,2.357291
-0.59,10,2.373693
1.13,5,2.379866
-0.94,9,2.395249
1.16,8,2.407543
-0.54,12,2.425518
1.31,11,2.440147
1.38,8,2.454624
1.23,7,2.463166
-0.98,5,2.473759
1.22,8,2.48795
1.54,11,2.506704
-0.74,10,2.522623
1.23,7,2.533207
-0.82,9,2.545383
-0.63,9,2.562553
1.41,14,2.585275
1.24,8,2.594425
-0.94,7,2.609715
1.13,7,2.624383
1.27,11,2.642273
-0.39,17,2.663502
-0.68,16,2.693038
1.17,7,2.708544
-0.62,16,2.735219
1.37,12,2.757689
1.2,10,2.774698
1.33,13,2.79726
-0.96,9,2.810221
-0.79,10,2.82623
1.3,10,2.84103
-0.65,9,2.858212
-0.5,12,2.876757
-0.72,14,2.897192
1.3,7,2.906704
1.27,9,2.924494
1.17,12,2.94523
1.41,12,2.970102
-0.67,11,3.025206
1.33,11,3.057563
-0.6,16,3.080895
-0.78,8,3.093569
1.44,10,3.10851
-0.75,8,3.1262
-0.93,6,3.146527
-0.82,6,3.161716
1.29,6,3.182737
1.28,8,3.208525
1.41,13,3.245687
1.39,12,3.277866
-0.53,13,3.32319
-0.72,8,3.347949
-0.74,9,3.379758
-0.81,9,3.408973
-0.51,16,3.447802
1.4,13,3.485352
1.41,11,3.519858
-0.86,8,3.539569
1.41,10,3.564884
-0.28,14,3.608382
-0.7,12,3.639577
-0.85,9,3.660023
1.3,8,3.678706
1.2,9,3.702755
1.14,4,3.711804
1.36,12,3.742245
1.18,6,3.759129
-0.69,10,3.782507
-0.45,14,3.839456
-0.28,18,3.883646
-1.0,7,3.899602
-0.9,12,3.934551
-0.41,15,3.973999
1.29,9,4.000415
1.26,10,4.040994
1.34,12,4.16096
-0.89,10,4.251584
1.33,10,4.306336
1.37,10,4.351361
-0.84,6,4.381658
-0.49,13,4.492286
-0.88,7,4.524217
-0.6,13,4.581746
-0.68,12,4.637215
-0.89,8,4.67151
-0.79,9,4.711746
-0.6,9,4.754772
-0.73,15,4.828172
1.21,13,4.965806
-0.18,18,5.039168
-0.66,7,5.073241
-0.68,9,5.112355
-0.85,9,5.147364
1.4,13,5.211496
-0.88,6,5.24256
-0.71,12,5.283421
-0.74,13,5.328049
1.85,15,5.393079
1.35,12,5.437407
-0.87,17,5.556647
-0.32,15,5.596563
-0.72,11,5.62244
-0.85,9,5.645211
-0.66,12,5.67131
-0.66,16,5.708582
-0.63,12,5.738713
1.2,7,5.757736
1.36,11,5.78312
-0.63,16,5.818143
-0.86,10,5.841148
1.13,5,5.853038
1.37,12,5.885787
1.66,17,5.921729
1.23,13,5.954641
-0.69,7,5.969609
-0.78,8,5.991321
-0.97,12,6.024705
-0.82,13,6.061863
1.19,5,6.07356
1.34,9,6.099319
1.14,7,6.118918
1.55,18,6.220326
-0.58,13,6.245626
1.19,5,6.260052
1.31,6,6.271137
1.35,9,6.290399
1.41,8,6.308084
-0.73,9,6.328998
-0.88,6,6.339495
-0.94,10,6.363783
1.4,13,6.402207
1.34,14,6.440538
1.18,6,6.454226
1.25,7,6.474441
1.14,6,6.489824
1.19,8,6.514498
-0.42,12,6.55031
1.28,7,6.570511
-1.0,4,6.583864
1.48,11,6.619547
-0.93,9,6.651164
1.57,14,6.690333
1.41,11,6.717659
1.27,8,6.740681
1.27,9,6.769213
-0.76,12,6.809358
1.65,12,6.857956
1.3,8,6.885145
-0.84,9,6.914197
-0.62,11,6.954451
-0.72,11,6.990517
-0.67,11,7.038229
-0.81,13,7.080145
-0.87,8,7.102987
-0.73,14,7.13977
1.39,11,7.172658
-0.71,12,7.204514
-0.54,14,7.242951
-0.89,11,7.269937
1.19,8,7.292515
-0.78,10,7.312585
1.31,12,7.340179
1.26,10,7.37001
-0.43,14,7.456341
-0.88,7,7.482265
1.46,12,7.513632
1.53,10,7.543907
-0.94,7,7.56314
1.17,7,7.58145
1.28,7,7.603507
-0.76,8,7.627424
-0.83,10,7.660857
-0.91,10,7.687051
-0.48,12,7.716189
-0.83,12,7.738744
-0.51,14,7.769903
-0.58,11,7.799019
1.39,7,7.816405
-0.44,14,7.846307
-0.39,15,7.883041
1.12,6,7.897382
1.15,11,7.920488
-0.82,9,7.945923
1.27,9,7.971807
1.15,11,7.9995
1.34,10,8.024485
-0.75,10,8.048837
-0.54,15,8.079247
-0.78,8,8.100636
-0.6,12,8.133521
1.25,8,8.154979
1.18,6,8.174904
1.32,13,8.206835
-0.88,9,8.229405
-0.56,12,8.260039
-0.77,18,8.304101
-0.93,9,8.322713
1.14,4,8.33298
-0.8,13,8.365786
1.37,11,8.399931
-0.43,13,8.433559
1.28,7,8.453909
-0.43,14,8.490648
-0.83,7,8.508994
1.45,11,8.535742
-0.73,11,8.565882
-0.58,15,8.601009
-0.61,14,8.637503
1.49,15,8.672292
-0.39,17,8.707261
-0.59,12,8.734683
1.64,14,8.818107
1.22,8,8.838902
-0.76,15,8.870012
-0.92,8,8.893383
1.3,8,8.914004
1.12,6,8.928246
1.22,10,8.951617
-0.88,9,8.981862
1.32,12,9.018582
-0.94,7,9.035501
1.49,11,9.068556
1.25,8,9.089944
-0.94,7,9.114606
1.1,8,9.13552
1.16,8,9.158521
1.33,12,9.198555
-0.72,8,9.222071
-0.66,14,9.25413
1.16,8,9.274532
-0.94,7,9.294143
1.22,9,9.318485
-0.67,12,9.351755
-0.93,6,9.36951
1.33,10,9.398072
1.33,13,9.440031
1.21,11,9.467793
1.17,7,9.488211
-0.84,9,9.50692
-0.88,12,9.538392
-0.74,15,9.573407
1.18,6,9.587745
1.23,7,9.605941
1.24,13,9.637642
1.28,7,9.650971
1.28,7,9.668876
-0.53,16,9.708693
-0.59,14,9.74562
1.25,11,9.767376
-0.83,7,9.7862
1.1,11,9.81688
-0.52,13,9.852692
-0.57,13,9.884935
-0.82,7,9.902505
1.45,15,9.933986
-0.96,9,9.956897
1.26,9,9.980686
1.33,8,9.99846
1.19,8,10.015448
-0.53,14,10.050498
-0.44,15,10.089888
-0.51,17,10.122083
-0.97,4,10.132472
-0.8,9,10.154723
-0.73,13,10.188922
1.3,10,10.221898
-0.5,21,10.281596
-0.74,12,10.315893
1.31,7,10.336584
1.18,6,10.352484
1.42,16,10.395442
-0.81,5,10.413836
-0.81,11,10.439281
-0.98,11,10.472724
1.51,13,10.519534
1.16,8,10.548482
1.32,13,10.590757
1.3,11,10.622165
-1.01,8,10.646869
-0.67,15,10.697307
1.23,7,10.719537
-0.9,6,10.735845
-0.67,12,10.771344
1.43,13,10.812587
-0.44,18,10.856606
-0.64,13,10.885644
-0.85,10,10.911143
-0.24,16,10.951679
-0.48,14,10.987166
1.45,11,11.016467
-0.97,13,11.043951
-0.62,15,11.081441
-0.86,8,11.099432
-0.95,8,11.120115
1.11,7,11.137048
1.22,8,11.155711
-0.57,13,11.185864
1.24,6,11.201562
1.14,4,11.212453
-0.91,7,11.230408
-0.84,13,11.262233
1.75,15,11.293958
1.51,12,11.325574
1.76,16,11.368458
1.12,6,11.38465
1.54,13,11.411952
-0.54,14,11.442079
1.22,8,11.464368
-0.89,8,11.527418
-0.84,7,11.55175
-0.82,9,11.578886
-0.87,8,11.600867
1.72,13,11.628649
1.2,9,11.650933
1.79,15,11.686296
-0.81,8,11.709377
1.18,6,11.721713
-0.79,9,11.745279
-0.68,13,11.772645
-0.82,6,11.791519
-0.69,10,11.819519
1.28,13,11.8493
-0.7,10,11.876827
-0.81,8,11.897359
-0.81,14,11.928125
-0.42,13,11.960471
1.36,14,11.991589
-0.35,18,12.029897
-0.44,13,12.064655
1.26,10,12.085583
1.3,8,12.102263
-0.62,9,12.125632
-0.77,10,12.150432
1.36,11,12.178645
1.43,14,12.206983
-0.68,9,12.23159
-0.67,13,12.264633
1.64,13,12.294998
1.68,17,12.331157
1.27,9,12.35231
1.22,8,12.371305
-0.72,9,12.394472
-0.6,15,12.428716
1.32,9,12.450271
-0.27,13,12.482377
-0.79,13,12.509585
1.54,12,12.538219
1.1,9,12.560274
-0.73,9,12.584003
-0.74,9,12.604043
1.28,8,12.621555
-0.77,7,12.643828
-0.7,12,12.67556
1.34,13,12.705281
-0.85,12,12.735644
-0.74,9,12.757256
-0.54,18,12.796466
1.15,9,12.815897
1.34,8,12.832804
1.29,7,12.854808
-0.88,6,12.867449
-0.7,11,12.898691
1.13,5,12.907769
-0.89,11,12.936819
1.53,13,12.96955
-0.52,12,12.996098
1.35,12,13.027788
1.19,5,13.040525
1.38,9,13.063118
-0.82,9,13.083529
-0.45,14,13.114195
-0.78,10,13.141495
1.39,14,13.167751
-0.82,9,13.191947
1.19,5,13.201579
1.16,11,13.230122
1.13,5,13.240618
-1.01,8,13.260362
