#{"t_start": 1762633394.7140725, "env_id": "None"}
r,l,t
-0.81,9,0.086263
-0.67,8,0.11162
-0.67,9,0.145177
1.39,8,0.173362
1.19,5,0.190944
1.19,5,0.206397
-0.68,9,0.239902
-0.47,10,0.285715
-0.69,10,0.318584
-0.68,9,0.347383
-0.67,8,0.367596
-0.73,8,0.389294
-0.69,10,0.421289
-0.72,7,0.444755
-0.79,9,0.475055
-0.79,9,0.50222
-0.66,7,0.526927
-0.63,10,0.556956
-0.62,9,0.58875
1.14,4,0.602232
-0.53,11,0.637984
-0.76,6,0.665989
-0.44,10,0.698913
-0.68,9,0.726429
-0.61,9,0.75562
-0.42,12,0.792796
-0.67,8,0.8174
-0.7,11,0.852766
-0.68,9,0.879032
-0.79,9,0.913462
-0.74,10,0.949944
-0.64,7,0.973225
-0.67,8,1.003299
1.14,4,1.016829
1.14,4,1.033149
-0.67,8,1.064889
-0.51,9,1.094389
-0.47,11,1.13035
-0.68,9,1.161639
-0.68,9,1.193787
-0.75,8,1.222301
-0.52,9,1.254209
-0.62,9,1.286611
-0.52,10,1.3184
1.51,12,1.358049
1.14,4,1.369174
-0.88,6,1.439315
-0.73,9,1.478434
-0.57,10,1.510557
-0.55,10,1.545618
-0.63,9,1.575177
-0.73,8,1.599636
-0.62,9,1.627572
-0.59,12,1.659775
-0.54,12,1.70269
-0.63,10,1.736793
-0.68,9,1.767309
-0.53,11,1.799306
-0.88,6,1.815974
-0.83,7,1.84163
-0.88,6,1.860351
-0.62,9,1.886959
1.19,5,1.901845
-0.67,8,1.924509
-0.72,7,1.94685
-0.35,12,1.984417
-0.68,9,2.012111
-0.69,11,2.046869
-0.69,10,2.076287
-0.69,10,2.105426
-0.37,12,2.140617
-0.63,10,2.170343
-0.36,12,2.203178
1.14,4,2.215004
-0.73,8,2.236989
-0.81,5,2.251514
-0.71,6,2.270235
-0.47,11,2.301803
-0.67,8,2.326336
-0.56,11,2.361006
-0.64,11,2.392764
-0.52,10,2.420551
-0.18,13,2.455603
-0.58,10,2.485329
-0.88,6,2.502303
-0.45,12,2.537559
-0.48,11,2.569769
-0.78,8,2.594404
-0.68,9,2.620143
-0.63,10,2.650532
-0.78,8,2.678551
-0.63,10,2.704602
-0.68,9,2.728575
-0.62,9,2.755136
-0.67,8,2.780169
-0.79,9,2.810329
-0.6,10,2.846959
-0.66,9,2.878023
-0.72,7,2.900898
-0.73,8,2.93118
-0.68,9,2.961371
-0.77,7,2.98516
-0.68,10,3.016745
-0.69,11,3.051128
-0.67,10,3.087542
-0.55,10,3.116149
-0.81,5,3.134885
-0.52,10,3.166171
-0.77,7,3.190223
-0.83,7,3.215271
-0.62,9,3.246361
-0.73,9,3.278062
-0.65,12,3.316635
-0.88,6,3.333116
-0.56,8,3.356841
-0.64,11,3.386279
-0.58,11,3.417921
-0.62,9,3.448665
-0.69,6,3.469798
-0.63,10,3.503148
-0.54,9,3.535211
-0.62,9,3.567014
-0.67,8,3.588929
-0.67,8,3.614638
-0.63,10,3.650111
-0.48,10,3.682595
-0.62,9,3.709521
-0.52,10,3.742115
-0.57,10,3.774818
-0.68,9,3.797918
-0.58,11,3.827179
-0.61,8,3.850591
-0.27,14,3.892587
-0.48,12,3.928302
-0.76,6,3.948289
-0.74,10,3.979433
-0.67,8,4.005519
-0.68,9,4.036551
-0.61,8,4.061741
-0.78,8,4.085137
-0.62,9,4.111476
-0.82,6,4.131106
-0.64,11,4.169085
-0.78,8,4.200131
-0.61,8,4.226868
-0.62,9,4.249003
-0.69,10,4.279088
1.54,9,4.304706
-0.42,12,4.345194
-0.69,10,4.376469
-0.62,9,4.400953
-0.67,9,4.43105
-0.65,8,4.457088
-0.72,8,4.532444
-0.79,9,4.577786
-0.68,10,4.609321
-0.79,9,4.632924
-0.79,9,4.659231
-0.81,5,4.676276
-0.46,10,4.786402
-0.69,10,4.811821
-0.68,9,4.835972
-0.38,13,4.871023
-0.62,9,4.892519
-0.63,10,4.919258
-0.77,7,4.941308
-0.88,6,4.962287
-0.76,6,4.983578
-0.62,9,5.008251
-0.81,5,5.023912
-0.71,7,5.044778
-0.68,9,5.074991
-0.52,10,5.106208
1.14,4,5.118648
-0.73,8,5.148094
-0.51,9,5.176381
-0.73,8,5.196678
-0.57,9,5.226576
-0.52,10,5.254295
1.14,4,5.266959
-0.53,10,5.293488
-0.82,6,5.312634
1.56,9,5.344743
-0.72,7,5.365328
-0.68,9,5.392202
-0.62,9,5.412822
-0.52,10,5.445198
-0.7,8,5.467539
-0.68,9,5.498762
-0.71,13,5.536472
-0.52,10,5.56979
-0.36,11,5.598689
-0.76,9,5.62623
-0.73,8,5.647872
-0.52,10,5.676661
-0.77,7,5.698328
-0.73,8,5.723526
-0.61,10,5.75351
-0.68,9,5.779471
-0.78,8,5.809981
1.14,4,5.824004
-0.56,10,5.849224
-0.78,8,5.87329
-0.71,6,5.889803
-0.61,11,5.917375
-0.51,9,5.946938
1.14,4,5.95889
1.34,7,5.979445
-0.63,10,6.010284
-0.88,6,6.026489
-0.67,8,6.050197
-0.57,10,6.083442
-0.83,7,6.105809
-0.62,11,6.136782
-0.7,11,6.172638
-0.71,7,6.195154
1.14,4,6.207586
-0.54,12,6.241624
-0.67,9,6.273111
-0.58,10,6.307116
-0.62,14,6.349674
-0.58,10,6.379075
-0.62,9,6.406482
-0.56,8,6.43037
-0.77,7,6.450027
-0.31,13,6.489196
-0.83,7,6.509647
-0.59,12,6.547281
-0.59,11,6.583542
-0.53,11,6.614613
-0.81,5,6.626508
-0.59,11,6.658894
1.44,8,7.540293
1.14,4,7.55011
-0.77,7,7.572267
-0.79,9,7.602082
-0.67,8,7.625194
-0.62,9,7.65212
1.14,4,7.673244
-0.62,9,7.714159
-0.68,9,7.76879
-0.6,10,7.815223
-0.75,11,7.860049
1.14,4,7.876321
-0.99,6,7.902246
-0.62,9,7.930863
1.14,4,7.943913
-0.74,10,7.977047
-0.72,8,8.01036
-0.73,8,8.038634
-0.55,10,8.070078
-0.49,10,8.099209
-0.44,9,8.12695
-0.5,10,8.15635
-0.62,9,8.192124
1.14,4,8.20733
-0.52,10,8.24295
-0.68,9,8.270586
-0.88,6,8.293769
-0.87,5,8.311311
-0.68,9,8.344395
-0.74,10,8.378777
-0.66,7,8.416056
-0.69,10,8.449678
-0.71,6,8.471305
-0.73,11,8.507432
-0.45,10,8.607853
-0.57,12,8.642334
-0.73,9,8.671287
-0.88,6,8.688465
-0.73,8,8.70946
-0.73,8,8.733723
-0.66,7,8.755553
-0.49,10,8.78441
-0.67,8,8.811686
-0.88,6,8.82936
-0.51,9,8.859635
-0.67,10,8.888114
-0.73,8,8.91125
-0.78,8,8.937333
-0.69,10,8.966379
-0.79,9,8.993322
-0.22,13,9.026551
-0.62,9,9.056406
-0.68,9,9.089053
-0.51,11,9.124807
1.19,5,9.139314
-0.67,8,9.158435
-0.68,9,9.185708
-0.82,6,9.204119
1.14,4,9.216983
-0.62,9,9.244514
-0.88,6,9.263189
-0.58,10,9.295242
-0.67,8,9.321908
-0.67,8,9.347467
-0.85,6,9.361933
-0.68,9,9.384134
-0.59,12,9.420555
-0.54,10,9.454555
-0.67,10,9.484253
-0.32,13,9.523357
-0.66,7,9.547479
-0.79,9,9.575577
-0.56,11,9.605992
-0.75,10,9.636389
-0.61,11,9.666039
-0.73,8,9.686685
-0.51,9,9.714101
-0.69,10,9.747497
-0.58,11,9.782021
-0.46,11,9.820883
-0.49,9,9.850276
-0.52,12,9.880151
-0.55,14,9.922074
-0.72,7,9.942281
-0.81,5,9.958487
-0.78,8,9.985712
-0.62,11,10.015204
-0.67,8,10.035413
-0.68,9,10.062685
-0.67,8,10.092468
-0.72,8,10.113007
-0.42,11,10.150223
-0.63,10,10.184002
-0.66,7,10.207405
-0.73,8,10.231709
1.14,4,10.24135
-0.62,9,10.268937
-0.64,11,10.302519
-0.52,10,10.334334
-0.67,8,10.361262
-0.73,8,10.389815
-0.92,5,10.406989
-0.61,8,10.430021
-0.67,8,10.458393
1.39,10,10.488947
-0.58,11,10.524158
-0.98,5,10.542424
-0.68,11,10.578511
-0.69,11,10.607509
-0.68,9,10.635639
-0.87,5,10.647509
-0.81,5,10.661138
-0.47,12,10.694545
-0.68,9,10.719192
-0.77,7,10.742033
-0.57,10,10.771266
-0.73,8,10.794777
-0.73,8,10.820175
-0.77,7,10.841639
-0.66,7,10.862517
-0.74,9,10.890606
-0.76,6,10.909367
-0.59,11,10.940836
-0.76,6,10.958819
-0.47,9,10.987504
-0.57,10,11.016724
-0.51,9,11.048373
-0.62,9,11.076026
-0.7,10,11.106726
-0.68,9,11.135281
-0.63,9,11.158598
1.19,5,11.172909
-0.49,9,11.205572
-0.71,10,11.23592
-0.88,6,11.25353
-0.67,8,11.27772
-0.67,8,11.305897
-0.87,5,11.324476
-0.73,8,11.345657
-0.37,12,11.387309
-0.56,10,11.420239
-0.74,9,11.445078
-0.53,11,11.476896
-0.51,9,11.509072
-0.52,10,11.544734
-0.66,7,11.585075
-0.78,8,11.665796
-0.74,10,11.692712
-0.76,6,11.712967
-0.47,11,11.745215
-0.7,11,11.781289
-0.68,9,11.810392
-0.77,7,11.837387
-0.78,8,11.863121
-0.87,5,11.877914
-0.83,7,11.899382
-0.62,9,11.920722
-0.62,9,11.947252
1.14,4,11.959251
-0.86,7,11.979533
-0.68,9,12.066254
-0.69,10,12.099803
-0.77,7,12.118648
-0.65,9,12.144937
-0.71,9,12.173024
-0.87,5,12.189868
-0.88,6,12.205304
-0.52,10,12.235793
-0.77,7,12.260539
-0.49,9,12.290864
-0.74,10,12.32157
-0.62,9,12.347288
-0.84,8,12.371243
-0.62,9,12.397238
-0.54,9,12.424617
-0.63,10,12.453518
-0.72,7,12.478234
-0.66,7,12.502455
-0.74,9,12.531883
-0.81,5,12.549684
-0.51,8,12.57771
-0.78,8,12.604764
1.14,4,12.616691
-0.74,9,12.644301
-0.88,6,12.662999
-0.87,6,12.681935
1.14,4,12.692753
-0.73,8,12.71175
1.14,4,12.721728
-0.52,10,12.751117
-0.84,8,12.772533
-0.67,8,12.794885
1.14,4,12.805414
-0.57,9,12.831602
-0.62,9,12.858908
-0.67,8,12.885875
-0.66,7,12.90535
-0.55,10,12.93532
-0.73,8,12.961001
-0.48,12,13.002846
-0.65,9,13.031118
-0.68,8,13.056171
-0.63,10,13.086641
-0.79,9,13.110835
-0.73,8,13.1375
-0.61,8,13.162597
-0.73,8,13.185507
-0.46,9,13.21352
-0.58,11,13.245282
1.49,10,13.272815
1.56,10,13.31227
-0.72,8,13.338947
-0.53,10,13.370927
-0.95,8,13.394117
-0.65,8,13.420794
-0.61,8,13.448998
-0.78,8,13.473512
-0.61,8,13.499838
-0.52,10,13.5353
-0.83,7,13.554953
-0.65,9,13.583423
-0.69,9,13.611315
-0.76,6,13.6295
-0.55,10,13.655074
-0.82,6,13.67382
-0.78,8,13.699302
-0.58,10,13.733591
-0.63,10,13.769087
-0.82,6,13.789338
-0.58,10,13.818501
-0.89,7,13.837024
1.14,4,13.845693
-0.69,10,13.874992
-0.3,12,13.910662
-0.63,10,13.939399
-0.62,9,13.967561
-0.74,10,14.001464
-0.74,9,14.031536
-0.41,12,14.070132
-0.73,8,14.102149
-0.71,8,14.1273
-0.41,10,14.158953
-0.62,9,14.189295
-0.51,9,15.015654
1.14,4,15.026458
-0.51,9,15.051934
-0.75,10,15.086509
-0.58,10,15.114025
-0.43,12,15.150379
1.14,4,15.16089
-0.81,11,15.197206
-0.9,9,15.227894
-0.72,7,15.254593
-0.58,10,15.287418
-0.66,7,15.309987
-0.67,8,15.333625
-0.73,8,15.360137
-0.55,10,15.396631
-0.67,9,15.421443
1.14,4,15.43429
-0.79,9,15.465969
-0.87,8,15.489922
-0.88,6,15.503584
-0.68,9,15.530555
1.14,4,15.542422
-0.74,10,15.573369
-0.56,8,15.601761
-0.53,11,15.635555
-0.51,9,15.663351
-0.73,8,15.688065
-0.66,7,15.711703
-0.68,9,15.734639
-0.67,8,15.760426
-0.68,9,15.794267
-0.89,7,15.813774
-0.45,11,15.842377
-0.71,8,15.861856
-0.71,7,15.886781
-0.63,10,15.914742
1.14,4,15.925519
1.29,6,15.987778
-0.86,7,16.019974
-0.63,10,16.054926
-0.62,9,16.081516
-0.68,9,16.105468
-0.63,10,16.131972
-0.87,5,16.144426
-0.57,9,16.171012
-0.68,9,16.195281
-0.76,6,16.214674
-0.53,10,16.250091
-0.72,7,16.27132
-0.8,10,16.304192
-0.44,9,16.335913
1.53,13,16.377951
-0.77,7,16.402108
-0.65,8,16.42608
-0.74,9,16.453233
-0.61,8,16.483832
-0.49,9,16.509604
1.14,4,16.520976
-0.73,8,16.543605
-0.86,7,16.564023
-0.54,9,16.591186
1.14,4,16.602341
-0.69,11,16.631885
-0.83,7,16.65346
-0.68,9,16.676132
-0.68,9,16.699246
-0.57,10,16.724134
-0.61,8,16.75218
-0.72,8,16.776535
-0.83,7,16.802153
-0.78,8,16.825308
-0.87,5,16.839007
-0.72,7,16.861128
-0.66,7,16.883179
1.14,4,16.895442
1.14,4,16.907113
1.14,4,16.918187
-0.73,8,16.94584
-0.88,6,16.961696
-0.73,8,16.984524
-0.71,7,17.009084
-0.48,12,17.046004
1.19,5,17.061957
-0.68,10,17.090643
-0.52,10,17.122843
1.14,4,17.133687
-0.77,7,17.155946
-0.88,6,17.170601
-0.73,8,17.195282
-0.68,9,17.220482
-0.68,9,17.245929
1.14,4,17.257924
-0.6,11,17.288122
-0.72,7,17.308178
-0.52,10,17.336257
-0.62,9,17.357626
-0.79,9,17.385431
-0.64,10,17.422279
-0.68,9,17.452559
-0.73,8,17.483258
-0.76,9,17.504841
-0.39,11,17.53888
-0.57,10,17.568922
-0.68,9,17.59392
-0.57,9,17.623796
-0.75,10,17.655059
-0.47,14,17.698993
-0.79,9,17.725715
-0.72,8,17.746161
-0.56,8,17.771712
-0.66,10,17.803164
1.51,9,17.831889
-0.68,9,17.857612
-0.73,9,17.88688
-0.68,10,17.919209
1.29,6,17.937388
-0.67,8,17.963241
-0.74,9,17.991407
-0.79,9,18.020636
-0.61,8,18.04441
-0.84,8,18.065661
-0.87,8,18.088376
-0.69,10,18.118495
-0.54,12,18.152792
-0.82,6,18.169883
1.14,4,18.182291
-0.78,8,18.207122
-0.88,6,18.226665
-0.68,10,18.257504
-0.83,7,18.278985
-0.78,8,18.303526
-0.52,10,18.332317
-0.52,10,18.361488
-0.4,11,18.394083
1.14,4,18.404947
-0.57,9,18.436013
-0.62,9,18.460183
-0.52,10,18.495056
-0.82,6,18.517127
-0.65,11,18.55086
-0.61,8,18.578773
-0.77,7,18.602326
-0.83,7,18.622303
-0.81,5,18.636539
-0.71,6,18.65551
-0.69,10,18.686854
-0.58,10,18.718802
-0.57,10,18.75037
-0.52,10,18.782002
-0.82,6,18.801462
-0.63,10,18.831999
-0.69,10,18.862067
1.14,4,18.874493
-0.73,8,18.898086
-0.63,10,18.990281
-0.82,6,19.007681
-0.61,8,19.035675
-0.74,9,19.063703
-0.84,8,19.087986
-0.66,10,19.120494
-0.72,7,19.139437
-0.68,9,19.163168
-0.83,7,19.182809
-0.81,5,19.197709
-0.53,11,19.283107
-0.69,7,19.308557
-0.71,6,19.331016
1.14,4,19.344207
-0.64,11,19.376053
1.14,4,19.3877
-0.73,8,19.409046
-0.8,10,19.435722
-0.78,8,19.457003
-0.47,11,19.493558
-0.79,9,19.524454
1.14,4,19.535666
-0.57,10,19.570021
-0.58,10,19.600498
-0.54,12,19.636099
1.14,4,19.650139
-0.62,9,19.672499
-0.51,9,19.702749
1.14,4,19.715649
-0.69,10,19.751301
-0.77,7,19.774798
-0.74,7,19.795717
-0.52,11,19.829164
-0.72,8,19.857519
-0.93,6,19.879951
-0.94,7,19.900591
-0.49,10,19.934715
-0.81,8,19.954684
-0.82,6,19.969893
-0.62,9,19.990869
-0.84,8,20.01348
-0.78,8,20.038286
-0.73,8,20.068557
1.14,4,20.081024
1.42,10,20.110475
1.14,4,20.121803
-0.52,10,20.151876
-0.77,7,20.173848
-0.68,10,20.205059
-0.88,6,20.219555
-0.99,6,20.237237
-0.71,7,20.26188
1.14,4,20.274064
-0.58,11,20.307458
-0.58,10,20.338431
-0.89,8,20.360736
1.14,4,20.371648
-0.72,8,20.397681
-0.73,8,20.422378
-0.88,6,20.442385
-0.62,9,20.468552
-0.6,9,20.499959
1.14,4,20.512082
-0.59,11,20.538244
-0.63,9,20.565586
-0.77,7,20.585635
-0.59,8,20.612718
-0.69,10,20.646582
-0.83,7,20.671882
-0.83,7,20.692457
1.49,9,20.72454
-0.4,11,20.760582
-0.51,11,20.79855
-0.73,9,20.827815
-0.63,10,20.858693
-0.56,9,20.884268
-0.83,7,20.906915
-0.82,6,20.926991
-0.58,10,20.95906
-0.72,8,20.979636
-0.51,9,21.006847
-0.49,13,21.044657
-0.74,9,21.066747
-0.47,11,21.097375
-0.65,12,21.135774
-0.62,9,21.164225
-0.4,12,21.205701
-0.67,8,21.227877
-0.73,8,21.250371
-0.72,7,21.275134
-0.63,10,21.30519
-0.52,10,21.326824
-0.61,8,21.351954
-0.14,12,21.397335
1.46,8,21.419755
1.14,4,21.432675
-0.41,10,22.295944
-0.67,8,22.325464
1.14,4,22.339711
-0.63,11,22.376904
1.14,4,22.39034
-0.67,8,22.414553
-0.51,9,22.441871
-0.78,8,22.467777
-0.63,10,22.498375
-0.52,10,22.530063
-0.82,6,22.548302
-0.77,7,22.568361
-0.52,10,22.601192
1.14,4,22.613233
1.14,4,22.625152
-0.62,9,22.655058
-0.77,7,22.679049
1.14,4,22.692283
-0.73,8,22.718187
-0.69,10,22.748937
-0.57,10,22.778002
-0.69,10,22.811927
-0.7,8,22.837137
-0.57,13,22.891678
-0.71,6,22.913476
-0.73,8,22.93699
-0.59,9,22.963629
-0.42,12,23.002835
1.59,9,23.029633
-0.68,9,23.055159
-0.67,8,23.07641
1.19,5,23.090297
-0.64,11,23.125311
-0.26,11,23.16552
-0.69,10,23.193168
-0.82,6,23.214544
-0.91,4,23.228953
-0.5,10,23.314114
-0.71,7,23.33984
-0.78,8,23.366037
-0.83,7,23.387155
-0.68,9,23.412481
-0.58,10,23.444858
-0.63,10,23.47814
-0.4,12,23.511082
-0.59,11,23.545193
-0.82,6,23.565463
-0.58,10,23.598595
-0.47,11,23.635203
-0.68,9,23.661294
-0.83,7,23.680017
-0.66,13,23.721801
1.14,4,23.735369
-0.69,10,23.770359
-0.48,12,23.798542
1.53,10,23.830573
-0.8,6,23.850192
-0.69,10,23.883737
-0.68,9,23.911589
-0.73,11,23.942679
-0.34,11,23.979527
-0.62,9,24.00622
-0.67,8,24.033533
-0.68,9,24.054092
-0.71,6,24.074697
-0.52,11,24.113282
-0.73,8,24.141098
-0.72,8,24.164315
-0.66,7,24.187335
-0.55,10,24.216803
-0.79,9,24.242286
1.14,4,24.255089
-0.57,10,24.284481
-0.68,9,24.314696
-0.62,9,24.343232
-0.63,10,24.374263
-0.67,8,24.399928
-0.37,12,24.438564
-0.78,8,24.464398
-0.82,6,24.487077
-0.52,10,24.519393
-0.67,8,24.542451
-0.76,6,24.56174
-0.73,9,24.589739
-0.8,10,24.613327
-0.65,9,24.636437
1.14,4,24.645312
-0.52,10,24.674523
-0.66,10,24.704278
-0.51,9,24.727914
-0.68,9,24.755255
-0.83,7,24.776243
1.14,4,24.788485
1.29,6,24.809278
1.19,5,24.824058
1.14,4,24.835613
-0.74,9,24.864259
-0.77,7,24.88831
1.14,4,24.899035
-0.67,8,24.92364
-0.63,9,24.955671
-0.46,10,24.982988
-0.8,10,25.011162
-0.45,11,25.039006
-0.74,10,25.070916
1.14,4,25.080404
-0.51,10,25.110994
-0.52,10,25.137599
-0.67,8,25.163893
-0.64,8,25.190086
1.14,4,25.198693
1.14,4,25.211844
-0.49,9,25.239604
1.14,4,25.248454
1.14,4,25.262318
-0.57,10,25.293483
-0.34,10,25.323161
-0.71,7,25.347949
1.14,4,25.359972
-0.72,7,25.380057
-0.4,12,25.419428
-0.77,7,25.443648
-0.51,12,25.479284
-0.73,8,25.504065
-0.6,9,25.530213
-0.54,12,25.565255
1.14,4,25.574888
-0.73,8,25.60034
-0.65,12,25.693077
-0.79,9,25.737476
-0.52,10,25.764496
-0.63,10,25.795916
-0.59,11,25.829165
-0.48,11,25.862242
-0.59,13,25.905442
1.14,4,25.919078
-0.61,13,25.96364
-0.83,7,25.984552
-0.67,8,26.011027
-0.51,9,26.040621
1.14,4,26.051023
-0.58,10,26.080113
1.14,4,26.090875
-0.6,10,26.127419
1.14,4,26.14133
-0.69,10,26.175267
-0.88,7,26.19515
-0.88,7,26.214294
1.14,4,26.226323
-0.66,7,26.246842
1.63,12,26.279614
-0.79,9,26.31103
-0.68,9,26.369586
-0.83,7,26.416553
-0.63,10,26.451251
-0.55,13,26.487367
1.54,9,26.513641
-0.84,8,26.53721
1.14,4,26.552116
-0.61,8,26.578544
-0.83,7,26.596847
-0.72,7,26.614844
1.19,5,26.629276
-0.68,11,26.654181
-0.43,12,26.692123
1.65,12,26.730502
-0.63,10,26.763065
-0.54,12,26.802864
-0.88,6,26.820701
-0.52,10,26.851732
-0.77,7,26.875733
-0.79,9,26.902498
-0.76,6,26.921133
-0.62,9,26.945828
-0.36,14,26.990141
1.48,10,27.023242
-0.45,12,27.060795
-0.68,9,27.089646
-0.68,9,27.116191
1.19,5,27.130085
-0.89,7,27.154611
-0.74,9,27.184369
-0.67,8,27.212868
-0.72,8,27.239075
-0.63,10,27.270591
1.59,9,27.303668
-0.68,9,27.3285
1.14,4,27.340479
-0.64,11,27.375981
