#{"t_start": 1762632866.0304399, "env_id": "None"}
r,l,t
1.19,5,0.0709
1.19,5,0.083587
1.29,6,0.103081
1.14,4,0.116239
-0.88,7,0.142378
-0.86,5,0.159784
1.19,5,0.175835
1.35,8,0.201913
1.14,4,0.215766
1.14,4,0.228971
1.19,5,0.246883
-0.82,7,0.274854
-0.66,7,0.300368
1.14,4,0.31405
-0.76,6,0.335215
1.14,4,0.347316
1.29,6,0.367323
-0.86,4,0.38216
-0.81,5,0.400906
1.18,6,0.424458
-0.76,6,0.446482
1.14,4,0.458468
-0.82,6,0.529338
1.14,4,0.555479
-0.81,5,0.574253
-0.88,6,0.593385
1.14,4,0.60583
1.34,7,0.627374
1.14,4,0.639938
1.19,5,0.651691
1.19,5,0.667477
1.19,5,0.682929
1.19,5,0.699268
-0.81,5,0.717144
-0.76,6,0.734434
-0.86,5,0.752744
1.19,5,0.769143
-0.71,6,0.795335
1.29,6,0.816397
-0.86,4,0.830188
-0.72,7,0.855625
1.14,4,0.868762
-0.72,7,0.893333
-0.83,7,0.918333
1.21,9,0.948582
1.2,6,0.964861
1.14,4,0.977501
1.21,5,0.992957
1.19,5,1.010652
-0.82,6,1.029681
1.14,4,1.040316
1.19,5,1.055227
1.19,5,1.070625
-0.81,5,1.083164
1.14,4,1.094224
-0.79,5,1.111744
1.41,8,1.137842
1.14,4,1.148659
-0.76,6,1.167429
1.18,6,1.185475
1.19,5,1.197843
1.14,4,1.209852
-0.72,9,1.234466
1.14,4,1.244013
-0.92,5,1.258925
1.14,4,1.270353
1.19,5,1.2851
1.14,4,1.294149
-0.86,4,1.305264
1.29,6,1.323288
-0.91,4,1.335264
1.19,5,1.351668
1.19,5,1.36785
-0.81,6,1.383569
1.14,4,1.395916
-0.81,11,1.430494
-0.77,7,1.451874
-0.96,5,1.468346
1.14,4,1.481745
-0.87,6,1.49879
1.14,4,1.51122
1.29,6,1.526623
1.14,4,1.5381
1.14,4,1.549969
1.14,4,1.559725
1.29,6,1.578515
1.29,6,1.597571
1.13,5,1.611407
1.14,4,1.623232
-0.81,5,1.640152
1.39,7,1.661318
1.29,6,1.677435
-0.86,5,1.694834
1.19,5,1.709894
1.28,7,1.73038
1.14,4,1.743059
-0.82,6,1.762047
1.34,7,1.783041
-0.87,6,1.806027
-0.81,5,1.822414
1.14,4,1.831789
-0.86,4,1.844639
-0.91,4,1.857219
1.14,4,1.868857
1.14,4,1.879325
1.19,5,1.894757
-0.77,7,1.918014
-0.67,8,1.941518
1.14,4,1.952921
1.14,4,1.964061
-0.76,8,1.986403
1.14,4,1.99469
1.14,4,2.006551
-0.81,5,2.019133
-0.86,5,2.03439
-0.76,6,2.051029
1.14,4,2.060462
1.14,4,2.071697
-0.71,6,2.091439
1.14,4,2.102989
-0.91,4,2.114928
-0.86,5,2.129472
1.39,8,2.15547
-0.81,5,2.171582
-0.83,8,2.194905
1.19,5,2.208912
-0.81,5,2.225016
1.13,5,2.240263
1.19,5,2.255021
-0.91,4,2.267708
1.14,4,2.277461
1.14,4,2.290745
1.14,4,2.302556
1.14,4,2.313696
1.23,7,2.334687
1.24,6,2.350423
1.14,4,2.361403
-0.87,6,2.380311
-0.76,6,2.397114
1.19,5,2.413233
-0.97,4,2.425788
1.19,5,2.441416
1.19,5,2.456018
1.18,6,2.473277
1.14,4,2.486999
-0.82,7,2.50824
1.14,4,2.520332
1.19,5,2.532239
1.13,5,2.544138
1.19,5,2.558813
1.14,4,2.571961
1.34,7,2.592812
1.14,4,2.604076
1.29,6,2.623002
-0.76,6,2.64054
-0.82,6,2.659412
-0.91,4,2.670831
1.33,8,2.695255
1.14,4,2.708049
1.14,4,2.718981
1.19,5,2.730934
-0.86,5,2.744352
1.14,4,2.75605
1.14,4,2.767565
1.29,6,2.78764
-0.92,5,2.804967
-0.77,7,2.830623
1.14,4,2.842256
-0.88,7,2.861364
-0.77,7,2.885101
1.29,6,2.903731
1.14,4,2.915262
1.36,7,2.933963
1.14,4,2.945421
-0.84,9,2.975228
1.14,4,2.98634
1.28,7,3.005803
-0.62,8,3.031455
1.14,4,3.04413
1.34,7,3.061473
1.34,7,3.081178
1.39,8,3.102504
-0.81,6,3.121273
1.19,5,3.132592
-0.81,5,3.148668
1.14,4,3.158947
1.14,4,3.169522
-0.71,6,3.187293
1.14,4,3.197753
1.14,4,3.208675
-0.76,6,3.225442
-0.82,6,3.244318
1.14,4,3.255808
1.14,4,3.266627
1.14,4,3.278091
1.19,5,3.292261
1.14,4,3.304443
1.19,5,3.319881
1.39,7,3.341697
1.18,6,3.357855
1.14,4,3.368608
1.19,5,3.380932
1.19,5,3.394444
1.14,4,3.406461
1.14,4,3.418125
1.14,4,3.429211
-0.71,6,3.450274
1.29,6,3.529546
1.28,7,3.551198
1.14,4,3.561674
1.14,4,3.573853
1.14,4,3.585371
1.14,4,3.596176
-0.76,6,3.615477
-0.86,4,3.626792
1.14,4,3.637755
1.14,4,3.648691
1.28,8,3.675492
