#{"t_start": 1762632561.0667217, "env_id": "None"}
r,l,t
-0.9,12,1.551917
-0.93,6,1.567187
-0.79,12,1.600086
1.19,5,1.609893
1.38,9,1.633702
-0.89,10,1.655175
1.29,6,1.669421
1.28,10,1.695711
-0.71,13,1.728986
1.21,8,1.749018
-0.83,7,1.769505
1.22,8,1.791233
1.29,9,1.81585
-0.62,9,1.838902
1.18,6,1.854828
-0.78,11,1.884052
-1.0,7,1.902574
1.34,7,1.922412
1.7,15,1.960219
-0.67,9,1.985505
-0.47,16,2.027656
-0.78,11,2.056932
-0.9,8,2.075229
-0.67,17,2.112948
1.29,10,2.139195
-0.46,15,2.176932
-0.76,9,2.202864
1.5,10,2.227039
-0.53,15,2.267263
-0.67,14,2.299908
-0.99,6,2.31334
-0.87,12,2.341853
-0.89,10,2.365135
1.17,10,2.392361
1.35,15,2.428109
-0.47,13,2.460243
1.19,5,2.474192
-0.67,13,2.50356
-0.7,9,2.528963
1.22,7,2.546629
-0.71,9,2.569378
1.12,9,2.590844
1.13,8,2.612484
1.16,8,2.634159
-0.57,15,2.674651
-0.86,13,2.706896
-0.62,18,2.746266
1.32,9,2.770014
-0.67,12,2.799278
1.29,12,2.825969
-1.01,8,2.845465
-0.88,6,2.859991
1.15,5,2.873029
-0.51,14,2.906119
1.19,13,2.935753
-0.87,8,2.954359
-0.92,8,2.97356
-0.81,5,2.985976
-0.39,15,3.020963
1.29,9,3.043375
1.33,9,3.065921
1.12,6,3.076872
-0.75,15,3.110293
1.39,13,3.142915
1.41,10,3.170873
-0.81,14,3.203105
1.29,12,3.229187
-0.8,9,3.249866
-0.97,4,3.26009
1.44,12,3.289599
1.18,12,3.316569
-0.6,10,3.340893
1.1,8,3.359057
-0.83,13,3.38776
-0.77,10,3.407258
1.4,10,3.428216
1.36,12,3.45969
-0.85,9,3.532045
-0.41,12,3.559419
-0.95,8,3.580366
-0.79,9,3.598702
1.11,10,3.625062
-0.86,10,3.644372
-0.86,8,3.664528
-0.93,6,3.676307
1.32,12,3.703744
1.48,11,3.73002
-0.88,11,3.75587
-0.9,8,3.773998
-0.5,13,3.804936
1.25,13,3.840161
1.33,8,3.858878
-0.86,11,3.88542
-0.63,9,3.909483
-0.68,13,3.940337
-0.77,12,3.974876
-0.42,13,4.012327
-0.58,15,4.050715
1.16,5,4.059897
1.24,5,4.072945
-0.45,15,4.11093
1.46,10,4.135651
-0.73,16,4.173817
1.24,6,4.186328
1.37,10,4.209987
1.44,11,4.238686
1.36,8,4.256695
1.28,10,4.280302
-0.84,14,4.31313
-0.67,8,4.333074
-0.8,10,4.358776
-0.47,17,4.397619
-0.95,8,4.413849
1.43,10,4.439003
-0.76,9,4.458376
1.18,9,4.48293
-0.97,4,4.492928
-0.88,7,4.512392
1.33,11,4.53927
-0.85,9,4.560854
-0.76,12,4.589782
-0.75,13,4.621107
-0.67,10,4.651851
1.41,14,4.68186
-0.68,10,4.70852
-0.7,14,4.744436
-0.57,12,4.774049
-0.57,15,4.811656
1.21,6,4.828004
-0.63,13,4.856291
-0.62,12,4.884448
-0.82,9,4.899388
1.23,7,4.917303
1.35,11,4.947348
-0.38,15,4.979703
-0.61,13,5.016483
