#{"t_start": 1762613731.7382848, "env_id": "None"}
r,l,t
-0.81,6,0.0848
1.19,5,0.104148
-0.88,7,0.134334
-0.65,12,0.179802
-0.91,4,0.194808
1.24,6,0.213299
1.14,4,0.23178
1.22,10,0.278434
-0.83,7,0.305469
-0.77,6,0.323888
-0.81,11,0.366808
1.29,9,0.400509
-0.91,10,0.441944
-0.71,6,0.462533
-0.98,5,0.483774
1.19,5,0.506667
1.35,8,0.534686
1.14,4,0.549471
-0.97,4,0.56748
1.14,4,0.58354
1.13,5,0.601259
1.13,5,0.622118
-0.78,7,0.652037
-0.92,5,0.671358
-0.97,4,0.687178
-0.81,5,0.702383
1.18,6,0.728611
-0.97,4,0.744239
-0.67,8,0.77598
1.19,5,0.796984
-0.88,7,0.828257
-0.88,6,0.85006
-0.98,5,0.868603
-0.54,9,0.905325
1.18,9,0.940439
-0.86,4,0.95436
-0.91,4,0.969881
-1.03,4,0.982386
-0.86,4,0.998369
-0.62,11,1.046227
-1.03,4,1.063788
-0.71,6,1.094496
1.18,6,1.130604
-0.89,7,1.163667
-1.04,5,1.188362
-0.91,4,1.20476
-0.97,4,1.225317
-0.72,8,1.263255
-0.98,5,1.283517
-0.82,6,1.315347
-0.88,7,1.350498
1.14,4,1.367407
-1.0,7,1.402964
1.28,7,1.447548
-0.88,7,1.550293
-0.79,9,1.585801
-0.86,5,1.609766
-0.91,4,1.626653
-0.78,8,1.660235
1.11,7,1.686088
1.24,6,1.706214
-0.77,7,1.734547
-0.87,9,1.774428
-0.97,4,1.791017
-0.84,8,1.820796
-0.73,8,1.853958
-0.95,8,1.895008
1.14,4,1.910643
-1.03,4,1.927641
-0.68,9,1.967379
-0.97,4,1.983859
1.19,5,1.999522
-0.86,5,2.020648
-0.93,6,2.046115
1.13,5,2.062183
-0.86,4,2.077648
-0.75,8,2.110569
1.13,5,2.126232
1.05,8,2.15746
-0.92,8,2.183038
-0.68,10,2.216377
-0.8,7,2.242079
-0.97,4,2.26194
-0.82,6,2.292788
-0.91,4,2.306767
-0.82,6,2.328347
-0.97,4,2.346887
-0.83,7,2.378471
1.19,5,2.39406
-0.92,5,2.414297
-0.91,4,2.431344
-0.94,7,2.451253
1.19,5,2.475657
-0.7,9,2.506736
-0.66,8,2.537031
-0.87,6,2.556489
-0.93,6,2.583569
-0.85,9,2.624981
1.18,6,2.721772
-0.92,5,2.739104
-0.74,11,2.7779
-0.69,7,2.802937
-0.82,7,2.829626
-0.73,9,2.858659
-0.97,4,2.870555
-0.86,4,2.884365
1.28,9,2.920902
-0.86,4,2.931699
-0.8,7,2.957463
1.18,6,2.979546
-0.99,6,3.00294
-0.91,4,3.016069
-0.99,6,3.039861
1.14,4,3.051336
-0.99,6,3.072237
-0.84,8,3.099309
-0.79,6,3.124377
1.25,7,3.149633
1.26,7,3.173575
1.14,10,3.220252
-0.98,5,3.249574
-0.97,4,3.27596
1.26,6,3.347862
-0.79,7,3.366231
1.38,9,3.398472
-0.9,6,3.42065
-0.8,10,3.459803
-0.87,11,3.493253
-0.91,6,3.523306
1.37,9,3.557626
-0.89,8,3.602997
-0.81,5,3.624364
-0.83,7,3.656633
-0.87,6,3.680568
-0.82,9,3.716699
1.14,4,3.732172
-0.67,11,3.772772
-0.92,5,3.788562
-0.66,10,3.835613
1.23,7,3.864744
-0.99,6,3.885945
1.19,5,3.898903
-0.9,9,3.9318
-0.98,5,3.951452
-0.82,6,3.975165
-0.92,5,3.991624
-0.95,5,4.011731
1.13,5,4.030376
-0.66,7,4.055373
1.34,8,4.083783
-0.97,4,4.101363
-0.92,5,4.124529
-0.86,5,4.145628
-0.9,6,4.165941
-0.95,8,4.201887
-0.98,5,4.222293
-0.76,6,4.241915
1.16,8,4.269613
-0.84,6,4.29693
-0.86,5,4.31309
-0.91,4,4.327261
1.2,6,4.347309
1.14,4,4.363904
