#{"t_start": 1762614385.1346126, "env_id": "None"}
r,l,t
-0.66,15,0.192353
-0.65,12,0.247797
-0.76,9,0.291916
1.34,12,0.346193
-0.92,10,0.383531
-0.84,10,0.426216
-0.48,14,0.496338
-0.49,12,0.552569
-0.62,14,0.666762
-0.96,11,0.710611
1.51,11,0.765455
-0.68,12,0.80977
-0.58,9,0.85043
-0.78,12,0.900581
1.14,4,0.915837
-0.67,10,1.030339
-0.6,11,1.089159
-0.86,5,1.108403
-0.54,11,1.15389
-0.76,15,1.21203
-0.61,11,1.322905
-0.75,10,1.365681
-0.86,5,1.38705
-0.62,11,1.423587
1.56,12,1.471353
-0.65,14,1.59433
1.38,12,1.65234
-0.54,13,1.707959
-0.89,7,1.742073
-0.73,8,1.776183
-0.64,11,1.82351
-0.47,15,1.882417
-0.54,11,1.930913
-0.95,10,1.971606
-0.62,14,2.091525
-0.57,13,2.138371
-0.6,10,2.189047
-0.67,8,2.222979
-0.37,11,2.286251
-0.55,17,2.409295
-0.7,12,2.466594
-0.96,11,2.509934
-0.69,13,2.572739
-0.71,9,2.673056
-0.56,11,2.721071
-0.56,8,2.753166
-0.42,14,2.807801
-0.45,12,2.856217
-0.36,14,2.918605
-0.77,11,2.97629
-0.94,10,3.019529
-0.62,8,3.109076
-0.58,10,3.163724
-0.73,11,3.205786
-0.6,9,3.25186
-0.48,17,3.32464
-0.53,14,3.398756
-0.62,8,3.502056
-0.74,9,3.622819
-0.71,10,3.70307
-0.77,8,3.735002
-0.75,11,3.779321
-0.75,8,3.826654
-0.83,7,3.903255
-0.62,12,3.948928
1.36,8,3.98429
-0.85,9,4.022118
-0.42,10,4.070457
-0.49,12,4.12215
1.42,12,4.170084
-0.53,12,4.281678
-0.47,11,4.328346
-0.71,10,4.377949
-0.74,11,4.419742
-0.98,5,4.441411
-0.84,8,4.47362
-0.72,14,4.525251
-0.97,4,4.539572
-0.85,6,4.57033
-0.65,14,4.632605
-0.7,15,4.691132
-0.83,7,4.784372
1.46,12,4.846898
-0.63,9,4.888613
-0.4,15,4.979951
-0.77,10,5.01034
-0.6,10,5.069078
-0.56,11,5.110594
-0.84,8,5.137845
-0.71,10,5.173642
-0.69,7,5.199321
-0.61,8,5.234679
-0.47,10,5.266811
-0.78,7,5.292242
-0.68,12,5.335236
1.65,13,5.387007
-0.7,9,5.417565
-0.78,11,5.455879
-0.55,12,5.500987
-0.93,6,5.527038
-0.69,11,5.562926
1.33,8,5.591184
-0.6,12,5.639693
-0.58,10,5.684153
-0.97,7,5.711837
-0.42,11,5.748737
-0.71,13,5.793112
-0.91,10,5.824519
-0.95,11,5.867067
-0.76,8,5.914729
1.2,9,5.954746
-0.67,10,5.998627
-0.52,12,6.039887
1.53,12,6.083222
-0.4,14,6.134064
-0.14,19,6.200462
-0.51,12,6.241918
-0.48,12,6.280929
1.14,4,6.295316
-0.74,7,6.325634
-0.85,9,6.363544
-0.53,14,6.407359
-0.86,13,6.453739
-0.63,10,6.495052
