#{"t_start": 1762605485.6007044, "env_id": "None"}
r,l,t
0.191,13,1.43806
-0.704,6,1.446362
-0.107,11,1.459474
-0.706,8,1.473469
1.092,14,1.49666
0.995,6,1.50481
-0.106,9,1.517075
-0.406,9,1.527704
1.294,8,1.541253
-0.406,9,1.553218
1.588,14,1.570301
0.993,8,1.581256
0.192,11,1.595736
-0.109,12,1.609447
-1.007,8,1.621415
3.089,17,1.642221
-0.709,11,1.658424
1.89,14,1.679914
-1.004,5,1.6864
1.589,13,1.7016
-0.707,9,1.713885
1.693,14,1.729587
1.592,11,1.74517
-0.109,12,1.760924
-0.408,11,1.776925
-1.005,6,1.78615
0.489,16,1.806288
0.995,6,1.815657
-0.113,17,1.836323
-1.007,8,1.847958
0.792,13,1.863129
-0.408,10,1.875955
1.594,9,1.88838
1.592,11,1.901189
1.092,14,1.918252
-0.11,13,1.934337
-0.402,5,1.942785
0.195,10,1.957735
1.293,9,1.969412
-1.004,5,1.975986
1.091,16,1.99647
-0.71,12,2.012504
1.59,13,2.027026
0.19,13,2.041424
1.296,6,2.051196
2.491,14,2.068815
0.493,11,2.083684
-0.708,10,2.099961
0.189,14,2.129352
-0.706,8,2.147513
-1.004,5,2.154617
1.293,9,2.169333
-0.408,11,2.188449
1.29,12,2.204309
-0.407,10,2.219149
0.996,5,2.224774
-0.707,9,2.238693
0.993,8,2.249119
-0.41,12,2.266295
1.592,11,2.280657
1.594,8,2.292455
0.994,7,2.303075
-1.004,5,2.310809
0.993,8,2.320702
1.893,11,2.338228
-1.009,10,2.35181
0.994,7,2.361513
-0.106,9,2.378088
-0.406,9,2.39134
2.49,14,2.407294
1.294,8,2.418822
-1.006,7,2.428138
1.295,7,2.438871
1.892,11,2.454023
1.088,17,2.475611
0.189,16,2.49692
0.994,7,2.507038
0.189,16,2.524474
1.29,12,2.580236
0.991,10,2.593556
1.59,13,2.614633
-0.407,9,2.625484
-0.408,10,2.640145
1.593,10,2.653254
-0.707,9,2.66585
-0.71,12,2.68139
0.19,14,2.696991
1.295,7,2.705336
2.496,9,2.719303
1.591,12,2.733655
0.989,12,2.750386
-0.709,11,2.764685
1.291,11,2.780447
-0.714,16,2.800823
-1.007,8,2.811564
1.292,10,2.823015
-0.706,8,2.837099
-1.005,6,2.85683
-1.005,6,2.870239
0.995,6,2.885493
0.993,8,2.905758
1.89,14,2.936597
1.291,11,2.959574
0.79,15,2.992286
-1.005,6,3.006098
1.593,10,3.033086
-0.105,9,3.052445
-1.013,14,3.087157
-0.708,10,3.106765
