#{"t_start": 1762606334.2662256, "env_id": "None"}
r,l,t
-0.106,9,0.080321
-1.007,8,0.105552
-0.105,8,0.12625
-0.11,14,0.168564
-0.411,14,0.218079
-0.407,10,0.250445
2.19,15,0.300771
-0.41,13,0.341958
0.79,15,0.403176
-0.408,11,0.447115
-1.006,7,0.469886
0.79,16,0.525955
-0.111,14,0.570333
-0.11,13,0.611475
0.986,15,0.656547
1.888,16,0.699124
1.394,14,0.750304
-0.712,14,0.802857
-0.405,8,0.830417
-0.408,11,0.865728
-0.406,9,0.894091
-0.405,8,0.920834
0.193,12,0.964368
0.191,13,1.00734
0.188,17,1.056223
0.79,15,1.102978
-0.106,9,1.130713
-1.003,4,1.145737
-0.11,14,1.241035
1.89,13,1.288028
1.592,11,1.321043
0.191,12,1.357314
-0.409,12,1.39695
-0.107,10,1.42431
-0.408,11,1.455858
0.491,14,1.501038
1.089,17,1.5499
-0.108,12,1.591163
-0.407,10,1.620098
0.791,15,1.664709
1.593,10,1.696809
0.487,18,1.744118
-0.409,12,1.781749
-0.11,13,1.819861
0.489,16,1.865319
0.488,17,1.926345
0.487,18,1.98473
0.19,15,2.029344
-0.108,12,2.065826
2.192,13,2.105823
-0.402,5,2.118793
-0.405,8,2.149219
0.192,12,2.192238
-0.107,10,2.225991
2.191,14,2.270742
-0.709,11,2.300037
-1.004,5,2.31609
-0.411,14,2.363309
-1.012,13,2.403239
1.588,15,2.45281
-0.409,12,2.489523
-0.109,13,2.527422
-0.703,5,2.543542
2.487,18,2.590992
-0.106,9,2.61968
1.895,9,2.653257
0.49,14,2.698195
0.795,10,2.731028
-0.407,10,2.760963
2.49,15,2.802772
-0.111,15,2.841892
0.19,15,2.888943
0.792,14,2.933986
-0.105,9,2.960868
-0.106,9,2.991338
-0.41,13,3.031466
0.192,12,3.070797
-0.11,13,3.115308
-0.41,12,3.152112
1.594,9,3.178691
-0.41,13,3.222716
-0.108,12,3.2658
-0.412,15,3.310271
-0.111,15,3.355256
0.789,15,3.420326
-0.711,13,3.493592
0.494,10,3.532059
-0.408,11,3.575388
0.193,11,3.608795
0.488,16,3.656913
0.789,16,3.70665
-0.41,13,3.763885
-0.409,12,3.806568
-0.414,16,3.857138
0.791,14,3.899771
0.189,15,3.944657
-0.408,11,3.980865
1.291,11,4.014333
-0.113,17,4.072192
0.189,16,4.128159
0.49,15,4.173842
-1.003,4,4.191084
-0.106,10,4.221776
-0.411,13,4.258617
-0.107,11,4.294907
0.191,14,4.344717
0.193,12,4.379468
-0.111,14,4.426995
-0.406,9,4.458337
-1.003,4,4.474408
-0.408,11,4.510483
0.492,13,4.545549
0.493,12,4.583015
-0.408,11,4.619448
-0.41,13,4.661034
-0.712,14,4.696576
0.49,14,4.740594
1.593,10,4.774766
0.187,17,4.827262
-0.41,13,4.86704
-0.405,8,4.895329
-0.405,8,4.925166
-0.108,12,4.962878
1.69,18,5.019175
-0.704,6,5.038683
-0.706,8,5.069271
0.791,15,5.110239
-0.11,13,5.152565
-0.709,11,5.180069
-0.408,11,5.27671
-0.105,8,5.297904
-1.01,11,5.330632
-0.709,11,5.363016
-1.003,4,5.375953
-0.406,9,5.40707
-0.111,15,5.453022
-0.111,15,5.497211
0.191,14,5.544907
1.591,12,5.57988
-0.408,11,5.615472
-0.408,11,5.642972
-0.404,7,5.666219
0.19,15,5.71362
0.491,14,5.752055
-0.108,12,5.792751
1.392,15,5.843528
-0.711,13,5.885941
0.188,17,5.933807
-0.109,13,5.977372
-0.109,13,6.019984
-1.009,10,6.046826
-0.111,15,6.146241
-0.11,14,6.184189
0.196,9,6.214695
-0.108,11,6.253889
2.489,15,6.302046
-1.005,6,6.321633
0.491,15,6.36784
-0.108,11,6.394155
0.49,15,6.444279
-0.111,15,6.49354
0.491,14,6.539574
0.494,11,6.579565
-0.706,8,6.607733
-0.109,12,6.649471
0.193,11,6.685333
-1.009,10,6.718572
-0.111,14,6.761374
0.189,15,6.804832
-0.111,15,6.852041
0.19,14,6.901684
0.789,16,6.952556
-0.108,12,6.99291
-0.112,16,7.039833
-0.409,12,7.076198
-0.404,7,7.103036
-0.41,13,7.138925
0.49,16,7.189
2.191,13,7.229022
-1.007,8,7.257617
-1.005,6,7.2807
-0.112,16,7.327767
2.192,13,7.370505
0.19,15,7.412799
-0.409,12,7.457583
0.191,12,7.502604
-0.109,13,7.549985
-0.405,7,7.574188
-0.109,12,7.607591
-1.009,10,7.637369
-0.41,12,7.677778
0.19,14,7.7304
-0.408,11,7.765683
-0.112,16,7.816545
-0.108,12,7.849174
-0.106,10,7.887274
-0.11,14,7.928419
-0.404,7,7.958071
2.495,10,7.992157
0.493,12,8.030687
1.895,9,8.058661
0.193,12,8.101494
-0.706,8,8.1273
0.791,15,8.176942
-0.106,10,8.205667
0.192,13,8.247922
-0.41,13,8.289539
0.491,15,8.334695
2.188,16,8.383692
1.089,16,8.433985
0.491,14,8.47282
-0.111,14,8.509753
-0.41,13,8.554978
-0.412,15,8.602939
0.192,13,8.637111
-0.108,11,8.668112
0.188,16,8.719674
0.493,13,8.765797
0.488,17,8.819272
2.194,11,8.854702
-0.407,10,8.890402
-0.409,12,8.926198
0.493,13,9.055254
0.192,12,9.09688
1.087,19,9.149869
-1.003,4,9.164043
-0.709,11,9.206526
-0.109,12,9.243178
1.089,16,9.292732
0.191,13,9.338311
-0.41,13,9.382404
0.489,16,9.424978
2.292,16,9.480572
-0.409,12,9.517644
0.19,14,9.561147
-0.109,12,9.595107
1.089,17,9.639975
3.091,15,9.690472
0.489,16,9.741959
0.19,15,9.786495
-0.41,13,9.822223
-1.009,10,9.85853
-0.107,11,9.893816
0.492,13,9.929943
-0.106,9,9.96695
-1.007,8,9.999603
-0.106,9,10.025683
0.19,14,10.066695
-0.109,13,10.113687
0.192,13,10.157304
-0.706,8,10.183383
-0.407,10,10.248535
-0.108,12,10.29548
0.192,12,10.341401
1.592,11,10.386302
-0.409,12,10.428283
-0.409,12,10.471745
-0.111,14,10.524668
-0.405,8,10.552369
1.592,11,10.592182
-0.411,14,10.645909
-0.709,11,10.701297
0.491,13,10.756059
0.489,16,10.820404
1.388,18,10.885253
-0.105,9,10.933043
0.192,13,10.980887
0.489,15,11.047117
-0.109,12,11.089685
2.491,14,11.153508
0.49,15,11.209539
0.492,13,11.267063
0.185,19,11.335256
1.293,9,11.369045
0.189,15,11.426655
-0.408,11,11.469341
-0.408,11,11.507661
0.196,8,11.541972
1.09,15,11.592205
-1.003,4,11.607871
0.19,15,11.658083
-0.409,12,11.702707
0.19,14,11.749135
1.289,13,11.803706
1.892,11,11.845703
0.188,17,11.901175
1.891,12,11.94288
-0.708,10,11.971908
-0.406,9,12.006654
-0.407,9,12.041056
-1.011,12,12.078214
-0.109,12,12.116004
0.193,12,12.156644
1.291,11,12.196662
-0.108,11,12.235997
-0.106,9,12.2681
1.291,11,12.302108
1.088,19,12.359394
2.793,13,12.402225
-0.709,11,12.437455
-0.109,13,12.487456
-0.112,15,12.535971
0.195,10,12.573548
0.489,16,12.631075
1.295,7,12.656375
-0.115,18,12.715265
0.492,13,12.754857
-0.706,8,12.784777
0.193,12,12.828371
-0.109,13,12.877747
-0.406,9,12.910142
0.189,15,12.958522
-0.115,18,13.025676
0.189,15,13.072414
-0.111,15,13.130714
0.195,10,13.215051
-0.406,9,13.250731
-0.406,9,13.283034
