#{"t_start": 1762600975.4005105, "env_id": "None"}
r,l,t
1.0,17,0.198038
1.0,16,0.246744
-1.0,10,0.280536
-1.0,8,0.307498
1.0,11,0.347738
-1.0,12,0.398881
-1.0,13,0.438864
-1.0,13,0.480385
-1.0,8,0.511449
-1.0,10,0.549312
-14.0,30,0.623933
1.0,12,0.659454
-68.0,85,0.79274
-19.0,28,0.842998
-1.0,14,0.889366
-1.0,8,0.917859
-1.0,6,0.942206
1.0,8,1.003098
-1.0,12,1.054945
-1.0,9,1.089954
-2.0,13,1.134743
-1.0,14,1.18598
1.0,13,1.231055
-1.0,8,1.257948
-2.0,9,1.287096
-1.0,10,1.330717
-1.0,9,1.361424
-44.0,59,1.45661
1.0,9,1.488425
-1.0,7,1.515009
1.0,18,1.567203
-1.0,13,1.612279
-34.0,52,1.701256
-1.0,9,1.732901
-1.0,10,1.762543
-12.0,31,1.878901
-1.0,9,1.907148
1.0,12,1.947651
-1.0,11,1.982768
-5.0,14,2.014491
-1.0,8,2.047248
1.0,11,2.087218
-1.0,8,2.12199
1.0,8,2.148573
-53.0,70,2.252276
-64.0,83,2.368446
-1.0,13,2.459602
-1.0,10,2.523116
1.0,8,2.573541
-1.0,14,2.647124
-1.0,14,2.71296
1.0,11,2.751749
1.0,8,2.781097
-1.0,9,2.810454
-43.0,60,2.904495
-1.0,9,2.930882
1.0,10,2.967887
1.0,14,3.010501
-1.0,9,3.042916
-1.0,8,3.072449
-10.0,24,3.139971
-1.0,11,3.177047
1.0,10,3.215722
-1.0,9,3.25002
-18.0,34,3.32408
-1.0,11,3.359176
-1.0,9,3.392407
-1.0,6,3.412896
-1.0,12,3.458422
1.0,12,3.500483
-47.0,66,3.67209
-1.0,12,3.713462
-1.0,11,3.755603
-1.0,12,3.790229
-1.0,12,3.84554
-35.0,52,3.954926
-1.0,12,3.998795
-1.0,9,4.039016
-1.0,15,4.097005
-1.0,10,4.133663
-1.0,11,4.183339
-1.0,13,4.232998
-1.0,9,4.273641
-1.0,15,4.354355
1.0,12,4.392884
-1.0,9,4.42324
-1.0,17,4.474138
-23.0,36,4.539155
-1.0,8,4.567029
-2.0,16,4.617043
1.0,12,4.651149
-1.0,14,4.697375
-1.0,9,4.727691
1.0,7,4.748056
-5.0,16,4.794308
-1.0,11,4.833234
-1.0,8,4.881773
-1.0,13,4.95033
-38.0,51,5.032725
-968.0,990,6.146524
1.0,15,6.21413
-1.0,12,6.276633
-1.0,14,6.318588
-43.5,65,6.425931
-1.0,8,6.457054
-1.0,6,6.48759
1.0,11,6.54815
-1.0,11,6.588753
-1.0,11,6.628197
-1.0,17,6.695082
-1.0,12,6.773957
1.0,11,6.808935
-23.0,37,6.891172
-1.0,11,6.93088
1.0,11,6.973533
-1.0,8,7.003665
-1.0,8,7.036454
-19.0,35,7.109761
-1.0,6,7.129699
-1.0,14,7.179632
-1.0,11,7.223835
-1.0,12,7.266666
-1.0,14,7.306802
-1.0,10,7.346279
-1.0,10,7.381747
-1.0,7,7.409482
-1.0,11,7.446702
-14.0,28,7.579148
-1.0,11,7.631869
-1.0,15,7.715461
1.0,16,7.770409
-1.0,10,7.804559
-1.0,7,7.8333
-1.0,16,7.884505
-1.0,14,7.929348
-1.0,9,7.985816
-1.0,15,8.118601
-1.0,7,8.180444
-1.0,9,8.214063
1.0,13,8.29104
-1.0,9,8.343618
-1.0,9,8.377058
1.0,10,8.426189
1.0,13,8.490202
-1.0,11,8.531318
-1.0,11,8.572932
-1.0,12,8.614734
-1.0,8,8.642719
-1.0,10,8.677231
-1.0,12,8.715605
-1.0,12,8.759945
1.0,12,8.795124
-1.0,9,8.83032
-1.0,11,8.869249
-1.0,15,8.959928
-1.0,10,9.038217
-10.0,20,9.090889
-1.0,7,9.112549
-1.0,14,9.159371
-1.0,16,9.209436
-2.0,15,9.259807
-1.0,12,9.301162
-199.0,212,9.572914
-1.0,12,9.608497
1.0,12,9.649416
-1.0,14,9.687151
-1.0,10,9.720538
-1.0,16,9.788395
-1.0,11,9.824636
-1.0,10,9.859823
-1.0,11,9.914867
-14.0,24,9.991828
-1.0,13,10.040243
-1.0,9,10.067185
-1.0,13,10.108857
-1.0,12,10.149705
-1.0,11,10.193275
1.0,14,10.24143
-1.0,11,10.278324
1.0,15,10.321377
-1.0,11,10.365752
-1.0,13,10.408447
-36.0,54,10.499443
-1.0,9,10.523606
-1.0,11,10.572914
-1.0,11,10.635581
-1.0,10,10.671279
1.0,11,10.704488
-1.0,9,10.739862
-1.0,10,10.779047
1.0,8,10.807034
-17.0,33,10.872926
-1.0,10,10.908305
-74.0,90,11.028193
-1.0,10,11.059691
-24.0,34,11.122949
1.0,13,11.170937
-1.0,12,11.219848
-1.0,10,11.258241
-1.0,11,11.30883
-41.0,56,11.402584
-1.0,12,11.449019
-64.0,81,11.646538
-226.5,248,11.918905
-14.0,29,12.024175
1.0,9,12.051268
-1.0,7,12.074934
-1.0,11,12.102525
-1.0,6,12.132818
-74.0,89,12.301614
-1.0,17,12.352915
-1.0,14,12.399673
-1.0,5,12.424422
-61.0,73,12.519102
-1.0,12,12.559082
-1.0,12,12.600558
1.0,13,12.649009
-1.0,6,12.66887
-1.0,10,12.705503
-1.0,13,12.749819
-1.0,7,12.778393
-26.0,36,12.843935
1.0,6,12.861572
-1.0,9,12.889851
-1.0,8,12.920184
-14.0,27,12.990076
-1.0,12,13.07069
-1.0,10,13.139418
0.0,13,13.189049
-1.0,11,13.226605
-1.0,19,13.282695
-1.0,13,13.339396
-1.0,7,13.390686
-1.0,10,13.436563
1.0,11,13.473514
-1.0,11,13.512883
-62.0,76,13.621873
-41.0,56,13.709198
-1.0,11,13.748229
-1.0,5,13.764448
-1.0,5,13.790437
-1.0,12,13.875022
-2.0,18,13.935215
-1.0,6,13.957263
-1.0,11,14.000854
-16.0,31,14.075892
-1.0,13,14.123977
-1.0,8,14.156301
-1.0,10,14.201592
-1.0,11,14.239955
-1.0,10,14.272859
-1.0,8,14.308165
-1.0,10,14.348094
-31.0,41,14.516973
-1.0,10,14.554044
-1.0,11,14.591756
-1.0,12,14.63946
1.0,10,14.67641
1.0,11,14.710335
-1.0,12,14.753319
-1.0,13,14.803067
-1.0,15,14.850206
-1.0,12,14.897387
-1.0,13,14.950005
-61.0,72,15.053421
-1.0,9,15.085682
-60.0,78,15.196271
-1.0,12,15.238471
-1.0,10,15.277165
-1.0,5,15.294885
-1.0,8,15.321014
-1.0,4,15.335442
-1.0,12,15.377941
-1.0,13,15.459858
-1.0,10,15.515959
-1.0,10,15.54834
-64.0,78,15.659206
1.0,7,15.685543
-1.0,11,15.723325
-1.0,10,15.763457
-1.0,4,15.781397
-1.0,13,15.822881
-1.0,11,15.862703
1.0,10,15.901432
1.0,10,15.939755
-1.0,13,15.983735
-81.0,97,16.126623
-34.0,43,16.20497
-1.0,6,16.234186
-20.0,35,16.307406
-1.0,12,16.350668
-1.0,7,16.38005
-1.0,9,16.413418
-1.0,7,16.440873
-1.0,11,16.485241
-1.0,13,16.537446
1.0,14,16.589605
-1.0,16,16.639009
-20.0,34,16.758058
-1.0,9,16.79195
