#{"t_start": 1762645716.4158452, "env_id": "None"}
r,l,t
-0.81,8,0.077068
-0.66,7,0.101817
-0.71,6,0.116468
-0.56,10,0.144497
-0.75,10,0.176697
-0.64,10,0.206767
-0.64,7,0.22652
1.14,4,0.238473
-0.56,8,0.262514
-0.75,10,0.298488
-0.73,8,0.325961
-0.6,9,0.35632
-0.67,8,0.383024
-0.67,8,0.410262
-0.62,12,0.445164
-0.73,8,0.473415
-0.72,7,0.497659
-0.67,8,0.5242
-0.65,9,0.551731
1.19,5,0.567261
-0.68,9,0.655209
-0.68,9,0.680268
-0.48,12,0.71167
-0.67,8,0.735304
-0.66,7,0.758317
-0.73,8,0.787249
-0.42,10,0.821191
-0.85,6,0.844123
-0.73,9,0.879209
-0.66,7,0.907817
-0.73,9,0.937315
-0.5,11,0.977409
-0.49,12,1.012307
-0.71,6,1.029843
-0.47,10,1.061412
-0.72,9,1.091408
-0.4,11,1.121605
-0.61,8,1.14715
1.14,4,1.15777
1.14,4,1.168111
-0.42,11,1.198862
-0.81,5,1.214492
-0.72,8,1.238425
1.44,11,1.26834
-0.52,11,1.294814
-0.57,10,1.321981
1.56,10,1.354614
-0.52,10,1.381592
-0.45,10,1.413377
-0.67,8,1.43996
-0.62,9,1.464417
1.48,10,1.492331
1.14,4,1.501861
-0.69,10,1.527753
-0.54,9,1.55315
-0.62,12,1.592162
1.14,4,1.600631
-0.59,11,1.632874
-0.67,11,1.663291
-0.47,12,1.695671
1.14,4,1.705767
-0.68,9,1.732471
-0.53,11,1.764868
-0.53,11,1.795496
-0.63,10,1.824226
1.14,4,1.836048
-0.72,8,1.86021
1.44,8,1.881869
1.14,4,1.894662
-0.74,9,1.918791
1.14,4,1.930606
-0.83,7,1.950841
-0.68,9,1.977602
-0.56,11,2.012981
-0.66,10,2.037983
-0.67,8,2.063266
-0.56,8,2.090753
-0.32,11,2.125612
-0.73,8,2.149744
-0.62,9,2.17855
1.47,11,2.214974
-0.37,13,2.257523
-0.82,6,2.278567
-0.71,7,2.301495
-0.46,12,2.336694
-0.56,8,2.36316
1.14,4,2.377134
-0.58,10,2.410953
1.56,10,2.441656
-0.84,8,2.467036
1.29,6,2.486931
1.14,4,2.499659
-0.76,6,2.522123
-0.76,6,2.541065
-0.66,10,2.570388
-0.53,11,2.607133
-0.66,10,2.640002
-0.37,11,2.67584
-0.9,8,2.696764
-0.63,10,2.728614
