#{"t_start": 1762652339.085097, "env_id": "None"}
r,l,t
1.19,5,0.086509
-0.69,8,0.114765
-0.81,5,0.130505
1.29,6,0.15065
1.29,6,0.168983
-0.82,7,0.193583
1.14,4,0.206893
1.14,4,0.220105
-0.91,4,0.232462
1.14,4,0.247084
1.19,5,0.260894
-0.82,7,0.292844
-0.66,7,0.33228
1.18,6,0.36944
-0.81,5,0.390355
-0.81,5,0.409448
1.19,5,0.437546
1.14,4,0.465098
-0.86,5,0.499473
1.29,6,0.525757
1.29,6,0.546879
1.13,5,0.561056
-0.75,7,0.585172
-0.81,5,0.60263
-0.82,6,0.622004
-0.86,4,0.634898
-0.66,7,0.660716
-0.91,4,0.672477
-0.82,6,0.697326
-0.81,5,0.715734
1.29,6,0.735848
-0.81,6,0.758191
-0.81,5,0.77455
1.13,5,0.800273
1.19,5,0.824547
1.14,4,0.836934
1.18,6,0.859966
1.29,6,0.882253
-0.86,4,0.897368
1.19,5,0.918011
-0.81,5,0.958302
-0.75,8,1.010374
-0.71,7,1.033143
1.17,7,1.053936
1.19,5,1.069762
1.14,4,1.080606
-0.91,4,1.096675
1.19,5,1.113014
1.18,6,1.13326
-0.76,6,1.15162
1.19,5,1.167032
1.18,6,1.185561
-0.81,6,1.210209
1.14,4,1.221657
-0.86,4,1.236578
-0.81,5,1.256897
1.49,10,1.289915
-0.86,4,1.308204
-0.83,8,1.355486
-0.82,6,1.376821
1.19,5,1.393045
1.14,4,1.405822
1.31,7,1.432207
-0.77,7,1.47245
1.29,6,1.520936
-0.81,5,1.5465
-0.82,6,1.59281
1.29,6,1.625425
1.43,11,1.667755
-0.86,4,1.680068
-0.62,9,1.711117
-0.82,6,1.732655
-0.74,10,1.765953
-0.9,5,1.781808
1.18,6,1.800681
-0.81,5,1.816143
1.23,7,1.837876
1.19,5,1.855918
1.17,7,1.878583
1.14,4,1.890139
1.24,6,1.90902
1.14,4,1.921061
1.28,7,1.944673
-0.91,4,1.974251
1.34,7,2.020476
1.14,4,2.035372
1.14,4,2.049532
1.34,7,2.071329
-0.87,6,2.091933
1.19,5,2.107201
-0.81,5,2.130048
1.34,7,2.161083
1.24,6,2.175844
-0.81,5,2.205942
1.19,5,2.232282
-0.91,4,2.244454
1.14,4,2.271877
-0.93,6,2.304782
-0.78,8,2.335546
1.24,6,2.363674
-0.81,5,2.395579
-0.86,4,2.417307
-0.86,4,2.431847
1.19,5,2.449564
1.29,6,2.470055
-0.86,4,2.486283
1.23,7,2.513965
1.34,7,2.535585
1.3,7,2.556002
-0.82,6,2.575604
-0.81,8,2.604704
1.29,6,2.622584
-0.91,4,2.636404
-0.86,4,2.65265
-0.66,7,2.699513
-0.93,6,2.722898
1.14,4,2.741712
1.3,7,2.772996
-0.81,5,2.789075
-0.82,6,2.807045
-0.79,5,2.822482
-0.86,4,2.841411
1.13,5,2.86816
1.29,6,2.899722
-0.86,4,2.92342
1.34,7,2.954561
-0.82,6,2.980911
-0.86,5,3.000738
1.18,6,3.026828
1.19,5,3.045238
-0.81,5,3.071382
1.33,9,3.101518
1.14,4,3.114315
-0.81,5,3.133592
1.14,4,3.147337
-0.81,5,3.165773
-0.82,6,3.189493
-0.91,4,3.202277
1.19,5,3.227179
1.13,5,3.247925
1.29,6,3.269469
-0.86,5,3.291661
1.19,5,3.317732
-0.83,7,3.352304
1.28,7,3.38256
-0.91,4,3.394924
1.13,5,3.411044
1.2,10,3.445846
1.18,6,3.470154
1.34,7,3.501356
1.21,6,3.528369
1.19,5,3.544657
1.19,5,3.563899
-0.97,4,3.575876
-0.76,5,3.593962
1.13,5,3.60975
-0.92,5,3.63208
1.31,11,3.670994
-0.76,6,3.701425
1.19,5,3.726892
-0.98,5,3.748545
1.21,9,3.800077
-0.81,5,3.821118
-0.77,7,3.845244
1.19,5,3.865809
1.19,5,3.882957
1.28,7,3.904714
1.23,7,3.932203
1.24,6,3.954895
1.13,5,3.972692
1.18,6,3.990635
-0.67,8,4.01679
1.34,7,4.062979
1.14,4,4.09911
-0.72,7,4.169762
-0.88,7,4.195722
-0.92,5,4.212564
-0.81,5,4.227377
1.14,4,4.23957
-0.86,4,4.255461
-0.86,5,4.271209
1.13,5,4.287694
-0.98,5,4.304721
1.25,8,4.329788
1.28,7,4.359831
-0.82,6,4.414104
-0.81,5,4.457852
-0.91,4,4.4931
1.19,5,4.520095
1.14,4,4.540678
-0.81,5,4.558886
-0.71,6,4.577275
-0.77,7,4.609172
-0.88,7,4.643854
1.26,9,4.686459
1.19,5,4.703638
1.14,4,4.717796
1.26,9,4.749341
1.28,7,4.774445
1.19,5,4.794022
1.24,6,4.812067
-0.81,5,4.829637
1.34,7,4.852428
-0.81,5,4.868083
-0.76,6,4.911116
1.19,5,4.943278
-0.82,6,4.969356
1.24,6,5.015974
1.18,6,5.064973
-0.93,6,5.102531
1.14,4,5.117737
1.13,5,5.142032
-0.82,6,5.171299
1.19,5,5.18581
-0.91,4,5.213728
-0.81,5,5.256271
1.14,4,5.280145
1.29,6,5.309169
1.19,5,5.324323
-0.81,5,5.341395
1.23,7,5.384262
-0.76,6,5.436952
1.33,8,5.47937
-0.59,8,5.50597
1.18,6,5.5244
1.23,7,5.549348
1.14,4,5.561975
1.14,4,5.57367
1.19,5,5.588982
-0.86,4,5.60517
-0.98,5,5.623521
1.19,5,5.639343
-0.81,5,5.656781
-0.92,5,5.67367
-0.82,6,5.694468
1.14,4,5.706335
-0.81,5,5.721747
-0.92,5,5.737988
1.14,4,5.7502
1.36,7,5.772442
-0.81,5,5.805021
1.19,5,5.836845
-0.87,5,5.857266
-0.86,5,5.881566
-0.74,9,5.914383
-0.81,5,5.931828
1.19,5,5.948014
1.23,7,5.969264
1.13,5,5.983539
1.14,4,5.998115
1.19,5,6.015555
1.28,7,6.037196
1.14,4,6.04857
1.12,6,6.069436
1.23,7,6.092289
-0.91,4,6.105458
-0.81,5,6.12151
-0.91,4,6.134268
-0.87,6,6.155491
-0.81,5,6.172
1.28,7,6.214728
-0.91,4,6.23916
-0.86,4,6.255185
-0.79,5,6.271758
-0.81,5,6.288061
1.29,6,6.305853
1.14,4,6.318614
1.19,5,6.33305
1.19,5,6.348611
-0.81,5,6.363917
-0.81,5,6.380036
1.19,5,6.395805
1.19,5,6.411157
1.23,7,6.434875
-0.81,5,6.451237
1.14,4,6.463578
-0.81,6,6.483046
1.19,5,6.499361
1.19,5,6.514234
-0.67,8,6.539578
-0.76,6,6.559694
1.19,5,6.575738
1.13,5,6.592432
-0.86,4,6.607126
1.18,6,6.628928
1.14,4,6.640008
-0.82,6,6.658355
-0.71,7,6.684579
1.21,6,6.702706
1.29,6,6.72389
1.49,8,6.752343
1.19,5,6.766833
1.14,4,6.778481
-0.86,4,6.792626
-0.81,5,6.812848
-0.86,4,6.825537
-0.77,7,6.857258
1.19,5,6.892004
1.24,6,6.931234
1.19,5,6.949507
-0.93,6,6.968667
-0.78,8,6.996957
1.14,4,7.007798
-0.67,8,7.065459
1.19,5,7.096022
1.13,5,7.115685
1.13,5,7.146624
-0.81,5,7.176895
1.13,5,7.196711
-0.86,4,7.210093
-0.81,5,7.235103
-0.79,6,7.26421
-0.82,6,7.324938
-0.82,7,7.355718
-0.77,7,7.391705
-0.91,4,7.417868
-0.81,8,7.469896
1.29,6,7.49751
-0.91,4,7.514346
1.18,6,7.534053
1.14,4,7.547546
-0.71,7,7.569896
1.29,6,7.588149
-0.87,6,7.608518
-0.81,5,7.637578
-0.76,9,7.672356
-0.71,10,7.737708
1.14,4,7.753592
-0.86,4,7.766743
-0.86,4,7.780771
1.17,7,7.816207
-0.91,4,7.834587
-0.92,5,7.852761
-0.76,6,7.874262
-0.63,9,7.90278
-0.92,5,7.919626
-0.97,4,7.932432
-0.72,8,7.96918
1.14,4,7.981717
1.24,6,8.000544
-0.76,6,8.020018
-0.81,5,8.036365
1.19,5,8.052344
-0.76,6,8.087485
1.13,5,8.115102
-0.91,4,8.144227
1.14,4,8.165124
1.14,4,8.18066
-0.66,7,8.220726
-0.91,4,8.252005
-0.86,4,8.276654
-0.68,9,8.309835
-0.81,5,8.326995
-0.87,6,8.34637
1.14,4,8.359632
1.29,6,8.382163
1.18,6,8.40161
-0.66,7,8.430646
1.19,5,8.469437
1.24,6,8.497376
1.19,5,8.513101
1.14,4,8.525119
-0.87,6,8.545305
-0.81,5,8.564763
1.13,5,8.580684
-0.77,7,8.605137
1.29,6,10.065781
-0.88,7,10.094303
1.19,5,10.121985
-0.81,5,10.151159
1.14,4,10.171196
-0.87,5,10.194101
-0.52,10,10.227404
1.18,6,10.250055
1.14,4,10.269407
1.19,5,10.303828
1.29,6,10.337181
1.18,6,10.357474
-0.91,4,10.370384
-0.86,4,10.381869
1.13,5,10.397267
1.14,4,10.412699
-0.67,8,10.440417
1.24,6,10.455073
-0.73,8,10.483052
-0.82,6,10.502179
-0.79,9,10.535998
1.28,7,10.576211
-0.81,5,10.611892
1.23,7,10.655722
1.13,5,10.673469
-0.97,4,10.687454
-0.82,6,10.707203
1.14,4,10.718529
-0.81,5,10.73542
1.14,4,10.747222
1.19,5,10.764662
-0.86,5,10.781418
1.18,6,10.800333
-0.81,5,10.819153
-0.86,4,10.850152
1.14,4,10.878045
1.23,7,10.935204
-0.92,5,10.979349
1.14,4,11.011105
1.13,5,11.032502
1.58,12,11.078314
1.34,7,11.100337
1.19,5,11.115104
-0.76,6,11.135285
1.19,5,11.150264
1.17,7,11.206357
1.14,4,11.232797
1.18,6,11.262906
-0.79,5,11.296038
-0.68,9,11.348832
1.19,5,11.368714
1.14,4,11.396394
1.18,6,11.446864
1.34,7,11.483545
1.29,6,11.50381
1.18,6,11.528864
-0.88,6,11.55147
-0.76,6,11.572828
-0.81,5,11.592096
-0.91,4,11.605047
1.42,10,11.638685
-0.86,4,11.65115
1.18,6,11.670706
-0.79,5,11.705765
1.29,6,11.739606
1.14,4,11.751157
-0.81,5,11.768689
1.13,5,11.785578
-0.86,4,11.799354
1.19,5,11.814837
1.18,6,11.833173
1.24,6,11.854637
-0.98,5,11.880205
1.2,6,11.900249
-0.86,4,11.917861
1.17,7,11.947644
-0.81,5,11.968485
1.13,5,11.987011
1.19,5,12.002674
1.14,7,12.03119
1.29,6,12.074123
1.14,4,12.104873
1.18,6,12.123658
-0.93,6,12.143586
-0.81,5,12.159397
1.28,8,12.194232
1.24,6,12.21545
1.14,4,12.231028
-0.81,5,12.25486
1.14,4,12.268037
-0.77,7,12.293655
1.3,7,12.320514
1.14,4,12.332264
-0.81,5,12.350984
1.18,6,12.368
1.14,4,12.379921
1.13,5,12.396687
-0.82,6,12.419794
-0.75,7,12.444507
-0.81,5,12.461497
-0.76,6,12.481764
1.19,5,12.495642
1.19,5,12.515157
1.14,4,12.527752
1.29,6,12.560887
1.28,7,12.600271
1.19,5,12.634373
-0.81,5,12.656163
1.19,5,12.673755
-0.77,7,12.697797
-0.86,4,12.712985
1.14,4,12.723851
1.24,6,12.740834
1.34,7,12.761749
1.19,5,12.776488
1.19,5,12.79956
-0.86,4,12.814676
1.18,6,12.844877
1.13,5,12.871373
1.19,5,12.891832
-0.81,5,12.908982
1.34,7,12.930723
-0.81,5,12.946764
-0.86,4,12.962322
1.18,6,12.981173
1.14,4,12.992738
-0.91,4,13.006655
-0.93,6,13.02627
-0.86,5,13.042498
-0.81,5,13.058554
1.14,4,13.07156
-0.76,6,13.090961
1.28,7,13.116259
-0.74,6,13.136453
1.19,5,13.151237
1.14,4,13.162694
1.14,4,13.175285
1.19,5,13.190979
-0.82,7,13.215215
-0.81,5,13.230839
1.19,5,13.245816
-0.87,6,13.266161
1.29,6,13.310308
-0.71,7,13.348215
-0.77,7,13.384404
1.13,5,13.425844
-0.82,6,13.464528
1.14,4,13.494668
1.28,7,13.544381
-0.91,4,13.566855
1.18,6,13.587441
-0.86,5,13.621608
1.14,4,13.642517
1.14,4,13.658545
1.19,5,13.675496
-0.86,4,13.692666
1.51,9,13.750443
1.14,4,13.775698
1.14,4,13.794718
1.14,4,13.811595
1.14,4,13.826273
-0.81,5,13.843983
1.14,4,13.858198
1.14,4,13.870721
1.14,4,13.882564
-0.86,5,13.898934
-0.81,5,13.91475
1.14,4,13.930979
-0.81,5,13.949127
-0.86,4,13.964523
1.14,4,13.97634
-0.67,8,14.003818
-0.92,5,14.025584
-0.81,5,14.061807
1.19,5,14.08744
-0.85,10,14.122426
1.14,4,14.134227
1.34,7,14.159118
1.19,5,14.175137
1.29,6,14.19422
-0.91,4,14.206905
-0.77,9,14.231862
1.14,4,14.243159
1.19,5,14.261113
1.19,5,14.279298
-0.86,4,14.292695
1.19,5,14.307762
-0.77,7,14.338765
1.14,4,14.349872
1.19,5,14.364398
1.24,6,14.385016
1.3,9,14.413708
-0.72,7,14.436513
1.14,4,14.4483
1.29,6,14.467659
1.14,4,14.48085
-0.81,5,14.496916
1.19,5,14.512287
1.18,6,14.530813
-0.86,5,14.547018
-0.88,7,14.572562
1.2,6,14.590911
1.14,4,14.603442
1.28,7,14.629736
1.18,6,14.659017
1.14,4,14.686653
1.14,4,14.709932
-0.76,6,14.735909
-0.51,9,14.765844
-0.81,5,14.781876
-0.86,5,14.797548
1.19,5,14.8133
-0.81,5,14.834787
-0.87,6,14.854493
-0.81,5,14.871411
-0.76,6,14.890669
1.14,4,14.902334
1.14,4,14.9208
1.14,4,14.935884
1.19,5,14.951457
1.17,7,14.97319
1.19,5,14.988485
-0.76,6,15.008668
1.14,4,15.02681
1.38,9,15.08855
1.19,5,15.125683
1.14,4,15.15467
1.29,6,15.192096
1.19,5,15.220661
-0.91,4,15.2621
1.19,5,15.28338
1.14,4,15.295431
-0.81,5,15.311959
1.29,6,15.338944
1.29,6,15.379871
-0.98,5,15.424414
1.14,4,15.456267
-0.86,5,15.500108
1.19,5,15.542384
1.14,4,15.574835
1.14,4,15.608327
-0.83,7,15.673605
1.19,5,15.716895
-0.76,6,15.768191
1.18,6,15.815988
-0.77,7,15.848787
1.19,5,15.865501
1.19,5,15.883453
1.24,6,15.90342
1.34,7,15.926596
1.29,6,15.946151
1.19,5,15.960604
1.14,4,15.977725
1.14,4,15.989186
1.19,5,16.003237
-0.81,5,16.01789
1.28,7,16.040262
-0.86,5,16.057151
1.24,5,16.076095
1.14,4,16.088741
1.14,4,16.099473
-0.81,5,16.115363
-0.82,7,16.139689
-0.71,6,16.161882
1.14,4,16.175331
-0.91,4,16.188308
1.17,7,16.21088
-0.81,5,16.226315
1.19,5,16.24386
1.33,8,16.268933
1.16,5,16.282909
1.36,7,16.307419
1.18,6,16.325469
1.18,6,16.352562
-0.93,6,16.398597
1.24,6,16.431013
-0.81,5,16.455984
-0.66,7,16.483005
-0.72,8,16.546367
-0.81,5,16.59082
-0.81,5,16.614354
1.29,6,16.660383
1.19,5,16.701717
-0.81,5,16.729765
1.14,4,16.74324
1.29,6,16.760988
-0.85,9,16.790107
-0.84,8,16.817177
-0.77,7,16.855064
-0.91,4,16.882102
-0.81,5,16.91029
1.12,8,16.981308
-0.86,4,17.011377
1.14,4,17.027246
1.19,5,17.045442
1.39,8,17.10343
-0.91,4,17.128575
1.24,6,17.151404
1.14,4,17.166886
1.14,4,17.178429
-0.87,6,17.198826
-0.91,4,17.21229
-0.91,4,17.223327
1.24,6,17.241697
1.14,4,17.255439
-0.86,4,17.269396
1.13,5,17.289788
-0.91,4,17.318765
1.29,6,17.355542
1.34,7,17.40446
-0.66,7,17.467235
-0.81,6,17.523499
1.16,5,17.561668
-0.91,4,17.581746
-0.92,5,17.625005
-0.87,6,17.675553
1.29,6,17.715919
-0.76,6,17.738273
1.38,8,17.777411
1.14,4,17.790235
1.28,8,17.814357
1.19,5,17.831869
1.34,7,17.854475
-0.87,6,17.874876
1.28,7,17.902064
-0.86,4,17.913931
-0.76,6,17.934409
-0.86,4,17.945911
1.19,5,17.961884
-0.72,8,17.992361
-0.81,5,18.009985
-0.77,8,18.036353
-0.81,5,18.057942
1.29,6,18.076588
1.14,4,18.087943
1.19,5,18.108593
1.23,7,18.166646
1.34,7,18.227452
-0.66,10,18.2934
-0.84,8,18.319798
1.29,6,18.340096
1.14,4,18.359843
-0.81,5,18.399353
1.19,5,18.425281
1.19,5,18.440992
1.29,6,18.462316
-0.87,6,18.48557
-0.8,6,18.506253
-0.66,7,18.527958
1.19,5,18.543743
1.29,7,18.571622
-0.71,6,18.614216
1.21,6,18.667858
-0.66,7,18.731638
-0.92,5,18.754204
1.19,5,18.770262
1.23,7,18.813077
-0.81,5,18.854377
1.18,6,18.887836
-0.81,5,18.9038
1.24,6,18.921451
-0.76,6,18.941952
-0.91,4,18.955791
1.24,6,18.976743
1.16,7,19.044415
-0.77,7,19.090097
1.22,8,19.115282
-0.77,6,19.137847
1.29,6,19.156252
-0.76,6,19.178008
-0.81,5,19.194144
1.19,5,20.432413
1.29,6,20.453325
-0.77,7,20.476016
1.14,4,20.504398
-0.81,5,20.545361
1.19,5,20.585607
1.14,4,20.617611
1.13,5,20.65568
1.14,4,20.671223
1.34,7,20.696874
1.19,5,20.711558
-0.81,5,20.728724
1.17,7,20.752616
1.14,4,20.763988
1.44,8,20.789419
1.14,4,20.802224
-0.66,7,20.84349
1.29,6,20.881659
1.19,5,20.903145
1.19,5,20.918853
