#{"t_start": 1762651973.6846662, "env_id": "None"}
r,l,t
-0.9,12,1.467319
-0.93,6,1.481011
-0.79,12,1.514805
1.19,5,1.526423
1.38,9,1.54946
-0.89,10,1.573607
1.29,6,1.592529
1.28,10,1.620478
-0.71,13,1.653656
1.21,8,1.672611
-0.83,7,1.69047
1.22,8,1.712405
1.29,9,1.7379
-0.62,9,1.758636
1.18,6,1.773985
-0.78,11,1.799194
-1.0,7,1.819052
1.34,7,1.83918
1.7,15,1.877147
-0.67,9,1.897645
-0.47,16,1.934961
-0.78,11,1.963728
-0.9,8,1.982514
-0.67,17,2.024438
1.29,10,2.048668
-0.46,15,2.087038
-0.76,9,2.104381
1.5,10,2.131297
-0.53,15,2.167545
-0.67,14,2.200332
-0.99,6,2.21789
-0.87,12,2.248508
-0.89,10,2.271496
1.17,10,2.295859
1.35,15,2.333923
-0.47,13,2.369761
1.19,5,2.37868
-0.67,13,2.409236
-0.7,9,2.486811
1.22,7,2.504247
-0.71,9,2.523142
1.12,9,2.543709
1.13,8,2.561826
1.16,8,2.579681
-0.57,15,2.616449
-0.86,13,2.642273
-0.62,18,2.687499
1.32,9,2.710821
-0.67,12,2.738691
1.29,12,2.767067
-1.01,8,2.78829
-0.88,6,2.804167
1.15,5,2.816859
-0.51,14,2.852881
1.19,13,2.881071
-0.87,8,2.898862
-0.92,8,2.917389
-0.81,5,2.928092
-0.39,15,2.960042
1.29,9,2.983321
1.33,9,3.007064
1.12,6,3.019275
-0.75,15,3.046706
1.39,13,3.079115
1.41,10,3.104945
-0.81,14,3.13957
1.29,12,3.167824
-0.8,9,3.18566
-0.97,4,3.196911
1.44,12,3.225768
1.18,12,3.255147
-0.6,10,3.28165
1.1,8,3.3027
-0.83,13,3.326815
-0.77,10,3.34908
1.4,10,3.370993
1.36,12,3.398335
-0.85,9,3.423887
-0.41,12,3.448157
-0.95,8,3.46693
-0.79,9,3.489438
1.11,10,3.513498
-0.86,10,3.538944
-0.86,8,3.559937
-0.93,6,3.575184
1.32,12,3.602134
1.48,11,3.629698
-0.88,11,3.658739
-0.9,8,3.675582
-0.5,13,3.699158
1.25,13,3.731741
1.33,8,3.748302
-0.86,11,3.777911
-0.63,9,3.801327
-0.68,13,3.833937
-0.77,12,3.859076
-0.42,13,3.891359
-0.58,15,3.92807
1.16,5,3.938873
1.24,5,3.948556
-0.45,15,3.978841
1.46,10,4.007653
-0.73,16,4.05786
1.24,6,4.070014
1.37,10,4.094206
1.44,11,4.123658
1.36,8,4.142348
1.28,10,4.166512
-0.84,14,4.199893
-0.67,8,4.217691
-0.8,10,4.247123
-0.47,17,4.288181
-0.95,8,4.307276
1.43,10,4.331072
-0.76,9,4.353489
1.18,9,4.373344
-0.97,4,4.381027
-0.88,7,4.399128
1.33,11,4.427917
-0.85,9,4.44869
-0.76,12,4.481034
-0.75,13,4.515845
-0.67,10,4.541184
1.41,14,4.570317
-0.68,10,4.592262
-0.7,14,4.622205
-0.57,12,4.64692
-0.57,15,4.683911
1.21,6,4.695287
-0.63,13,4.723573
-0.62,12,4.749632
-0.82,9,4.766126
1.23,7,4.782055
1.35,11,4.809158
-0.38,15,4.846009
-0.61,13,4.877032
1.46,12,4.904686
-0.85,9,4.926451
-0.79,12,4.99493
-0.66,13,5.032929
-0.6,10,5.05858
-0.6,12,5.088107
1.36,8,5.107607
1.14,4,5.116767
1.44,11,5.141512
-0.51,17,5.180262
-0.59,13,5.213909
1.35,11,5.2432
1.48,10,5.265117
1.2,10,5.291373
-0.7,12,5.320832
-0.27,16,5.360361
-0.79,9,5.380074
1.13,5,5.393128
1.17,12,5.42521
-0.54,17,5.463892
-0.69,18,5.499432
-0.59,13,5.53023
-0.95,8,5.551863
1.18,6,5.564686
-0.65,12,5.597819
-0.6,12,5.625019
-0.79,9,5.648685
-0.72,14,5.678367
-0.86,11,5.707456
1.18,6,5.719019
1.49,18,5.763263
1.17,7,5.782789
-0.73,12,5.811542
1.12,6,5.82426
-0.69,13,5.852509
1.47,11,5.876412
1.27,8,5.896327
1.21,8,5.911966
1.14,4,5.92107
1.17,7,5.934038
-0.68,18,5.977626
-0.85,10,6.003761
-0.73,16,6.040855
-0.98,8,6.061036
-0.87,5,6.072853
1.49,17,6.11247
1.19,5,6.123712
-0.59,15,6.15983
-0.32,15,6.196559
-0.66,14,6.230893
1.51,12,6.256289
-0.6,10,6.278651
-0.71,9,6.298303
-0.6,14,6.405922
1.19,5,6.421154
-0.81,11,6.447954
1.54,15,6.481345
-0.93,6,6.498242
1.24,8,6.515566
1.28,9,7.531933
1.47,15,7.574298
-0.86,8,7.59571
-0.57,11,7.622655
1.15,9,7.646909
1.24,12,7.67882
1.18,6,7.692809
1.49,13,7.726884
1.34,13,7.758686
-0.42,17,7.801238
1.34,10,7.824648
-0.9,9,7.845296
1.44,12,7.875247
1.37,9,7.894051
1.28,7,7.908419
-0.96,6,7.923974
1.12,6,7.938642
-0.65,15,7.973882
-0.7,11,8.000118
-0.86,11,8.027374
-0.51,13,8.058531
1.44,10,8.082694
-0.14,16,8.121206
-0.21,16,8.159732
-0.55,13,8.191608
1.27,8,8.209671
1.19,5,8.224732
1.22,8,8.242512
1.14,4,8.252054
-0.75,8,8.267616
-0.88,13,8.297319
1.17,7,8.3158
-0.79,12,8.349072
-0.46,10,8.376121
1.14,4,8.386793
-0.74,14,8.42157
-0.68,9,8.440563
-0.87,9,8.458682
1.37,11,8.483944
1.24,8,8.503551
1.36,14,8.537733
-0.59,11,8.566333
1.15,12,8.594718
1.41,14,8.631904
-0.76,12,8.66076
1.18,6,8.67454
-0.76,12,8.700289
1.47,10,8.723045
1.38,11,8.7546
-0.46,13,8.831894
-0.63,13,8.878073
-0.81,11,8.90626
1.19,5,8.918319
1.49,14,8.950571
-0.79,6,8.966417
1.59,12,8.996217
-0.76,6,9.008635
-0.66,14,9.043485
-0.82,14,9.073813
1.44,10,9.098578
-0.67,11,9.127577
1.44,12,9.159363
-0.55,13,9.187419
1.34,11,9.213188
1.11,7,9.229389
-0.84,8,9.245618
-0.79,6,9.260639
-0.81,11,9.289171
1.26,6,9.303245
-0.69,10,9.326905
1.24,9,9.349988
1.27,8,9.366943
1.19,11,9.393435
-0.62,12,9.426085
-1.04,5,9.438992
-0.53,13,9.470706
-0.81,9,9.492756
-0.47,15,9.521219
-0.55,17,9.550298
1.28,7,9.566526
1.41,11,9.594027
1.18,6,9.610869
1.54,11,9.636954
-0.75,12,9.666945
-0.76,11,9.687269
-0.64,10,9.714397
-0.82,6,9.731502
-0.73,9,9.756117
-0.93,9,9.774742
-0.88,9,9.799812
1.36,10,9.826119
-0.68,10,9.853224
1.17,7,9.870284
1.38,11,9.900468
1.7,12,9.928138
-0.97,10,9.952553
-0.81,11,9.98183
-0.65,8,9.997937
1.43,14,10.024697
-0.91,4,10.035487
1.23,13,10.065315
1.55,14,10.104465
-0.67,8,10.126087
-0.92,10,10.151846
-0.46,12,10.181308
-0.74,11,10.201437
-0.85,14,10.237417
-0.87,9,10.260808
1.18,6,10.277374
1.39,10,10.301145
1.13,5,10.312399
-0.76,9,10.332141
-0.79,8,10.353588
1.32,12,10.383641
1.21,9,10.402087
1.14,4,10.410835
1.22,12,10.440126
-0.61,13,10.471003
1.17,7,10.488224
1.32,9,10.512202
1.14,4,10.521575
-0.58,13,10.548936
1.27,9,10.570497
1.31,10,10.598444
1.11,7,10.614498
-0.72,12,10.644073
-0.9,11,10.672218
1.26,10,10.695598
