#{"t_start": 1762623350.1537693, "env_id": "None"}
r,l,t
-0.67,13,1.573394
-0.79,6,1.580898
-0.73,11,1.593965
-0.76,8,1.605181
-0.6,14,1.628247
1.29,6,1.636066
-0.65,9,1.649534
-0.9,9,1.662467
1.35,8,1.675166
-0.96,9,1.688431
1.56,14,1.704741
1.33,8,1.71552
-0.75,11,1.731428
-0.51,12,1.747141
-0.95,8,1.759682
1.54,17,1.781462
-0.61,11,1.798751
1.3,14,1.818103
-0.92,5,1.826207
1.17,13,1.840808
-0.82,9,1.853833
-0.48,14,1.871401
1.36,11,1.886193
-0.85,12,1.902044
-0.81,11,1.917145
-0.99,6,1.926558
-0.49,16,1.948182
1.18,6,1.956787
-0.52,17,1.979327
-0.89,8,1.990767
-0.72,13,2.007642
-0.68,10,2.022759
1.26,9,2.03868
1.46,11,2.05129
-0.69,14,2.06671
-0.68,13,2.081971
-0.98,5,2.091961
-0.6,10,2.107862
1.46,9,2.119686
-0.87,5,2.126362
-0.49,16,2.147884
-0.78,12,2.165246
1.39,13,2.181625
-0.55,13,2.198574
1.26,6,2.208209
1.41,14,2.224836
-0.78,11,2.242166
-0.88,10,2.254354
-0.51,14,2.273473
-0.81,8,2.284735
-0.87,5,2.29391
1.18,9,2.306151
-0.57,11,2.323143
1.14,12,2.338244
-0.59,10,2.352081
1.13,5,2.357998
-0.94,9,2.372735
1.16,8,2.382247
-0.54,12,2.396819
1.31,11,2.411164
1.38,8,2.423141
1.23,7,2.432066
-0.98,5,2.439122
1.22,8,2.45051
1.54,11,2.465189
-0.74,10,2.480944
1.23,7,2.489856
-0.82,9,2.50273
-0.63,9,2.514685
1.41,14,2.535271
1.24,8,2.544496
-0.94,7,2.554618
1.13,7,2.564325
1.27,11,2.579211
-0.39,17,2.600255
-0.68,16,2.624062
1.17,7,2.634702
-0.62,16,2.652407
1.37,12,2.667954
1.2,10,2.679652
1.33,13,2.698718
-0.96,9,2.711221
-0.79,10,2.725427
1.3,10,2.738414
-0.65,9,2.752609
-0.5,12,2.76654
-0.72,14,2.785312
1.3,7,2.794512
1.27,9,2.807611
1.17,12,2.823774
1.41,12,2.839635
-0.67,11,2.853923
1.33,11,2.871246
-0.6,16,2.889397
-0.78,8,2.898405
1.44,10,2.911663
-0.75,8,2.925686
-0.93,6,2.947523
-0.82,6,2.960693
1.29,6,2.977901
1.28,8,2.997959
-0.78,10,3.020495
1.37,9,3.046083
