#{"t_start": 1762624325.0120726, "env_id": "None"}
r,l,t
-0.34,17,0.09863
-0.56,14,0.136165
-0.56,12,0.180226
-0.78,10,0.224428
-0.6,13,0.269546
-0.37,14,0.311078
-0.6,9,0.345281
-0.83,7,0.369863
-0.41,14,0.414078
-0.54,13,0.457196
-0.21,15,0.50595
-0.6,11,0.541952
-0.44,15,0.592241
1.42,14,0.636486
-0.88,7,0.662038
-0.47,12,0.706071
1.14,4,0.720527
1.17,10,0.751241
-0.75,7,0.7779
-0.73,11,0.816014
-0.73,11,0.848204
-0.44,12,0.89063
-0.92,5,0.910397
-0.65,9,0.941616
-0.74,13,0.979229
-0.7,11,1.085274
-0.61,10,1.122544
-0.61,10,1.160208
-0.62,12,1.206216
-0.51,14,1.257222
-0.7,11,1.294843
-0.29,13,1.344583
-0.76,9,1.386688
1.16,11,1.42465
-0.55,13,1.473881
-0.67,10,1.510452
-0.58,10,1.548865
-0.97,7,1.578037
-0.75,9,1.61144
1.62,13,1.653398
-0.43,11,1.69508
-0.51,15,1.745151
-0.85,6,1.767846
-0.63,9,1.802471
-0.48,12,1.843362
-0.69,13,1.886248
-0.69,11,1.923526
-0.67,12,1.964247
-0.81,11,2.007288
-0.61,10,2.042347
-0.82,9,2.075037
-0.47,13,2.114816
-0.84,11,2.156399
-0.4,13,2.20156
-0.38,13,2.243354
-0.63,10,2.280829
-0.63,9,2.312393
-0.6,9,2.344932
-0.6,11,2.390984
-0.61,10,2.42412
-0.88,7,2.446295
1.76,14,2.503341
-0.68,8,2.532212
-0.26,16,2.590418
-0.72,11,2.626671
-0.48,14,2.678702
-0.75,8,2.708283
1.51,10,2.74499
-0.49,13,2.799043
-0.93,6,2.822316
-0.48,12,2.863801
-0.88,9,2.899574
-0.53,12,2.948576
-0.62,12,2.991278
-0.75,8,3.016188
-0.63,15,3.067936
-0.77,7,3.093882
-0.97,4,3.109354
-0.78,11,3.153869
-0.99,9,3.187778
-0.6,12,3.30412
1.14,11,3.347609
-0.7,8,3.374233
-0.97,4,3.388749
-0.81,9,3.422736
-0.61,12,3.46297
-0.44,12,3.505803
-0.67,11,3.559541
-0.52,13,3.61828
-0.82,10,3.655645
-0.64,8,3.688132
-0.49,15,3.742818
-0.59,14,3.801003
-0.34,13,3.848862
-0.45,11,3.885363
-0.47,12,3.925256
-0.24,15,3.984277
-0.59,9,4.019175
-0.69,14,4.067876
-0.5,14,4.115362
-0.81,8,4.149148
-0.38,14,4.194557
-0.51,14,4.239452
1.58,11,4.273981
-0.62,11,4.309038
-0.71,10,4.345569
1.4,12,4.389921
-0.47,14,4.434752
1.31,12,4.483614
-0.57,10,4.5173
1.28,10,4.554391
-0.54,12,4.604287
-0.6,12,4.64343
1.3,11,4.683987
-0.5,11,4.721086
-0.56,11,4.762139
-0.69,9,4.797303
-0.73,12,4.842222
-0.38,11,4.879853
1.44,11,4.922743
-0.61,13,4.974692
-0.61,14,5.028251
-0.72,7,5.053774
-0.73,11,5.088418
-0.95,8,5.114343
-0.63,12,5.232779
-0.47,11,5.276151
1.48,10,5.315452
-0.7,10,5.354539
-0.43,19,5.420543
-0.58,11,5.455965
-0.89,11,5.494997
-0.84,9,5.533535
1.14,10,5.568563
-0.35,13,5.618301
-0.83,8,5.646273
-0.59,10,5.684616
-0.73,9,5.711132
-1.0,4,5.726596
-0.62,16,5.789825
-0.86,9,5.826051
-0.49,15,5.879723
-0.67,12,5.917475
-0.65,14,5.958583
-0.56,13,6.004338
-0.57,12,6.041061
-0.94,7,6.070396
-0.56,15,6.126799
-0.66,10,6.159038
-0.49,14,6.205148
1.33,12,6.248019
-0.58,10,6.286272
-0.42,18,6.341417
-0.72,8,6.371046
-0.48,12,6.412826
-0.63,11,6.454552
-0.51,12,6.50073
-0.37,19,6.567696
-0.7,11,6.607585
1.3,9,6.636772
-0.7,8,6.671788
-0.63,13,6.719501
-0.32,14,6.76881
-0.58,16,6.827433
-0.95,5,6.846222
-0.8,7,6.868733
-0.62,13,6.916246
-0.84,8,6.947521
-0.58,13,7.071128
-0.72,8,7.102927
-0.7,8,7.134549
1.21,9,7.166823
-0.77,10,7.204723
-0.5,14,7.250635
-0.62,8,7.279665
1.87,15,7.333159
-0.83,7,7.363019
-0.66,9,7.395608
-0.64,10,7.431782
-0.53,13,7.477537
-0.7,10,7.519411
-0.67,8,7.554179
-0.48,12,7.599618
-0.39,14,7.653614
-0.26,14,7.706943
-0.51,16,7.759698
-0.55,12,7.810172
-0.33,13,7.866389
-0.88,10,7.904501
-0.45,14,7.964347
-0.62,9,7.999732
-0.31,12,8.047104
-0.69,10,8.088264
1.44,12,8.134531
-0.53,15,8.18693
-0.65,12,8.231487
-0.62,9,8.261679
-0.65,8,8.289751
1.49,11,8.333635
-0.8,9,8.364122
-0.5,12,8.404771
-0.67,10,8.442986
-0.96,12,8.482098
-0.65,10,8.517563
-0.75,14,8.567255
-0.86,7,8.591371
1.28,8,8.622908
-0.89,14,8.666467
1.58,19,8.71972
-0.92,8,8.749775
-0.88,6,8.767704
-0.85,7,8.793799
-0.82,10,8.838144
-0.77,7,8.862915
-0.83,7,8.892915
-0.66,7,8.921483
-0.75,11,8.958311
-0.86,9,8.989372
-0.82,6,9.013679
-0.57,11,9.052756
-0.86,9,9.090268
-0.69,14,9.143389
-0.81,7,9.165542
-0.53,13,9.206463
-0.69,10,9.245295
1.39,11,9.284942
-0.31,13,9.394062
-1.04,5,9.415606
1.25,8,9.444687
-0.3,14,9.488312
-0.72,8,9.516949
-0.6,9,9.552414
-0.72,10,9.59113
1.51,12,9.637505
-0.35,13,9.685044
-0.59,16,9.740336
-0.87,11,9.782609
-0.38,13,9.836748
-0.65,12,9.885298
-0.78,8,9.916032
-0.63,12,9.963358
-0.35,15,10.017128
-0.46,16,10.072791
-0.54,9,10.105045
-0.71,10,10.144279
-1.04,5,10.157485
-0.78,14,10.201998
-0.7,8,10.234361
-0.48,14,10.282668
-0.59,8,10.312765
-0.9,15,10.369632
-0.82,7,10.398766
-0.95,8,10.432421
-0.51,12,10.480739
-0.86,8,10.507544
-0.66,7,10.535522
-0.32,14,10.589375
-0.65,9,10.626852
-0.82,10,10.666131
1.0,10,10.70367
-0.78,17,10.763403
-0.61,14,10.818901
-0.6,11,10.861195
-0.47,11,10.904428
-0.62,9,10.942918
-0.82,9,10.977313
-0.79,13,11.030546
-0.83,10,11.065159
-0.67,14,11.115173
-0.86,5,11.131549
-0.63,10,11.1723
-0.72,7,11.195896
-0.7,11,11.237223
-0.54,11,11.279066
1.44,12,11.321002
-0.66,11,11.366336
1.62,18,11.4335
1.55,10,11.469021
-0.54,15,11.520894
-0.54,13,11.5728
-0.68,12,11.613042
1.5,13,11.658402
-0.93,6,11.676122
-0.84,8,11.701127
-0.76,12,11.742075
-0.82,8,11.771127
-0.82,11,11.81704
-0.75,10,11.861691
-0.56,11,11.902891
-1.04,5,11.925612
-0.57,9,11.961581
-0.68,10,12.000541
-0.84,9,12.032001
-0.43,17,12.089602
-0.45,13,12.133097
-0.83,7,12.160194
-0.4,17,12.214019
1.39,9,12.243286
1.72,12,12.285146
-0.77,12,12.351558
-0.5,15,12.448353
-0.66,9,12.491159
1.21,7,12.526674
-0.82,8,12.563005
-0.78,8,12.606255
-0.52,12,12.655202
-0.77,11,12.703327
-0.95,8,12.736702
-0.58,16,12.799918
-0.81,8,12.834418
1.8,14,12.886178
-0.84,8,12.923699
-0.9,9,12.968622
-0.84,8,13.01235
-0.34,15,13.072993
1.46,9,13.108073
-0.97,10,13.150196
-0.55,16,13.208111
-0.79,8,13.231915
-0.59,13,13.284012
-0.56,9,13.319556
-0.05,15,13.446247
-0.55,13,13.490915
1.43,10,13.526881
-0.93,6,13.551038
-0.69,9,13.584392
-0.39,14,13.633406
-0.81,8,13.663261
-0.42,12,13.710874
-0.75,8,13.743456
-0.6,11,13.786191
-0.75,11,13.8271
-0.57,10,13.865964
1.5,14,13.916693
-0.51,9,13.954055
-0.52,10,13.996159
-0.42,11,14.036016
1.56,13,14.098928
-0.93,9,14.132162
-0.66,14,14.185701
-0.91,7,14.216672
-0.61,15,14.272496
1.54,10,14.31219
-0.7,12,14.357287
-0.57,13,14.409533
-0.65,15,14.464502
-0.98,5,14.486564
-0.67,11,14.52642
-0.66,10,14.588996
-0.61,13,14.64069
1.11,8,14.676325
-0.68,9,14.711172
1.25,7,14.742936
-0.78,8,14.7736
-0.73,8,14.804646
-0.98,8,14.84392
1.56,10,14.889615
-0.89,10,14.927773
-0.8,7,14.964602
-0.69,12,15.013729
1.24,9,15.045198
-0.77,10,15.091712
-0.69,10,15.131705
-0.6,10,15.171333
-0.56,11,15.2149
-0.85,9,15.251631
1.32,10,15.291261
-0.56,8,15.323119
-1.0,7,15.350125
-0.64,12,15.397951
-0.78,8,15.435408
-0.46,10,15.477774
-0.45,14,15.536431
-0.66,14,15.584739
-0.96,9,15.625711
-0.58,11,15.662569
-0.87,8,15.697068
-0.44,11,15.742304
-0.72,11,15.784371
-0.8,10,15.821149
-0.76,15,15.88218
-0.62,13,15.935512
-0.62,9,15.98244
-0.62,11,16.021178
-0.85,6,16.047827
-0.93,6,16.070187
-0.73,15,16.127468
-0.43,11,16.173593
-0.76,10,16.211756
-0.75,8,16.244216
-0.62,12,16.291893
-0.5,12,16.338025
1.49,11,16.381148
-0.34,14,16.441918
-0.75,15,16.506029
-0.88,10,16.55014
-0.76,10,16.592912
-0.75,11,16.635097
-0.69,14,16.686796
-0.1,16,16.745164
-0.5,11,16.788789
-0.39,15,16.84668
-0.7,8,16.878134
1.51,11,16.9243
-0.93,11,16.972599
-0.26,18,17.029457
-0.67,11,17.066572
-0.73,14,17.116513
-0.7,11,17.159901
-0.47,13,17.212095
-0.51,9,17.247447
-0.48,17,17.307086
-0.71,10,17.346457
-0.58,14,17.405951
-0.63,17,17.470554
-0.71,9,17.508525
-0.73,10,17.558964
-0.81,11,17.605257
-0.65,17,17.6715
-0.71,7,17.76487
-0.61,13,17.814868
-0.44,13,17.865951
-0.69,9,17.899436
-0.58,11,17.943224
-0.24,15,18.015873
-0.54,9,18.056329
-0.56,10,18.10205
-0.63,10,18.143683
-0.26,15,18.207574
1.8,13,18.253942
-0.68,9,18.281742
-0.79,9,18.31744
-0.58,13,18.36302
-0.47,14,18.40929
-0.44,12,18.452138
-0.51,12,18.5037
-0.86,8,18.530514
-0.64,14,18.578265
-0.72,7,18.603529
-0.58,13,18.654011
-0.6,11,18.694852
-0.74,15,18.748198
-0.45,14,18.801313
-0.63,13,18.918221
-0.87,6,18.96194
1.62,13,19.007784
-0.34,11,19.045316
-0.73,9,19.079189
-0.71,14,19.135797
-0.95,11,19.180033
-0.62,9,19.211155
-0.43,11,19.25399
1.12,9,19.287464
-0.55,13,19.328991
-0.83,8,19.362224
-0.77,7,19.388534
-0.71,11,19.430143
-0.74,10,19.463627
-0.76,6,19.48843
