#{"t_start": 1762635111.6512504, "env_id": "None"}
r,l,t
-0.9,12,1.410501
-0.93,6,1.426766
-0.79,12,1.457359
1.19,5,1.469304
1.38,9,1.491287
-0.89,10,1.514326
1.29,6,1.529613
1.28,10,1.556251
-0.71,13,1.586169
1.21,8,1.60643
-0.83,7,1.622804
1.22,8,1.639845
1.29,9,1.660886
-0.62,9,1.68287
1.18,6,1.697215
-0.78,11,1.767671
-1.0,7,1.792901
1.34,7,1.809823
1.7,15,1.845407
-0.67,9,1.863339
-0.47,16,1.903344
-0.78,11,1.929788
-0.9,8,1.944973
-0.67,17,1.982685
1.29,10,2.003653
-0.46,15,2.040262
-0.76,9,2.064446
1.5,10,2.089811
-0.53,15,2.125391
-0.67,14,2.160725
-0.99,6,2.175618
-0.87,12,2.201861
-0.89,10,2.22465
1.17,10,2.248721
1.35,15,2.28444
-0.47,13,2.315706
1.19,5,2.327736
-0.67,13,2.355759
-0.7,9,2.376002
1.22,7,2.389524
-0.71,9,2.412875
1.12,9,2.435354
1.13,8,2.45669
1.16,8,2.477801
-0.57,15,2.516864
-0.86,13,2.542841
-0.62,18,2.588009
1.32,9,2.607854
-0.67,12,2.634829
1.29,12,2.659173
-1.01,8,2.676376
-0.88,6,2.692917
1.15,5,2.70559
-0.51,14,2.74018
1.19,13,2.775774
-0.87,8,2.793708
-0.92,8,2.813529
-0.81,5,2.826505
-0.39,15,2.86385
1.29,9,2.883594
1.33,9,2.90185
1.12,6,2.915522
-0.75,15,2.94463
1.39,13,2.974812
1.41,10,3.000281
-0.81,14,3.034996
1.29,12,3.064907
-0.8,9,3.090999
-0.97,4,3.101691
1.44,12,3.126555
1.18,12,3.155003
-0.6,10,3.181807
1.1,8,3.203773
-0.83,13,3.234512
-0.77,10,3.255367
1.4,10,3.27982
1.36,12,3.376014
-0.85,9,3.393018
-0.41,12,3.422258
-0.95,8,3.441165
-0.79,9,3.460636
1.11,10,3.484002
-0.86,10,3.503248
-0.86,8,3.523343
-0.93,6,3.53783
1.32,12,3.566946
1.48,11,3.591229
-0.88,11,3.616288
-0.9,8,3.632671
-0.5,13,3.661725
1.25,13,3.695864
1.33,8,3.711612
-0.86,11,3.737878
-0.63,9,3.75711
-0.68,13,3.784264
-0.77,12,3.815412
-0.42,13,3.845513
-0.58,15,3.876967
1.16,5,3.889064
1.24,5,3.901148
-0.67,12,4.80603
1.33,14,4.839465
-0.66,10,4.866853
1.1,8,4.886856
-0.44,17,4.925371
-0.89,8,4.947262
-0.71,10,4.967044
1.42,12,4.994886
1.42,16,5.034521
-0.88,10,5.061805
1.31,11,5.088343
-1.0,7,5.108046
-0.99,6,5.124433
-0.85,11,5.153384
-0.67,8,5.170988
-0.52,11,5.197194
-0.95,11,5.226941
1.44,10,5.250986
-0.91,8,5.267696
1.29,11,5.294541
-0.75,11,5.32098
-0.82,6,5.337159
-0.78,10,5.36441
-0.74,11,5.393874
1.28,7,5.412286
1.55,17,5.452421
1.23,7,5.470383
1.16,8,5.487303
-0.39,13,5.521686
1.35,11,5.592647
-0.82,6,5.607425
-0.88,7,5.623584
-0.58,14,5.657289
1.41,9,5.679276
1.19,5,5.691476
-0.57,15,5.728353
1.23,7,5.742356
1.11,7,5.760395
-0.69,17,5.798783
-0.52,12,5.821813
-0.46,16,5.858361
-0.83,10,5.885585
1.29,9,5.903786
-0.51,14,5.935222
