#{"t_start": 1762635466.9475124, "env_id": "None"}
r,l,t
1.29,6,0.076666
1.14,4,0.086571
1.29,6,0.103302
1.14,4,0.112453
1.25,7,0.132374
1.14,4,0.144563
-0.69,10,0.172115
1.13,5,0.18681
-0.86,4,0.200305
1.24,6,0.217491
1.19,5,0.232183
1.34,7,0.252864
1.14,4,0.266066
1.19,5,0.280664
1.29,6,0.299008
-0.81,5,0.314991
1.19,5,0.329846
-0.91,4,0.34203
-0.86,5,0.35618
1.54,9,0.384178
1.19,5,0.396863
1.14,4,0.407166
-0.91,7,0.429827
-0.91,4,0.444115
-0.79,5,0.460765
-0.81,5,0.478461
-0.86,4,0.493652
-0.66,7,0.520087
1.14,4,0.532948
-0.76,6,0.553542
-0.81,5,0.567969
1.19,5,0.580601
1.29,6,0.5956
-0.81,5,0.610427
-0.87,6,0.629601
-0.81,5,0.644849
1.23,7,0.665887
1.29,6,0.683144
1.29,6,0.701399
1.29,6,0.716989
1.23,7,0.734162
1.34,7,0.751878
-0.81,5,0.766558
1.34,8,0.789999
-0.91,4,0.801008
-0.77,7,0.824079
-0.81,5,0.835411
-0.76,6,0.850633
1.19,5,0.863044
1.33,8,0.885029
-0.91,4,0.897556
1.19,5,0.911734
-0.86,5,0.926573
1.14,4,0.939349
-0.81,5,0.957779
1.29,6,0.979388
1.29,6,1.001827
-0.87,6,1.025815
1.29,6,1.048791
1.24,6,1.067441
1.23,7,1.091273
-0.88,7,1.114078
1.29,6,1.132787
1.38,9,1.161325
-0.81,5,1.1764
-0.91,4,1.188265
1.19,5,1.202002
-0.86,4,1.214403
1.19,5,1.2279
1.29,6,1.243359
1.13,5,1.257328
1.19,5,1.272625
1.29,6,1.290942
1.29,6,1.308389
-0.61,7,1.329398
1.14,4,1.339036
-0.85,7,1.360296
1.24,6,1.376412
-0.82,6,1.396357
-0.91,4,1.40849
-0.86,5,1.424209
1.44,11,1.460171
-0.52,10,1.484949
-0.86,4,1.497266
1.14,4,1.508572
1.29,6,1.524729
1.19,5,1.538617
-0.86,5,1.554718
-0.81,5,1.570615
1.19,5,1.583394
1.14,4,1.594085
-0.82,6,1.61088
1.29,6,1.629019
1.19,5,1.643211
1.19,5,1.657669
-0.81,5,1.673205
-0.86,4,1.685883
-0.91,4,1.697779
1.13,5,1.711667
1.14,4,1.723005
-0.66,7,1.744213
-0.79,5,1.759636
-0.92,5,1.775439
-0.86,4,1.78789
1.14,4,1.798697
-0.81,5,1.814183
1.34,7,1.835035
-0.82,6,1.850689
1.19,5,1.864939
1.19,5,1.882935
1.28,7,1.949296
1.34,7,1.971912
1.19,5,1.983979
-0.82,6,2.003386
-0.91,4,2.016523
-0.86,4,2.028537
1.35,8,2.052988
-0.81,5,2.069321
1.39,8,2.091493
1.19,5,2.105477
-0.81,5,2.11954
-0.82,6,2.13763
1.21,5,2.149776
-0.91,4,2.16151
1.18,6,2.178047
-0.81,5,2.192526
-0.91,4,2.204052
1.28,7,2.22151
1.28,7,2.240374
1.14,4,2.250771
1.19,5,2.265688
1.29,6,2.283992
-0.72,8,2.309963
-0.64,8,2.336497
1.19,5,2.350474
1.14,4,2.362165
1.19,5,2.376179
-0.87,6,2.395477
-0.91,4,2.407751
1.19,5,2.419639
-0.76,6,2.439709
1.19,5,2.44957
1.14,4,2.458854
1.19,5,2.472005
1.19,5,2.486039
-0.76,6,2.503289
-0.81,5,2.517572
1.24,6,2.535233
-0.82,6,2.553831
-0.91,4,2.56579
-0.76,6,2.585469
1.36,7,2.607512
-0.91,4,2.618608
1.29,6,2.632853
1.29,6,2.652814
-0.81,5,2.669031
1.19,5,2.682499
-0.81,6,2.700365
-0.88,7,2.722235
1.29,6,2.741383
1.14,4,2.751743
-0.86,5,2.766815
1.19,5,2.778778
1.14,4,2.789537
-0.81,5,2.801421
1.18,6,2.819145
1.14,4,2.831186
1.18,6,2.848748
1.18,6,2.907172
1.19,5,2.931045
1.29,6,2.956681
1.14,4,2.965946
1.19,5,2.985629
-0.76,6,3.008462
-0.81,5,3.028774
1.29,6,3.048129
1.14,4,3.061546
-0.81,5,3.080544
1.14,4,3.093057
1.19,5,3.107287
-0.75,8,3.136441
1.14,4,3.149132
1.29,6,3.169594
1.19,5,3.189109
-0.81,5,3.206677
1.14,4,3.22125
-0.91,4,3.235981
-0.81,5,4.183762
-0.66,7,4.207474
-0.51,9,4.231996
1.19,5,4.246354
1.34,7,4.264979
1.19,5,4.27858
-0.91,4,4.289683
1.18,6,4.307457
1.14,4,4.318545
-0.81,5,4.333715
1.24,6,4.351615
-0.66,7,4.374683
-0.82,7,4.396463
1.14,4,4.407565
-0.92,5,4.423455
1.19,5,4.438445
1.14,4,4.449043
-0.81,6,4.467875
1.19,5,4.482757
1.34,7,4.504807
-0.86,4,4.516068
-0.81,5,4.531637
-0.74,6,4.548499
1.19,5,4.563858
-0.78,8,4.589068
-0.91,4,4.598991
1.34,7,4.615963
1.14,4,4.626625
1.14,4,4.636646
-0.86,4,4.64905
1.19,5,4.661498
-0.71,6,4.677915
-0.81,5,4.691874
-0.86,4,4.70369
1.19,5,4.71783
-0.71,6,4.736573
1.22,8,4.759491
1.19,5,4.773627
1.14,4,4.784382
1.13,5,4.800697
1.28,7,4.818723
1.19,5,4.833259
-0.98,5,4.850053
1.29,6,4.86805
-0.77,7,4.890588
1.24,6,4.908002
-0.81,5,4.92343
1.29,6,4.943279
-0.66,7,4.963235
1.29,6,4.981332
1.14,4,4.993174
1.14,4,5.004766
-0.83,7,5.0264
1.18,6,5.044841
1.19,5,5.05932
1.19,5,5.073399
-0.91,4,5.084991
1.19,5,5.099665
-0.86,4,5.112393
1.29,6,5.129884
1.19,5,5.144002
-0.81,5,5.15947
-0.91,4,5.171641
1.18,6,5.187358
-0.93,6,5.205739
1.18,6,5.222549
1.14,4,5.233089
1.19,5,5.24775
1.17,7,5.269746
1.29,6,5.284469
1.34,7,5.300708
-0.81,5,5.316135
1.14,4,5.325829
1.14,4,5.336697
1.19,5,5.351051
1.19,5,5.36334
-0.91,4,5.375222
-0.81,5,5.388788
-0.86,4,5.40018
1.31,6,5.417695
-0.81,5,5.430335
1.13,5,5.44198
-0.81,5,5.456282
1.14,4,5.466654
-0.81,5,5.478331
1.14,4,5.489232
1.19,5,5.503826
1.29,6,5.521819
-0.67,8,5.547896
1.19,5,5.562851
-0.81,5,5.57873
1.17,7,5.59996
-0.91,4,5.611503
-0.82,7,5.631963
1.19,5,5.644505
1.24,6,5.702439
1.14,4,5.721869
-0.91,4,5.734992
1.19,5,5.750031
1.29,6,5.769653
1.29,6,5.787019
1.19,5,5.800898
-0.81,5,5.816636
1.24,6,5.835177
1.29,6,5.853202
1.19,5,5.865964
1.24,6,5.882655
1.19,5,5.897953
1.19,5,5.90985
-0.66,7,5.927036
1.17,7,5.946567
1.19,5,5.960496
1.19,5,5.974409
-0.91,4,5.985517
1.19,5,5.999074
-0.91,4,6.011314
1.29,6,6.028765
-0.91,4,6.041856
-0.91,4,6.053564
1.19,5,6.067512
-0.76,6,6.082335
1.19,5,6.096539
1.14,4,6.107817
-0.91,4,6.1192
1.19,5,6.133358
-0.73,8,6.154863
1.34,7,6.175725
1.14,4,6.186829
1.19,5,6.200084
1.14,4,6.211447
1.19,5,6.228171
-0.86,4,6.240039
1.48,10,6.269152
1.14,4,6.280112
-0.69,7,6.303035
1.19,5,6.318019
-0.87,5,6.333525
1.19,5,6.349045
-0.76,6,6.367575
1.13,5,6.381642
-0.77,7,6.399198
1.29,6,6.416003
-0.82,6,6.431093
-0.76,6,6.451301
1.13,5,6.463766
1.14,4,6.475733
-0.86,5,6.491366
1.29,6,6.509655
1.34,7,6.530302
-0.81,5,6.545689
-0.81,5,6.560832
-0.91,4,6.573334
-0.86,4,6.586088
-0.78,9,6.614612
1.19,5,6.628994
1.19,5,6.643546
1.27,8,6.667196
1.14,4,6.678055
-0.81,5,6.692094
-0.78,8,6.716241
-0.86,4,6.730005
1.14,4,6.741697
1.19,5,6.756085
-0.86,5,6.771745
1.19,5,6.786628
-0.81,5,6.802403
-0.66,7,6.820758
1.14,4,6.831537
-0.86,4,6.845046
-0.91,4,6.857009
-0.81,5,6.871531
1.31,6,6.889421
-0.91,4,6.901113
-0.86,4,6.913073
1.29,7,6.932542
1.14,4,6.943556
-0.86,4,6.954796
1.19,5,6.969346
1.14,4,6.97976
-0.79,5,6.995411
1.29,6,7.013798
1.14,4,7.025099
-0.87,5,7.041254
1.19,5,7.054985
1.19,5,7.069773
1.19,5,7.084005
-0.81,5,7.099525
-0.86,5,7.115218
1.29,6,7.1326
1.19,5,7.146796
1.24,6,7.165153
1.29,6,7.182645
-0.76,6,8.19567
1.29,6,8.208955
1.13,5,8.2225
-0.81,5,8.237631
-0.78,8,8.264359
1.14,4,8.276653
1.14,4,8.289062
-0.87,6,8.308092
1.13,5,8.322986
-0.81,5,8.338319
1.19,5,8.352892
1.29,6,8.370133
1.24,6,8.387495
-0.91,4,8.399605
-0.86,4,8.412093
1.14,4,8.423619
1.14,4,8.435241
1.29,6,8.453418
-0.91,4,8.465817
1.19,5,8.480434
-0.86,4,8.493626
1.22,8,8.518627
-0.87,6,8.537409
-0.71,7,8.559777
1.29,6,8.578252
1.19,5,8.593409
-0.81,5,8.609406
1.18,7,8.63183
1.14,4,8.643318
1.29,6,8.662006
-0.91,7,8.684024
1.19,5,8.698728
-0.81,5,8.714965
1.19,5,8.72857
1.19,5,8.743073
1.19,5,8.75862
1.29,6,8.776031
1.14,4,8.78667
1.24,6,8.804445
-0.81,5,8.820492
1.19,5,8.83508
1.14,4,8.845673
1.14,4,8.857334
-0.91,4,8.868914
1.29,6,8.885131
-0.71,6,8.904287
1.19,5,8.918693
1.29,6,8.93616
1.29,6,8.953393
-0.71,6,8.972387
-0.88,7,8.994749
1.14,4,9.006643
-0.78,8,9.031391
-0.71,10,9.058909
1.29,6,9.07654
1.14,4,9.088205
1.14,4,9.100037
1.19,5,9.115123
1.19,5,9.128464
1.18,6,9.14652
1.34,7,9.168303
1.24,6,9.185969
1.23,7,9.206827
1.14,4,9.218539
1.14,4,9.229269
1.19,5,9.243737
-0.86,4,9.255516
-0.91,4,9.267198
-0.76,6,9.285065
1.19,5,9.299303
1.31,6,9.316915
1.14,4,9.327774
-0.81,5,9.340903
1.14,4,9.352
-0.86,4,9.363883
1.29,6,9.377712
-0.92,5,9.392189
1.29,6,9.408637
-0.92,5,9.424716
-0.74,7,9.44818
-0.91,4,9.458805
-0.92,5,9.47357
-0.81,6,9.49182
-0.66,7,9.508272
1.24,6,9.524819
-0.81,5,9.540282
1.19,5,9.559107
1.19,5,9.619612
1.19,5,9.635045
-0.82,6,9.654238
1.14,4,9.662846
1.14,4,9.671895
1.14,4,9.681547
1.24,6,9.693082
1.28,7,9.713276
1.19,5,9.727616
-0.93,6,9.746707
1.14,4,9.75803
-0.87,5,9.772645
-0.92,5,9.785829
1.34,7,9.807145
1.14,4,9.819154
-0.79,9,9.845044
1.36,7,9.866791
1.14,4,9.878407
-0.76,6,9.896353
1.19,5,9.910681
1.19,5,9.924645
1.29,6,9.94316
-0.91,4,9.955314
1.19,5,9.970003
1.19,5,9.984236
-0.77,7,10.006926
1.19,5,10.02126
1.14,4,10.032961
-0.81,5,10.047904
1.14,4,10.059433
1.19,5,10.074057
1.25,7,10.09533
-0.86,5,10.110957
1.14,4,10.12317
1.19,5,10.136755
-0.75,7,10.1592
1.19,5,10.174142
-0.76,6,10.190551
-0.91,4,10.201729
1.14,4,10.212596
1.14,4,10.221941
-0.81,5,10.237046
-0.86,4,10.248629
1.14,4,10.259784
1.14,4,10.27239
-0.81,5,10.288684
1.14,4,10.30101
-0.86,4,10.313126
1.19,5,10.324486
-0.85,9,10.348465
-0.81,5,10.363623
1.29,6,10.382839
1.14,4,10.393934
-0.86,5,10.409205
1.14,4,10.420283
1.29,6,10.437646
1.14,4,10.449355
-0.76,6,10.467737
-0.79,5,10.483959
-0.73,9,10.51009
1.19,5,10.524897
1.34,7,10.545768
1.18,6,10.563089
1.14,4,10.57422
1.29,6,10.590102
