#{"t_start": 1762595773.6775084, "env_id": "None"}
r,l,t
-1.0,6,0.070276
-1.0,5,0.084754
-1.0,6,0.106261
1.0,4,0.116378
1.0,5,0.134356
-1.0,8,0.166319
-1.0,5,0.18616
-1.0,8,0.213019
-1.0,4,0.231365
1.0,4,0.242088
1.0,4,0.254894
1.0,4,0.26578
1.0,4,0.280143
1.0,4,0.29357
-1.0,10,0.330493
1.0,4,0.342499
1.0,4,0.359832
1.0,5,0.373859
1.0,4,0.385689
-1.0,6,0.404016
1.0,4,0.419027
1.0,4,0.428995
1.0,4,0.443559
1.0,4,0.455329
1.0,5,0.490892
1.0,4,0.507426
1.0,4,0.524013
1.0,4,0.542721
1.0,4,0.5621
1.0,8,0.589404
1.0,4,0.602986
1.0,4,0.615378
-1.0,7,0.643208
1.0,6,0.696995
1.0,4,0.738909
1.0,4,0.762151
1.0,4,0.788012
-1.0,5,0.809865
1.0,4,0.826013
1.0,4,0.841334
1.0,4,0.859308
-1.0,7,0.887119
1.0,4,0.904816
1.0,4,0.920142
1.0,5,0.93927
1.0,5,0.955129
1.0,4,0.966842
1.0,4,0.979876
-1.0,4,0.999123
-1.0,5,1.020928
1.0,5,1.036295
-1.0,7,1.065212
-1.0,7,1.086283
-1.0,5,1.106832
1.0,4,1.117666
-1.0,6,1.13847
1.0,4,1.15522
1.0,4,1.165717
1.0,4,1.183237
1.0,4,1.196247
1.0,4,1.226561
1.0,5,1.248876
1.0,4,1.266326
1.0,4,1.281297
1.0,4,1.298127
1.0,4,1.31033
-1.0,6,1.331897
1.0,4,1.344657
1.0,4,1.365945
1.0,5,1.385568
1.0,4,1.400987
1.0,5,1.414458
-1.0,5,1.434268
1.0,4,1.444802
1.0,4,1.454912
1.0,4,1.468176
-1.0,5,1.486712
1.0,4,1.500859
1.0,5,1.518056
1.0,4,1.540503
1.0,4,1.571309
-1.0,8,1.612453
1.0,4,1.63166
1.0,4,1.648511
1.0,4,1.68689
-1.0,6,1.72158
1.0,4,1.736222
1.0,4,1.754748
-1.0,4,1.780219
1.0,5,1.793548
1.0,5,1.808609
1.0,4,1.818964
1.0,4,1.834231
1.0,4,1.846849
1.0,6,1.867201
1.0,4,1.889577
1.0,4,1.91579
-1.0,8,1.945534
1.0,4,1.957584
1.0,4,1.969619
1.0,5,1.984104
-1.0,4,1.998235
1.0,4,2.009893
1.0,4,2.02135
-1.0,5,2.040113
1.0,4,2.05005
-1.0,6,2.068229
1.0,4,2.078328
-1.0,9,2.108535
1.0,5,2.125663
1.0,8,2.146791
-1.0,7,2.16642
1.0,4,2.179546
1.0,4,2.191
-1.0,12,2.22528
1.0,4,2.237679
-1.0,8,2.265616
-1.0,7,2.284398
-1.0,10,2.311949
-1.0,8,2.334837
1.0,4,2.348235
1.0,5,2.363579
1.0,4,2.373943
1.0,4,2.386034
-1.0,4,2.400889
1.0,4,2.41082
1.0,4,2.422338
1.0,4,2.432963
-1.0,6,2.455783
1.0,4,2.468216
1.0,7,2.493796
1.0,7,2.514691
1.0,4,2.530151
1.0,5,2.544703
1.0,4,2.55459
1.0,5,2.568033
-1.0,6,2.592134
-1.0,4,2.604339
1.0,4,2.613913
1.0,5,2.629657
-1.0,9,2.663028
1.0,4,2.676585
-1.0,10,2.703965
-1.0,5,2.717948
