#{"t_start": 1762596297.7997324, "env_id": "None"}
r,l,t
-1.0,13,0.124885
-1.0,7,0.153973
-1.0,8,0.186076
-1.0,16,0.243124
-1.0,17,0.319961
-1.0,11,0.359294
-1.0,14,0.407381
-1.0,11,0.440952
-1.0,15,0.491685
-1.0,9,0.526346
-1.0,6,0.549126
1.0,9,0.579687
-1.0,11,0.615724
-1.0,14,0.657543
-1.0,15,0.708599
-1.0,14,0.760454
-1.0,11,0.795129
-1.0,10,0.832597
-1.0,8,0.858462
-1.0,13,0.90783
-1.0,12,0.948711
-1.0,12,0.988291
-1.0,15,1.040814
-1.0,4,1.059523
-1.0,10,1.100357
-1.0,14,1.144048
-1.0,15,1.200694
-1.0,10,1.233281
1.0,10,1.272501
-1.0,16,1.322247
-1.0,11,1.367747
-1.0,9,1.400528
-1.0,13,1.442913
-1.0,12,1.48524
-1.0,7,1.509875
-1.0,8,1.545292
-1.0,13,1.59033
-1.0,14,1.642939
-1.0,10,1.677963
-1.0,12,1.71688
-1.0,14,1.761751
-1.0,11,1.802233
-1.0,12,1.84273
-1.0,16,1.899258
-1.0,10,1.932734
-1.0,8,1.95988
1.0,11,1.999052
-1.0,12,2.040425
-1.0,16,2.094147
-1.0,16,2.145209
1.0,10,2.176797
-1.0,13,2.223977
-1.0,10,2.258982
-1.0,7,2.281349
-1.0,16,2.330923
-1.0,13,2.371115
-1.0,14,2.436635
-1.0,9,2.496056
-1.0,8,2.522124
-1.0,6,2.551203
-1.0,9,2.584607
-1.0,8,2.617058
-1.0,15,2.66905
-1.0,12,2.716268
1.0,11,2.759041
-1.0,10,2.791471
-1.0,13,2.836744
-1.0,11,2.877093
-1.0,7,2.903029
-1.0,13,2.946098
1.0,9,2.971996
-1.0,5,2.991805
-1.0,7,3.016675
-1.0,12,3.052162
1.0,9,3.081209
-1.0,10,3.117883
-1.0,11,3.167627
1.0,12,3.231351
-1.0,14,3.282022
-1.0,12,3.32902
1.0,12,3.365451
-1.0,10,3.393698
-1.0,11,3.435
-1.0,11,3.485268
-1.0,8,3.519929
-1.0,10,3.559343
-1.0,10,3.598843
-1.0,10,3.640425
-1.0,10,3.675342
-1.0,12,3.723677
-1.0,9,3.754891
-1.0,16,3.814032
-1.0,13,3.857609
-1.0,9,3.890482
-1.0,7,3.918237
-1.0,12,3.959684
-1.0,13,4.005317
1.0,8,4.028512
-1.0,6,4.05058
-1.0,9,4.083027
-1.0,8,4.107275
-1.0,12,4.151208
-1.0,12,4.1916
-1.0,11,4.229533
-1.0,7,4.247363
-1.0,10,4.27562
-1.0,19,4.330603
-1.0,14,4.377931
-1.0,9,4.408323
-1.0,11,4.442535
-1.0,14,4.483812
-1.0,7,4.515999
-1.0,10,4.549424
-1.0,12,4.587724
-1.0,11,4.629235
-1.0,13,4.674337
-1.0,10,4.711003
1.0,8,4.738457
-1.0,14,4.786549
-1.0,14,4.834773
-1.0,11,4.871413
-1.0,11,4.904038
-1.0,8,4.930836
-1.0,14,4.976892
-1.0,12,5.02047
-1.0,12,5.060529
-1.0,11,5.097563
-1.0,8,5.131012
-1.0,8,5.214202
-1.0,14,5.266163
-1.0,9,5.29901
-1.0,12,5.338872
-1.0,9,5.369564
-1.0,12,5.402579
-1.0,8,5.428589
-1.0,15,5.479742
-1.0,8,5.503793
-1.0,10,5.539008
-1.0,15,5.589427
-1.0,12,5.627486
-1.0,10,5.662796
-1.0,8,5.69242
-1.0,12,5.736956
-1.0,9,5.771664
-1.0,17,5.824038
-1.0,7,5.84481
-1.0,14,5.884518
-1.0,14,5.93273
-1.0,13,5.979267
-1.0,13,6.018344
-1.0,14,6.059492
-1.0,14,6.110167
-1.0,10,6.140226
-1.0,14,6.186094
-1.0,11,6.218286
-1.0,13,6.266345
-1.0,11,6.295935
-1.0,11,6.328639
-1.0,13,6.373217
1.0,10,6.412054
-1.0,11,6.446686
