#{"t_start": 1762595201.5390818, "env_id": "None"}
r,l,t
-1.0,13,2.171541
-1.0,6,2.189901
-1.0,11,2.216921
-1.0,8,2.236561
-1.0,14,2.281129
1.0,6,2.291451
-1.0,9,2.316964
-1.0,9,2.353218
1.0,8,2.394958
-1.0,9,2.420667
1.0,14,2.451894
1.0,8,2.470078
-1.0,11,2.504571
-1.0,12,2.541944
-1.0,8,2.571239
1.0,17,2.626169
-1.0,11,2.652705
1.0,14,2.692333
-1.0,5,2.703835
1.0,13,2.73433
-1.0,9,2.771927
-1.0,14,2.825111
1.0,11,2.862641
-1.0,12,2.898262
-1.0,11,2.930586
-1.0,6,2.962034
-1.0,16,3.034808
1.0,6,3.06448
-1.0,17,3.125538
-1.0,8,3.151341
-1.0,13,3.180081
-1.0,10,3.209607
1.0,9,3.239027
1.0,11,3.260943
-1.0,14,3.291931
-1.0,13,3.325106
-1.0,5,3.3385
-1.0,10,3.36647
1.0,9,3.393743
-1.0,5,3.418738
-1.0,16,3.4872
-1.0,12,3.525891
1.0,13,3.566882
-1.0,13,3.622192
1.0,6,3.660411
1.0,14,3.730481
-1.0,11,3.76995
-1.0,10,3.825038
-1.0,14,3.898697
-1.0,8,3.929883
-1.0,5,3.949374
1.0,9,3.985048
-1.0,11,4.027257
1.0,12,4.053247
-1.0,10,4.097156
1.0,5,4.117127
-1.0,9,4.150924
1.0,8,4.182393
-1.0,12,4.212413
1.0,11,4.236088
1.0,8,4.256226
1.0,7,4.270687
-1.0,5,4.282436
1.0,8,4.303109
1.0,11,4.34832
-1.0,10,4.382133
1.0,7,4.418149
-1.0,9,4.451729
-1.0,9,4.476521
1.0,14,4.506257
1.0,8,4.522455
-1.0,7,4.54144
1.0,7,4.564286
1.0,11,4.596657
-1.0,17,4.632378
-1.0,16,4.68005
1.0,7,4.700659
-1.0,16,4.775666
1.0,12,4.798686
1.0,10,4.818796
1.0,13,4.858368
-1.0,9,4.896564
-1.0,10,4.931527
1.0,10,4.95628
-1.0,9,4.983679
-1.0,12,5.017521
-1.0,14,5.065023
1.0,7,5.077545
1.0,9,5.110157
1.0,12,5.148718
1.0,12,5.19089
-1.0,11,5.225656
1.0,11,5.254754
-1.0,16,5.286324
-1.0,8,5.3021
1.0,10,5.325083
-1.0,8,5.347312
-1.0,6,5.425213
-1.0,6,5.44282
1.0,6,5.460664
1.0,8,5.487519
1.0,14,5.529909
1.0,11,5.561759
-1.0,15,5.605188
-1.0,6,5.630014
-1.0,9,5.664435
1.0,9,5.690438
-1.0,14,5.726732
-1.0,11,5.764068
1.0,5,5.777416
1.0,9,5.805677
1.0,6,5.821853
-1.0,10,5.854041
1.0,10,5.878131
-1.0,11,5.905689
1.0,8,5.926291
-1.0,10,5.961504
1.0,12,5.997251
-1.0,13,6.038035
-1.0,13,6.075957
1.0,7,6.231046
-1.0,13,6.268435
1.0,9,6.293541
-1.0,15,6.341597
1.0,8,6.367677
-1.0,15,6.408108
-1.0,16,6.468235
1.0,15,6.523126
1.0,8,6.555034
1.0,5,6.574239
1.0,14,6.622488
1.0,11,6.670545
1.0,6,6.691664
1.0,8,6.721303
-1.0,12,6.762634
-1.0,9,6.799369
1.0,15,6.858959
1.0,11,6.900047
-1.0,7,6.926728
-1.0,13,6.96648
1.0,11,7.011166
1.0,13,7.055309
-1.0,4,7.07009
1.0,10,7.106144
1.0,15,7.153683
1.0,8,7.178691
1.0,8,7.208303
1.0,14,7.25434
1.0,8,7.287333
-1.0,5,7.305313
1.0,8,7.337625
1.0,7,7.364648
-1.0,12,7.419722
-1.0,11,7.499695
1.0,13,7.561813
1.0,13,7.611599
1.0,11,7.659846
1.0,12,7.704011
1.0,9,7.733903
-1.0,11,7.781157
-1.0,5,7.80186
1.0,16,7.860188
-1.0,10,7.960917
1.0,11,8.018378
1.0,9,8.07139
1.0,12,8.122351
1.0,11,8.16563
-1.0,9,8.206401
1.0,6,8.233302
-1.0,11,8.283403
1.0,13,8.340652
1.0,12,8.384657
-1.0,10,8.458294
-1.0,10,8.503697
1.0,8,8.535598
1.0,6,8.559738
-1.0,8,8.595918
-1.0,15,8.647223
1.0,9,8.680406
1.0,8,8.722987
1.0,14,8.787621
-1.0,9,8.821367
1.0,10,8.858648
-1.0,11,8.901768
-1.0,15,8.955171
-1.0,18,9.024896
-1.0,9,9.061572
1.0,16,9.11848
1.0,13,9.168448
1.0,6,9.192958
1.0,7,9.216921
1.0,12,9.261873
-1.0,6,9.28412
1.0,6,9.308362
1.0,10,9.342563
1.0,6,9.364312
-1.0,13,9.417407
-1.0,10,9.45283
1.0,10,9.487357
1.0,10,9.522078
-1.0,5,9.550269
1.0,7,9.578299
-1.0,9,9.613516
1.0,10,9.650465
-1.0,6,9.681683
-1.0,17,9.743668
1.0,12,9.784284
1.0,4,9.800728
-1.0,8,9.830838
-1.0,14,9.875646
-1.0,11,9.914685
-1.0,9,9.943724
-1.0,10,9.991435
1.0,13,10.036712
-1.0,14,10.081704
1.0,13,10.127741
1.0,12,10.169046
1.0,10,10.196953
1.0,5,10.215938
1.0,7,10.237521
-1.0,12,10.287489
1.0,12,10.331765
-1.0,8,10.358892
-1.0,12,10.440766
-1.0,12,10.505579
1.0,8,10.545172
-1.0,10,10.590233
-1.0,10,10.624064
1.0,7,10.653031
1.0,13,10.695302
1.0,13,10.757266
1.0,10,10.796533
-1.0,11,10.834921
1.0,16,10.89007
-1.0,8,10.916922
1.0,12,10.954599
-1.0,12,11.000389
-1.0,17,11.048527
1.0,7,11.066753
-1.0,17,11.113702
-1.0,8,11.138436
1.0,12,11.171094
-1.0,10,11.208893
-1.0,12,11.247225
-1.0,15,11.295718
-1.0,14,11.335835
1.0,5,11.349533
-1.0,8,11.374326
-1.0,12,11.418009
1.0,4,11.429677
-1.0,10,11.465972
-1.0,8,11.48654
1.0,5,11.504737
-1.0,12,11.548321
-1.0,12,11.591841
1.0,6,11.605993
-1.0,16,11.657298
-1.0,4,11.670122
1.0,10,11.705411
-1.0,16,11.747548
1.0,6,11.765469
1.0,8,11.789759
-1.0,13,11.82912
-1.0,12,11.866154
-1.0,11,11.908744
-1.0,8,11.93417
-1.0,15,11.985883
1.0,7,12.012391
-1.0,9,12.05153
1.0,12,12.095239
-1.0,12,12.136199
1.0,8,12.165617
