#{"t_start": 1762602693.5494466, "env_id": "None"}
r,l,t
0.54,13,1.436483
-0.31,6,1.446986
-0.04,11,1.461114
-0.23,8,1.472983
0.84,14,1.496965
1.99,6,1.505881
0.28,9,1.522168
-0.64,9,1.539429
2.18,8,1.55319
-0.75,9,1.567282
3.06,14,1.586628
2.08,8,1.598259
0.35,11,1.613427
0.77,12,1.630932
-0.85,8,1.643504
3.33,17,1.666714
0.27,11,1.683554
2.04,14,1.70025
-0.82,5,1.708717
1.72,13,1.723687
-0.54,9,1.736195
1.36,14,1.754797
2.07,11,1.770464
-0.27,12,1.786798
-0.25,11,1.805108
-0.94,6,1.815282
0.75,16,1.834982
1.58,6,1.844225
0.82,17,1.871928
-0.74,8,1.88502
0.54,13,1.907081
0.17,10,1.922003
1.87,9,1.939846
2.67,11,1.953211
0.45,14,1.975123
0.25,13,1.993875
-0.82,5,2.002219
0.47,10,2.016781
2.39,9,2.028153
-0.52,5,2.034882
1.06,16,2.060235
-0.45,12,2.075499
2.35,13,2.092441
0.95,13,2.109154
1.79,6,2.117716
2.75,14,2.137307
0.15,11,2.151108
-0.65,10,2.164137
1.04,14,2.184831
-0.33,8,2.19987
-0.52,5,2.207792
1.66,9,2.219997
0.19,11,2.237386
1.62,12,2.251858
0.37,10,2.264293
1.48,5,2.270225
-0.76,9,2.284291
1.56,8,2.295111
0.66,12,2.309876
1.77,11,2.323256
2.48,8,2.334517
1.68,7,2.343906
-0.93,5,2.351321
1.67,8,2.363255
2.88,11,2.379815
-0.24,10,2.393062
1.68,7,2.401871
-0.24,9,2.41435
0.28,9,2.429504
2.74,14,2.445127
1.77,8,2.454646
-0.84,7,2.463762
1.56,7,2.475417
2.15,11,2.491033
1.64,17,2.509881
0.14,16,2.533122
1.57,7,2.545709
0.25,16,2.564918
2.25,12,2.580765
1.65,10,2.597961
2.24,13,2.617818
-0.56,9,2.62852
-0.24,10,2.650818
1.96,10,2.704031
0.18,9,2.719215
0.48,12,2.73429
0.24,14,2.750184
2.08,7,2.761023
2.26,9,2.774879
1.73,12,2.789618
2.26,12,2.804508
0.16,11,2.818655
2.16,11,2.835988
0.33,16,2.857398
-0.33,8,2.868909
2.57,10,2.883979
-0.22,8,2.899267
-0.83,6,2.917928
-0.42,6,2.932907
1.99,6,2.945808
1.78,8,2.965904
2.86,14,2.999641
2.37,11,3.022551
1.54,15,3.057436
-0.83,6,3.073239
1.98,10,3.096379
-0.02,9,3.119071
-0.25,14,3.15182
-0.65,10,3.176602
1.58,5,3.184162
1.66,9,3.203907
1.98,7,3.22016
2.32,15,3.259769
2.76,15,3.296563
-0.65,10,3.322171
-0.2,16,3.355433
-0.55,8,3.375047
1.69,6,3.390008
-0.55,10,3.413737
-0.63,8,3.430575
-0.04,9,3.457549
1.74,12,3.48507
2.09,6,3.499298
1.74,11,3.529819
2.37,11,3.557063
-0.66,11,3.582539
1.97,8,3.602175
1.96,9,3.627296
-0.46,12,3.662494
-0.51,4,3.673894
-0.93,5,3.686763
-0.15,12,3.718735
1.86,10,3.740959
0.76,16,3.780494
-0.06,11,3.808943
2.67,11,3.836491
1.68,7,3.854424
3.18,13,3.882468
1.66,9,3.906354
-0.32,7,3.943105
1.77,9,3.999565
1.49,4,4.0103
0.34,14,4.045688
2.09,7,4.063037
2.57,11,4.087197
0.34,13,4.11657
4.57,16,4.155063
0.03,12,4.179385
1.97,10,4.206994
-0.82,5,4.22409
3.28,13,4.264513
-0.33,10,4.285882
1.46,7,4.307481
0.24,14,4.343182
3.17,13,4.375963
-0.25,12,4.403147
2.12,16,4.447644
0.56,16,4.483906
-0.64,9,4.510041
0.09,7,4.527743
3.16,14,4.602255
-0.92,4,4.620043
1.97,8,4.642345
0.17,11,4.670827
1.83,13,4.697673
1.46,7,4.716403
0.53,16,4.749545
-0.2,16,4.787441
-0.23,9,4.808565
-0.45,10,4.830246
-0.65,9,4.853227
0.38,10,4.880773
1.67,14,4.917727
-0.34,10,4.940605
1.62,16,4.97232
-0.84,7,4.988265
-0.83,6,5.004428
-0.82,5,5.019517
0.16,10,5.046561
0.16,10,5.073089
1.85,12,5.106522
-0.25,11,5.131131
-0.37,14,5.16685
1.58,5,5.179727
2.98,10,5.20311
1.68,7,5.215594
-0.05,13,5.2513
-0.25,10,5.273458
-0.34,9,5.300855
0.25,12,5.327378
-0.42,6,5.345615
2.58,12,5.374437
-0.75,9,5.395536
3.08,11,5.420028
0.85,15,5.460245
1.58,6,5.471943
1.58,6,5.485375
2.57,12,5.512605
-0.64,9,5.53776
1.88,9,5.556824
1.49,4,5.566031
3.66,15,5.604025
1.55,9,5.620674
1.86,10,5.645312
-0.26,12,5.67544
2.67,13,5.702902
-0.34,9,5.72348
1.97,8,5.744197
-0.47,11,5.773671
1.68,7,5.788731
0.45,14,5.821652
-0.57,13,5.852017
2.36,12,5.883862
0.25,12,5.91543
0.36,13,5.94093
1.96,9,5.960546
1.77,9,5.988263
-0.53,6,6.006901
-0.93,5,6.020248
1.86,10,6.03933
1.68,6,6.057893
0.66,11,6.084429
-0.61,6,6.100102
-0.02,9,6.125808
1.68,7,6.147483
-0.36,10,6.176089
1.98,10,6.201891
1.26,13,6.235824
3.06,15,6.275412
-0.65,10,6.302203
2.88,9,6.325532
1.58,6,6.338488
-0.54,7,6.357827
0.02,13,6.385999
1.86,8,6.405728
2.84,15,6.440832
2.79,12,6.466862
1.69,6,6.482607
2.33,14,6.51871
0.34,15,6.555606
0.15,14,6.594452
1.49,4,6.604063
1.67,8,6.623483
-0.95,7,6.64051
-0.43,9,6.662119
2.36,12,6.689187
0.02,14,6.764075
2.68,11,6.792738
-0.83,6,6.80699
-0.2,16,6.847156
1.49,4,6.855915
-0.14,9,6.879703
-0.23,9,6.905224
2.24,13,6.930362
-0.96,8,6.951115
-0.47,11,6.983602
0.14,12,7.019715
1.58,6,7.034091
0.16,12,7.065372
2.37,11,7.092502
3.67,15,7.135329
1.59,5,7.146762
-0.83,6,7.162308
-0.23,9,7.192012
1.66,8,7.21586
-0.03,10,7.242537
1.55,9,7.264546
1.67,8,7.28615
-0.06,13,7.318887
-0.87,10,7.336611
-0.43,7,7.354753
1.77,9,7.375875
2.09,7,7.392569
-0.05,11,7.417833
0.14,13,7.448581
1.56,8,7.468327
1.55,11,7.498138
-0.01,9,7.517354
2.36,13,7.557031
1.47,6,7.573856
-0.44,8,7.59771
-0.24,13,7.634904
-0.53,9,7.657873
2.08,7,7.675736
-0.33,8,7.696001
3.56,14,7.725331
0.14,13,7.758577
-0.67,12,7.793356
1.49,4,7.803974
0.05,14,7.830819
2.26,11,7.85737
-0.27,12,7.886645
-0.76,10,7.91399
-0.73,7,7.934167
0.26,11,7.9639
-0.83,6,7.980114
0.65,12,8.0142
1.52,12,8.043088
0.87,12,8.071798
2.26,17,8.110882
0.63,17,8.154148
-0.54,9,8.173162
0.17,10,8.197151
-0.74,8,8.215084
1.75,11,8.245411
0.44,13,8.276336
-0.74,8,8.29275
0.03,14,8.324813
-0.62,7,8.342441
1.66,9,8.364611
0.29,11,8.394493
1.96,9,8.41833
2.37,11,8.44492
2.88,12,8.469804
-0.22,7,8.488901
-0.68,12,8.521004
1.77,9,8.544186
-0.16,13,8.575328
-0.64,8,8.594822
-0.93,5,8.607641
-0.51,15,8.643633
1.94,13,8.672025
-0.93,5,8.687923
-0.23,9,8.708491
2.26,10,8.729618
0.24,14,8.766216
1.79,7,8.785564
1.68,6,8.799227
1.45,8,8.818658
0.35,13,8.851712
1.67,8,8.873022
0.07,9,8.899571
0.54,13,8.982553
3.96,14,9.017076
1.66,8,9.036532
1.48,5,9.051513
-0.82,5,9.065811
-0.04,11,9.097513
1.69,6,9.112001
1.98,10,9.139427
-0.35,10,9.163736
-0.73,7,9.180182
2.24,11,9.212212
-0.42,6,9.22831
0.78,12,9.265867
0.32,15,9.299015
1.96,9,9.323533
0.94,15,9.35902
3.27,12,9.391748
-0.07,15,9.428892
2.76,11,9.451893
0.54,13,9.483179
-0.27,13,9.515787
2.37,11,9.541816
-1.04,5,9.554528
2.47,11,9.580776
-0.65,10,9.605479
1.49,4,9.614899
2.85,14,9.651203
0.47,12,9.686165
1.04,16,9.725584
0.06,10,9.750578
2.04,13,9.781778
0.46,12,9.810388
-0.25,10,9.840828
0.06,9,9.861851
2.25,13,9.893802
1.48,5,9.906877
0.46,12,9.937975
2.82,19,9.979347
-0.85,8,9.998126
-0.23,9,10.023976
0.07,11,10.052857
-0.14,11,10.082355
-0.54,7,10.101146
0.35,13,10.136948
2.13,13,10.166229
-0.24,10,10.189873
-0.67,11,10.217378
0.46,12,10.243565
2.05,13,10.272402
-0.22,8,10.294533
0.98,11,10.323077
-0.26,12,10.362533
2.84,14,10.399936
-0.86,9,10.431869
-0.22,11,10.482792
-0.44,10,10.522358
-0.26,12,10.556031
-0.57,10,10.583961
0.05,13,10.623162
0.66,12,10.651728
-0.46,12,10.683497
0.03,13,10.72233
2.88,9,10.74329
1.98,7,10.760242
0.89,10,10.790451
-0.51,4,10.80212
1.57,7,10.867271
-0.95,7,10.893705
1.67,8,10.918606
-0.26,12,10.944329
3.25,14,10.976707
-0.34,11,11.006639
1.77,8,11.029556
-0.28,13,11.06032
-0.58,13,11.092166
0.96,13,11.129013
1.76,10,11.154487
0.27,10,11.174849
3.05,17,11.222045
1.36,16,11.260759
2.75,15,11.30805
1.66,9,11.326535
0.13,13,11.3606
0.64,14,11.394758
2.39,7,11.414922
-0.62,7,11.434805
-0.13,10,11.462492
-0.74,8,11.486143
1.57,7,11.503996
1.78,8,11.524627
1.65,9,11.554197
0.25,13,11.5838
-0.06,17,11.620316
-0.82,5,11.63301
3.27,14,11.672854
0.43,13,11.747213
-0.16,12,11.784089
1.15,14,11.822677
2.35,17,11.86606
-0.85,8,11.885053
-0.13,9,11.910401
2.09,7,11.926381
1.67,16,11.967988
1.64,10,11.995523
1.58,6,12.013755
-0.34,12,12.042338
0.57,10,12.064812
0.05,12,12.097834
-0.85,8,12.12432
-0.83,6,12.143182
0.57,11,12.172734
-0.82,5,12.18645
0.27,11,12.220598
-0.54,7,12.235859
0.24,13,12.269123
1.68,7,12.285369
2.27,10,12.308738
1.47,6,12.320333
-0.62,6,12.336953
2.95,13,12.371672
1.78,7,12.392426
1.47,6,12.401721
2.39,10,12.426684
2.17,9,12.45335
-0.63,8,12.478101
-1.06,7,12.495008
0.56,12,12.521876
1.59,5,12.535561
-0.82,5,12.54883
-0.07,15,12.581697
1.49,4,12.589016
1.77,9,12.613964
2.37,10,12.642992
1.75,16,12.683601
1.57,14,12.713992
-0.81,4,12.72352
-0.05,10,12.755587
-0.53,9,12.782634
1.47,6,12.800545
1.88,9,12.824191
0.03,13,12.855221
1.67,8,12.870984
2.26,12,12.897944
2.05,11,12.929083
0.16,12,12.95649
2.06,11,12.985921
2.47,10,13.006891
2.46,11,13.036692
