#{"t_start": 1762602997.8990164, "env_id": "None"}
r,l,t
-0.31,6,0.07932
-0.92,4,0.095493
-0.42,6,0.118371
-0.24,10,0.153063
-0.92,4,0.168144
2.79,10,0.2007
-0.52,5,0.223614
1.47,6,0.24313
-0.48,14,0.292538
1.69,6,0.306308
-0.31,6,0.32542
0.14,12,0.359459
-0.71,5,0.37752
-0.51,4,0.391622
-0.02,7,0.412832
-0.51,4,0.424277
1.36,13,0.459904
-0.82,5,0.472637
-0.51,4,0.539806
1.49,4,0.552759
-0.92,4,0.565029
-0.04,9,0.588937
1.49,4,0.602355
-0.93,5,0.620467
-0.32,6,0.64044
2.84,17,0.680089
1.29,10,0.716706
-0.81,4,0.729995
-0.72,6,0.748874
-0.51,4,0.763072
0.07,9,0.799703
-0.92,4,0.814302
-0.82,5,0.829965
0.18,9,0.859587
-0.52,5,0.876278
-0.51,4,0.88932
-0.32,7,0.90992
-0.42,6,0.931941
0.46,10,0.963618
-0.51,4,0.974091
-0.83,6,0.993393
-0.11,5,1.009372
-0.92,4,1.024265
-0.82,5,1.038943
-0.81,4,1.050055
-0.43,7,1.074852
-0.81,4,1.085725
-0.51,4,1.098252
-0.51,4,1.109972
-0.51,4,1.122008
1.48,5,1.138699
-0.01,6,1.157352
1.56,8,1.177411
-0.21,7,1.199197
1.96,11,1.236828
-0.81,4,1.249122
2.18,9,1.277647
-0.21,7,1.302804
-0.31,6,1.322082
2.35,13,1.360604
-0.02,7,1.383729
1.59,5,1.400333
-0.82,5,1.416445
-0.41,5,1.430227
-0.31,6,1.450657
2.98,11,1.483338
-0.72,6,1.505289
0.19,8,1.533026
-0.71,5,1.549408
2.18,8,1.570785
0.03,14,1.613561
-0.34,9,1.636223
-0.33,8,1.660099
-0.03,8,1.681971
-0.44,7,1.709261
2.49,8,1.734589
-0.22,8,1.764168
-0.33,8,1.786987
0.17,10,1.822153
-0.83,6,1.845157
0.46,11,1.880373
-0.93,5,1.8943
-0.32,7,1.920139
1.55,9,1.949286
-0.92,4,1.962884
2.19,8,1.989359
-0.12,9,2.015822
-0.83,6,2.033676
0.16,11,2.063033
-0.72,6,2.080018
-0.33,8,2.105337
-0.32,7,2.124191
0.44,16,2.173136
2.29,8,2.198227
1.76,10,2.22672
-0.93,5,2.239794
-0.81,4,2.251879
-0.52,8,2.279228
-0.62,7,2.300606
-0.92,4,2.311217
