#{"t_start": 1762611733.3091722, "env_id": "None"}
r,l,t
-0.59,12,0.19892
1.12,6,0.262465
-0.94,13,0.380815
-0.98,5,0.421341
-0.86,4,0.44361
-0.97,4,0.4619
1.28,7,0.516909
-0.9,8,0.591441
1.18,6,0.651333
-0.82,6,0.70552
-0.79,6,0.763487
-0.92,5,0.813567
1.24,6,0.865513
-0.97,4,0.888454
1.13,5,0.914404
-0.74,9,0.963486
-0.89,5,0.985576
-0.43,12,1.028126
-0.86,4,1.042796
-1.06,7,1.074135
1.14,4,1.088201
1.14,4,1.103822
-0.74,6,1.125805
-0.83,10,1.191306
1.18,6,1.235069
1.72,14,1.301115
1.14,4,1.320753
-0.83,7,1.351141
1.11,7,1.407089
-0.63,9,1.465786
1.27,9,1.529235
-0.98,5,1.548415
-0.97,4,1.562868
-0.86,5,1.580008
-0.78,7,1.60635
-0.91,4,1.623365
1.3,8,1.65541
-0.72,8,1.68955
-0.77,7,1.717808
-0.74,12,1.771003
-0.83,7,1.795803
-0.74,9,1.831444
-0.91,4,1.845299
1.27,8,1.872153
-0.99,6,1.893044
-0.93,6,1.917387
1.33,8,1.946891
-0.77,7,1.979143
1.44,9,2.013758
-0.87,5,2.031091
-0.76,6,2.070371
-0.82,9,2.158469
-0.81,8,2.233639
-0.91,4,2.269639
-0.88,9,2.356339
-0.7,12,2.44603
-0.58,11,2.486678
-0.89,8,2.514752
-0.74,10,2.545796
-0.78,8,2.586315
-0.93,6,2.609224
-0.78,8,2.647748
-0.93,6,2.692405
-0.86,4,2.720003
1.32,10,2.762643
-0.92,5,2.800418
-0.83,7,2.870487
-0.83,7,2.927454
1.55,14,3.022614
1.14,4,3.040279
-0.86,4,3.060385
-0.9,9,3.1034
1.28,7,3.126789
-0.32,13,3.176713
-0.97,4,3.194444
-0.97,4,3.214446
-0.76,8,3.265557
-0.97,4,3.281851
-0.97,4,3.296448
-0.91,10,3.34852
-0.97,4,3.365978
-0.83,7,3.392229
-0.98,5,3.40978
1.14,13,3.463268
-0.91,4,3.485276
1.2,10,3.552674
1.28,8,3.605253
-0.83,7,3.636379
-0.74,6,3.661049
-0.59,11,3.699918
-0.78,8,3.755611
-0.74,9,3.841011
-0.4,11,3.881623
-0.9,9,3.930055
-0.84,11,3.977627
-0.83,8,4.034793
-0.92,5,4.082335
-0.65,9,4.166045
-0.91,4,4.206185
1.38,11,4.308604
1.2,7,4.339354
-0.66,9,4.37516
-0.93,6,4.400557
-0.76,12,4.458135
-0.97,4,4.495359
-0.81,5,4.548598
1.21,9,4.599808
-0.98,5,4.623094
-0.87,5,4.642298
-0.97,4,4.669647
-0.85,9,4.744494
-0.81,7,4.813319
-0.91,4,4.840382
-0.91,4,4.871591
-0.91,7,4.92071
-0.8,7,4.972653
-0.85,9,5.007893
-0.71,7,5.045623
-1.03,4,5.064237
-0.95,8,5.099171
1.22,8,5.129344
-0.88,6,5.152749
-0.85,7,5.18053
-0.97,4,5.200031
-0.58,10,5.259905
-0.75,11,5.32781
1.44,9,5.357425
-0.91,4,5.375358
-0.88,7,5.40592
-0.97,4,5.424028
-0.73,8,5.470298
1.32,14,5.590326
-0.8,7,5.657294
-0.67,14,5.741853
-0.63,9,5.829726
1.23,9,5.900048
-0.64,10,5.968208
-0.78,8,6.053975
1.23,7,6.117007
-0.94,10,6.170237
-0.76,6,6.228976
-0.8,7,6.297074
1.21,9,6.366317
-0.91,4,6.392416
1.16,5,6.430651
-0.87,6,6.494446
-0.98,5,6.536245
1.19,8,6.610699
-0.5,11,6.685332
1.24,6,6.706086
-0.92,5,6.725835
-0.62,9,6.787215
-0.94,4,6.822973
-0.79,9,6.902572
-0.81,6,6.927965
1.29,9,7.002572
-0.91,4,7.038002
1.14,4,7.069495
1.21,6,7.115248
-0.84,8,7.156927
1.37,10,7.234081
1.36,7,7.275764
1.42,11,7.348896
1.24,6,7.386718
1.14,4,7.411801
-0.92,5,7.456852
-0.74,9,7.54516
-0.74,7,7.623636
1.32,8,7.664228
-0.82,6,7.686965
-0.97,4,7.70414
1.12,6,7.731685
-0.7,12,7.798897
-0.86,7,7.853957
-0.71,10,7.91187
-0.43,13,7.97796
-0.93,9,8.035608
-0.92,5,8.054783
-0.83,7,8.085627
-0.77,6,8.114877
1.29,6,8.138849
-0.87,6,8.166274
-0.97,4,8.184182
1.18,6,8.217756
-0.86,4,8.234379
-0.62,9,8.266573
-0.95,5,8.290287
-0.86,4,8.323641
1.14,4,8.351893
-0.79,5,8.381845
-0.8,7,8.411586
-0.92,5,8.435876
-0.88,6,8.463944
-0.92,8,8.504858
-0.61,10,8.559546
1.16,8,8.601112
-0.81,6,8.627596
1.4,10,8.66623
-0.64,11,8.736465
1.17,7,8.796613
-0.96,6,8.838165
-0.8,10,8.925424
1.22,8,8.996381
-0.93,6,9.04751
-0.98,5,9.102191
-0.94,7,9.159757
1.14,4,9.181513
-0.94,7,9.250352
