#{"t_start": 1762627591.9639204, "env_id": "None"}
r,l,t
-0.4,11,0.076068
-0.63,10,0.107875
-0.68,9,0.134914
1.14,4,0.144464
-0.46,12,0.179591
-0.57,9,0.203708
-0.32,12,0.241586
1.29,6,0.25765
1.19,5,0.274226
-0.67,8,0.29853
-0.58,10,0.322804
-0.71,6,0.339394
-0.61,10,0.37052
-0.58,10,0.395567
-0.68,9,0.423869
-0.57,9,0.455279
-0.76,6,0.475026
1.19,5,0.488757
-0.66,7,0.513577
-0.57,9,0.542371
-0.57,10,0.573961
-0.73,8,0.602082
1.29,6,0.62187
-0.57,10,0.658333
-0.57,9,0.688876
-0.52,10,0.715612
-0.73,8,0.738025
-0.67,8,0.754661
-0.58,10,0.781717
-0.67,8,0.801169
-0.67,8,0.822335
-0.78,8,0.84846
-0.74,9,0.873618
-0.76,6,0.893305
-0.59,8,0.918984
-0.65,11,0.955901
1.14,4,0.967038
1.29,6,0.985463
-0.78,8,1.013497
-0.81,5,1.031949
-0.67,8,1.057835
-0.67,8,1.083242
-0.42,10,1.119884
-0.67,8,1.148273
-0.71,7,1.173825
1.14,4,1.186962
-0.62,9,1.220333
-0.67,8,1.255718
-0.61,8,1.278239
1.29,6,1.364056
-0.67,10,1.394841
-0.74,9,1.41898
-0.78,8,1.442973
1.29,6,1.461992
-0.56,8,1.489855
1.14,4,1.502516
1.14,4,1.513476
-0.69,10,1.53811
-0.32,12,1.57567
-0.67,8,1.602078
-0.83,7,1.620556
-0.64,10,1.649979
-0.59,8,1.673842
-0.67,8,1.702439
1.14,4,1.713978
1.19,5,1.726876
1.14,4,1.739449
1.14,4,1.751404
1.43,9,1.775609
-0.84,8,1.799404
1.19,5,1.815336
-0.68,9,1.83946
1.44,8,1.860504
1.29,6,1.880525
-0.81,5,1.898134
-0.72,7,1.920406
-0.52,10,1.949902
-0.68,9,1.974399
1.14,4,1.985874
1.29,6,2.004231
-0.66,7,2.025546
1.33,8,2.052276
-0.63,9,2.080908
-0.83,7,2.097404
1.29,7,2.11882
-0.57,10,2.150223
-0.58,10,2.175099
-0.81,5,2.191796
-0.81,5,2.208117
-0.67,8,2.232635
-0.57,9,2.26386
-0.74,10,2.29477
1.49,9,2.318187
-0.42,11,2.352819
-0.6,9,2.376573
-0.84,8,2.400822
-0.57,9,2.43005
-0.68,9,2.455237
-0.71,10,2.484738
1.29,6,2.499749
-0.68,9,2.521243
-0.64,11,2.550181
-0.77,7,2.575777
1.29,6,2.596641
-0.71,6,2.617737
-0.34,10,2.652225
-0.57,9,2.732505
-0.42,11,2.768701
1.14,4,2.778994
-0.62,9,2.80344
-0.49,9,2.834772
-0.81,5,2.852014
-0.61,11,2.881064
-0.43,12,2.914109
-0.66,7,2.933398
1.14,4,2.946631
-0.57,9,2.97499
-0.59,11,3.003698
-0.73,8,3.027057
-0.72,10,3.054983
-0.53,11,3.086425
-0.55,10,3.117343
-0.67,8,3.140463
-0.82,6,3.16081
-0.73,8,3.18558
-0.56,9,3.214881
1.14,4,3.227256
-0.57,11,3.265476
-0.71,7,3.286977
1.29,6,3.305168
-0.63,13,3.343072
-0.61,8,3.36934
-0.67,8,3.392313
1.14,4,3.401752
-0.67,8,3.425218
-0.57,11,3.459709
-0.83,7,3.480886
-0.47,10,3.514644
-0.62,9,3.538075
-0.47,10,3.570013
-0.58,10,3.605215
1.49,9,3.639876
1.14,4,3.653199
-0.71,6,3.670311
-0.65,8,3.6943
-0.54,12,3.733876
1.14,4,3.747219
-0.71,7,3.767727
-0.67,8,3.789706
1.14,4,3.802859
-0.74,10,3.831319
1.14,4,3.842571
1.14,4,3.855064
1.31,10,3.889077
-0.69,10,3.920358
1.55,11,3.953614
-0.66,7,3.970841
-0.5,11,3.998136
-0.83,7,4.017868
-0.25,12,4.056098
-0.66,7,4.07562
1.29,6,4.092782
-0.85,9,4.114972
-0.57,9,4.141642
1.14,4,4.153428
-0.7,8,4.178823
-0.63,10,4.20851
-0.65,8,4.230834
-0.83,7,4.252646
-0.66,7,4.276058
-0.67,8,4.294254
-0.73,8,4.311725
-0.67,8,4.332697
-0.68,9,4.356672
-0.62,9,4.380624
1.29,6,4.396886
-0.52,10,4.427306
-0.66,7,4.450666
-0.72,7,4.471905
-0.6,9,4.498797
-0.53,11,4.534598
1.14,4,4.546398
-0.66,7,4.567724
-0.77,7,4.586354
-0.73,8,4.610399
1.29,6,4.625101
1.29,6,4.643905
-0.58,11,4.678554
-0.67,8,4.70441
-0.46,10,4.735993
-0.73,9,4.763902
-0.57,10,4.794888
-0.73,8,4.818525
1.14,4,4.832259
-0.63,9,4.859244
-0.81,5,4.871566
-0.67,8,4.896169
-0.72,8,4.921326
-0.67,8,4.949312
-0.69,10,4.980829
1.64,10,5.015532
-0.66,7,5.037709
-0.56,8,5.064726
-0.67,8,5.087348
-0.23,12,5.124267
-0.67,8,5.147737
1.14,4,5.159664
-0.67,8,5.180146
-0.73,8,5.199137
-0.7,8,5.225586
-0.67,8,5.250639
-0.4,12,5.291816
1.14,4,5.304469
-0.53,11,5.337422
-0.73,8,5.362252
-0.57,12,5.399919
-0.52,10,5.431054
1.14,4,5.443161
-0.78,8,5.466392
-0.52,10,5.496327
-0.65,9,5.525369
1.29,6,5.540473
1.14,4,5.553246
-0.81,5,5.570667
1.49,9,5.596352
-0.69,10,5.627191
1.14,4,5.639276
1.14,4,5.651818
-0.6,9,5.719191
-0.84,8,5.754395
-0.54,9,5.784109
1.14,4,5.795573
1.19,5,5.811488
-0.46,11,5.845582
-0.67,8,5.866413
-0.64,7,5.884511
-0.65,8,5.910376
-0.62,9,5.936312
-0.67,8,5.963839
-0.67,8,5.987752
-0.49,14,6.029193
-0.78,8,6.053941
-0.83,7,6.079922
1.19,5,6.096522
-0.81,5,6.112284
-0.59,8,6.133127
1.14,4,6.145531
-0.66,7,6.1694
-0.67,8,6.192949
-0.81,5,6.205765
-0.81,5,6.222733
-0.35,11,6.260677
-0.79,9,6.287287
-0.67,8,6.30712
