#{"t_start": 1762609778.0620558, "env_id": "None"}
r,l,t
-0.72,11,0.098608
-0.49,10,0.142998
1.45,10,0.173509
-0.75,14,0.222179
-0.58,10,0.32598
1.57,16,0.408133
-0.56,8,0.440051
-0.45,11,0.488181
-0.63,12,0.535466
1.76,15,0.592741
-0.85,9,0.627459
-0.48,11,0.669217
-0.62,10,0.713668
-0.68,12,0.763669
-0.46,18,0.821063
-0.48,11,0.858698
-0.74,10,0.901119
-0.42,12,0.944036
0.85,21,1.010145
-0.72,8,1.034101
-0.77,11,1.067812
-0.62,11,1.101085
-0.66,10,1.136528
-0.84,11,1.173341
1.3,12,1.213946
-0.8,13,1.274016
1.54,10,1.328355
1.57,14,1.383314
1.28,11,1.422812
1.14,4,1.439224
-0.47,13,1.55896
-0.66,17,1.636094
-0.42,14,1.693937
-0.65,9,1.733391
-0.62,12,1.77996
-0.77,7,1.808809
1.44,11,1.850646
-0.41,12,1.890719
-0.55,10,1.927311
-0.7,9,1.957611
-0.72,16,2.005389
-0.72,10,2.046729
-0.53,15,2.101331
-0.62,11,2.135983
-0.35,16,2.187557
-0.68,12,2.225332
1.29,6,2.245534
1.53,10,2.278653
-0.31,15,2.332366
-0.55,15,2.384401
-0.78,8,2.412524
-0.84,11,2.449265
1.39,8,2.474486
-0.1,15,2.54433
-0.54,16,2.620771
-0.72,11,2.675653
-0.83,7,2.712127
-0.83,7,2.743088
-0.88,7,2.761312
-0.9,11,2.793865
-0.62,12,2.844895
-0.49,17,2.906429
-0.68,15,2.947242
-0.47,14,2.986571
-0.5,20,3.045805
1.6,11,3.080349
-0.44,12,3.118584
-0.6,9,3.150377
-0.61,16,3.208978
-0.72,8,3.237455
-0.32,16,3.285109
-0.5,11,3.325497
-0.65,10,3.388572
1.43,9,3.458573
-0.68,9,3.491423
-0.41,15,3.549079
-0.35,12,3.583184
1.36,9,3.613109
-0.4,14,3.663664
-0.76,12,3.72403
-0.76,9,3.778235
-0.45,10,3.827893
-0.56,11,3.86328
-0.63,13,3.911853
1.25,8,3.937097
-0.68,9,3.968347
1.27,11,4.005786
-0.49,10,4.04412
1.45,11,4.084682
1.44,14,4.133842
-0.77,10,4.170866
-0.42,14,4.216018
1.49,14,4.263831
1.6,11,4.307001
-0.54,11,4.361094
-0.4,11,4.416389
-0.59,14,4.47822
-0.6,10,4.527532
-0.65,14,4.581007
-0.38,17,4.642776
-0.75,17,4.710503
-0.38,17,4.775946
-0.63,10,4.814368
1.67,16,4.931677
1.74,16,4.982104
1.28,11,5.014518
1.43,11,5.049865
-0.73,12,5.092341
1.68,15,5.141795
-0.64,11,5.177757
-0.09,18,5.230643
1.43,12,5.270402
-0.86,10,5.306077
-0.78,8,5.337217
-0.66,9,5.368013
-0.25,15,5.423901
-0.46,14,5.461377
1.28,10,5.497578
-0.56,11,5.535662
1.51,12,5.580581
-0.18,14,5.629623
1.59,12,5.680162
-0.91,7,5.700754
1.06,7,5.727062
-0.6,16,5.776569
-0.43,14,5.825618
-0.51,9,5.856429
-0.68,12,5.897528
-0.71,9,5.93334
1.68,12,5.976471
-0.1,16,6.035541
-0.42,12,6.078337
-0.45,12,6.120407
-0.54,13,6.160193
1.27,10,6.188179
-0.44,13,6.229749
-0.06,21,6.288022
-0.56,11,6.322992
-0.58,15,6.364142
-0.91,16,6.474471
-0.69,7,6.499419
-0.82,6,6.522325
1.4,9,6.547652
1.51,10,6.581671
-0.47,19,6.641792
1.75,17,6.696664
1.53,10,6.729879
1.4,13,6.766561
1.6,11,6.804528
-0.04,20,6.859538
-0.56,12,6.897135
1.16,5,6.913875
-0.7,8,6.941788
-0.74,9,6.967192
-0.83,7,6.98744
-0.61,11,7.024769
-0.67,17,7.067894
1.4,11,7.110314
-0.45,15,7.169395
1.51,16,7.215892
-0.62,12,7.257249
1.69,15,7.29919
1.43,12,7.371176
1.5,13,7.425328
-0.64,11,7.456388
-0.74,10,7.491394
-0.8,7,7.513757
-0.34,17,7.574127
-0.7,8,7.59842
-0.72,10,7.641531
1.57,15,7.69843
1.3,8,7.738396
1.32,11,7.779736
1.63,15,7.842264
1.37,12,7.885983
-0.42,15,7.927099
-0.79,9,7.960296
-0.61,11,7.990686
-0.83,7,8.009799
-0.56,8,8.036273
1.24,9,8.063913
-0.75,13,8.118794
-0.73,12,8.156567
1.36,10,8.190935
-0.46,11,8.230323
-0.58,11,8.272657
-0.66,12,8.314093
1.61,14,8.358731
-0.75,10,8.396436
-0.48,14,8.440717
-0.32,16,8.491735
-0.36,17,8.548575
-0.92,8,8.578236
1.66,16,8.629866
-0.56,12,8.672452
-0.25,15,8.720123
1.25,10,8.754857
-0.74,7,8.780783
-0.42,14,8.831978
-0.8,10,8.86352
-0.48,13,8.912941
1.55,10,8.947325
-0.45,17,9.000928
-0.23,17,9.056336
-0.39,15,9.10585
-0.4,19,9.229749
-0.26,14,9.279335
-0.76,8,9.321946
-0.77,9,9.368615
1.45,10,9.510626
-0.42,16,9.611442
-0.49,14,9.675922
-0.48,11,9.711545
-0.64,11,9.752585
-0.32,16,9.835795
-0.6,9,9.882897
-0.25,14,9.938362
1.62,12,9.984558
-0.29,11,10.025154
-0.5,11,10.119954
-0.34,15,10.184568
-0.46,11,10.230072
-0.82,6,10.253867
-0.38,12,10.29644
-0.61,10,10.325623
1.48,13,10.372492
-0.64,8,10.398802
1.3,8,10.43058
-0.44,14,10.481841
-0.27,14,10.52327
-0.26,17,10.580892
-0.49,15,10.631057
1.47,12,10.669198
-0.68,10,10.70492
1.34,10,10.735566
1.57,12,10.774623
-0.68,10,10.808815
-0.74,12,10.853162
-0.59,12,10.889023
-0.66,12,10.921555
-0.43,12,10.966529
-0.7,10,10.999814
-0.53,13,11.040025
-0.54,10,11.071116
-0.53,11,11.117554
-0.79,9,11.158198
-0.44,13,11.212843
-0.64,9,11.266261
-0.8,10,11.319492
-0.66,12,11.396235
-0.71,7,11.455084
-0.48,13,11.507431
1.47,12,11.548593
-0.14,18,11.601925
-0.56,9,11.632324
-0.63,13,11.673031
-0.6,9,11.708871
-0.51,15,11.771333
-0.75,11,11.874162
1.63,12,11.931817
1.3,13,11.967956
1.44,13,12.005809
-0.8,9,12.039796
1.47,11,12.078737
-0.6,9,12.140186
-0.48,16,12.201925
-0.62,18,12.255236
-0.58,11,12.29036
-0.46,14,12.339054
-0.49,10,12.374967
1.48,13,12.409895
-0.7,11,12.456011
-0.61,11,12.508349
-0.67,11,12.554874
1.62,12,12.611295
-0.51,12,12.652086
-0.62,9,12.68696
-0.45,12,12.727548
-0.81,5,12.743919
-0.66,15,12.792524
-0.52,13,12.833172
-0.48,12,12.87862
-0.47,10,12.91596
-0.5,13,12.966619
-0.41,14,13.010218
-0.48,14,13.059167
-0.62,12,13.105033
-0.45,13,13.143995
-0.27,15,13.190047
-0.66,11,13.227181
1.45,13,13.273088
-0.83,7,13.291646
1.68,12,13.332919
-0.7,8,13.359227
-0.59,14,13.413714
-0.32,15,13.466428
-0.15,19,13.521181
-0.55,11,13.627243
1.48,11,13.669307
-0.74,12,13.709985
-0.43,12,13.751293
-0.82,9,13.790745
1.43,10,13.826109
1.51,12,13.870584
-0.66,15,13.918271
-0.62,9,13.961448
-0.68,10,14.013423
1.54,12,14.076278
1.55,14,14.140869
-0.31,14,14.1793
1.83,12,14.225348
-0.52,11,14.273482
-0.6,9,14.307904
-0.49,10,14.350176
-0.63,10,14.384019
-0.2,17,14.442004
-0.44,13,14.498042
1.14,4,14.514641
-0.09,18,14.571635
-0.28,14,14.621064
1.68,15,14.67068
-0.55,11,14.714909
-0.43,15,14.763352
-0.79,9,14.861044
1.39,8,14.885957
-0.64,12,14.936135
-0.22,16,14.985471
-0.57,14,15.033807
-0.49,9,15.067338
-0.64,10,15.104646
1.5,11,15.139626
-0.38,14,15.186729
-0.67,9,15.219884
-0.46,13,15.263741
-0.48,14,15.306989
1.58,11,15.344761
1.6,12,15.389306
-0.52,13,15.439003
-0.62,11,15.474921
-0.15,15,15.530266
1.72,17,15.584124
-0.73,11,15.624648
-0.77,7,15.647904
-0.64,11,15.688525
-0.42,14,15.727592
-0.55,14,15.772976
-0.49,10,15.805551
-0.54,12,15.844132
-0.6,8,15.870709
