#{"t_start": 1762608887.7912872, "env_id": "None"}
r,l,t
-0.67,13,1.480877
-0.79,6,1.490093
-0.73,11,1.504251
-0.76,8,1.515019
-0.6,14,1.540603
1.29,6,1.549761
-0.65,9,1.562143
-0.9,9,1.572665
1.35,8,1.586132
-0.96,9,1.598172
1.56,14,1.616021
1.33,8,1.626842
-0.75,11,1.641258
-0.51,12,1.657294
-0.95,8,1.66908
1.54,17,1.693059
-0.61,11,1.708502
1.3,14,1.728791
-0.92,5,1.735739
1.17,13,1.750511
-0.82,9,1.763834
-0.48,14,1.780849
1.36,11,1.793906
-0.85,12,1.808411
-0.81,11,1.825657
-0.99,6,1.834473
-0.49,16,1.853642
1.18,6,1.862158
-0.52,17,1.885371
-0.89,8,1.897828
-0.72,13,1.913809
-0.68,10,1.927629
1.26,9,1.940195
1.46,11,1.953787
-0.69,14,1.970694
-0.68,13,1.985621
-0.98,5,1.995626
-0.6,10,2.00962
1.46,9,2.022239
-0.87,5,2.031294
-0.49,16,2.052867
-0.78,12,2.068266
1.39,13,2.084489
-0.55,13,2.100608
1.26,6,2.111012
1.41,14,2.129777
-0.78,11,2.145057
-0.88,10,2.15812
-0.51,14,2.176624
-0.81,8,2.187365
-0.87,5,2.195183
1.18,9,2.206572
-0.57,11,2.226295
1.14,12,2.241079
-0.59,10,2.254651
1.13,5,2.261035
-0.94,9,2.274492
1.16,8,2.286009
-0.54,12,2.301779
1.31,11,2.31476
1.38,8,2.326195
1.23,7,2.335133
-0.98,5,2.343411
1.22,8,2.353713
1.54,11,2.370849
-0.74,10,2.384938
1.23,7,2.393823
-0.82,9,2.405346
-0.63,9,2.421311
1.41,14,2.438905
1.24,8,2.449501
-0.94,7,2.459028
1.13,7,2.469563
1.27,11,2.485673
-0.39,17,2.507047
-0.68,16,2.531114
1.17,7,2.542584
-0.62,16,2.5596
1.37,12,2.574445
1.2,10,2.589324
1.33,13,2.607838
-0.96,9,2.619954
-0.79,10,2.635156
1.3,10,2.650152
-0.65,9,2.665498
-0.5,12,2.68246
-0.72,14,2.700213
1.3,7,2.70895
1.27,9,2.723388
1.17,12,2.743042
1.41,12,2.761291
-0.67,11,2.776313
1.33,11,2.791755
-0.6,16,2.812882
-0.78,8,2.821919
1.44,10,2.836357
-0.75,8,2.850487
-0.93,6,2.869215
-0.82,6,2.88193
1.29,6,2.897664
1.28,8,2.917603
1.52,14,2.949939
1.44,11,2.974872
-0.42,15,3.005087
-0.93,6,3.020752
1.32,10,3.047597
-0.71,9,3.067032
-0.65,14,3.103523
-0.88,10,3.130523
1.15,5,3.142076
1.21,9,3.163842
1.28,7,3.17938
1.33,15,3.216727
1.52,15,3.254057
-0.85,10,3.280377
-0.83,9,3.302304
-0.58,12,3.335381
1.29,6,3.347224
1.52,11,3.371468
-0.9,9,3.388498
1.27,12,3.418027
-0.83,8,3.437781
1.35,11,3.475427
-0.29,14,3.523143
1.27,8,3.543757
-0.69,11,3.566115
1.64,14,3.600872
1.18,9,3.62255
1.75,14,3.651199
1.26,13,3.682162
1.17,7,3.697207
1.48,12,3.721896
1.41,8,3.741901
1.12,9,3.762787
1.13,5,3.772234
-0.85,10,3.794078
-0.46,13,3.827094
1.63,15,3.859617
-0.71,9,3.881973
-0.64,9,3.901722
1.49,13,3.926012
-0.59,13,3.967968
-0.49,18,4.042903
1.33,10,4.066091
1.4,12,4.090898
-0.97,10,4.116258
1.28,8,4.130746
1.26,9,4.1463
1.7,15,4.182618
-1.0,7,4.194717
-0.6,13,4.220269
1.46,12,4.244636
-0.7,14,4.283131
-0.65,14,4.321839
-0.89,11,4.352782
1.36,9,4.370286
-0.78,9,4.391284
-0.65,9,4.409936
-0.91,10,4.433258
-0.79,14,4.468802
-0.72,11,4.495618
1.37,12,4.517976
-0.56,10,4.540882
-0.66,11,4.567584
1.38,14,4.606249
-0.85,9,4.625429
1.4,10,4.645749
1.2,9,4.666421
-0.86,5,4.678327
-0.88,7,4.695743
-0.88,7,4.7133
1.24,9,4.734593
-0.93,9,4.756885
-0.48,16,4.798893
-0.94,7,4.814258
-0.93,6,4.824843
-0.92,5,4.839253
-0.72,10,4.857295
-0.63,10,4.876524
1.33,13,4.898441
-0.6,10,4.917219
-0.78,14,4.945746
1.38,8,4.960634
1.48,12,4.986621
1.32,10,5.011449
-0.56,12,5.031192
-0.91,10,5.052057
1.15,9,5.068099
1.48,10,5.092841
-0.63,13,5.124197
-0.73,9,5.141599
-0.63,9,5.164018
-0.45,15,5.194705
1.4,8,5.20987
1.21,6,5.221025
1.53,12,5.247598
-1.02,6,5.259505
-0.7,9,5.280523
-0.63,13,5.313887
1.21,9,5.333177
1.15,9,5.354195
-0.82,11,5.375281
-0.64,10,5.39558
1.25,7,5.408425
1.17,7,5.424756
-0.82,9,5.440079
1.33,8,5.454782
-0.87,11,5.47866
1.23,7,5.493925
-0.53,14,5.519666
-0.88,13,5.541465
1.32,12,5.56235
-0.74,12,5.59249
-0.77,7,5.606445
1.26,11,5.630631
1.19,5,5.64145
-0.72,9,5.659424
-0.87,6,5.671341
-1.03,4,5.678776
1.28,10,5.702567
1.2,6,5.718697
-0.62,11,5.737905
